sample,STAT1,CXCL9,SMAD3,IFNG,KLRB1,TGFBR1,CD3D,ITGAM,CD163,GZMA,CD68,NKG7,MS4A4A,GNLY,TGFB1,CD8A,IDO1,IL10,CD14,CD79A,CD3E,PRF1,CXCL10,CD4,CD8B,CD2,MS4A1,CD19
TCGA-ZG-A9ND-01,5.0648,0.9935,2.6487,-1.3183,-0.5543,2.9375,1.8404,-0.7588,1.4652,1.0983,3.6486,1.674,0.9493,3.2435,3.6405,1.9638,0.9343,-2.2447,3.6463,-2.0529,1.9415,0.3907,2.876,1.6785,-0.1345,1.3846,-9.9658,-5.5735
TCGA-CU-A0YN-11,5.2777,-1.2481,4.6242,-9.9658,-1.1488,4.4463,0.2154,2.2144,5.3049,-0.9406,6.0477,0.8082,4.7302,0.1903,5.3118,-1.4699,-1.9942,-0.1187,6.3583,2.6208,0.1519,-1.5951,-0.8084,3.6428,-0.9686,-0.2328,1.4652,0.3573
TCGA-49-6745-11,6.0455,5.2732,3.0305,-0.1031,2.9432,3.0688,4.0127,2.5338,5.1194,4.6634,8.5904,5.8007,5.4696,5.6985,4.6628,2.5707,4.7533,-0.6873,5.5555,-0.4131,3.866,4.0867,5.8632,5.6462,0.9716,4.1954,-2.8262,-1.9379
TCGA-AX-A3G9-01,3.8044,0.4125,2.3193,-3.458,-1.7322,3.074,1.196,-3.1714,0.8961,0.4447,2.9319,1.8404,-1.2142,1.8201,4.1384,0.9789,3.1971,-3.3076,1.8762,-1.6394,0.7664,-0.0425,1.5216,-0.1345,-0.013,0.6969,-5.5735,-1.6394
TCGA-D3-A51J-06,8.4667,7.7653,3.0252,1.7403,1.8996,3.8461,5.8289,2.9488,5.7782,5.6212,8.2769,7.2017,4.3876,4.1587,5.489,6.1254,4.6543,0.7407,7.7891,5.0549,6.3523,5.6056,6.4558,6.1649,5.17,5.7947,2.7615,1.7532
TCGA-HT-A5R5-01,6.1225,-1.6394,4.1891,-9.9658,-3.6259,3.3336,-2.6349,3.1749,4.0782,-2.3147,6.9623,0.6145,3.1327,-0.4719,6.2126,-0.6193,-0.8599,-0.8599,6.5563,-0.4921,-0.8863,-1.9942,2.3308,4.8289,-1.9942,-2.5479,-9.9658,-0.5973
TCGA-HZ-8637-01,8.1252,8.9868,3.6759,1.9452,3.573,3.616,5.403,4.3625,6.9592,4.9486,9.1426,4.9222,5.822,5.5217,5.2438,4.4529,6.7969,1.3225,7.4363,5.8385,5.6369,3.5718,7.9539,6.7025,3.4843,5.7309,5.1473,2.7292
TCGA-CV-7263-01,6.5574,4.3031,6.0475,-1.7322,0.099,4.8758,3.6359,3.2526,4.1899,3.2722,7.6509,3.5669,3.1426,5.1559,5.7706,1.9968,2.8361,0.8164,6.1129,4.3653,3.945,1.6558,4.6118,4.9284,0.2998,3.1011,0.8647,0.2642
TCGA-DK-A6B6-01,6.6599,3.6184,4.5717,0.6969,1.4065,2.6693,3.8551,1.2875,3.0481,4.2965,4.588,3.7291,1.4065,4.1939,3.3883,1.0983,3.8601,-2.8262,4.225,3.4843,4.1612,2.5996,3.9213,2.5996,-0.4131,3.4984,0.1776,-0.9971
TCGA-75-7025-01,6.3544,1.9968,4.0943,-2.8262,2.4492,3.0234,3.9346,3.7039,4.7285,3.603,7.123,3.4843,3.7138,3.1062,5.7677,3.2647,5.8495,0.0158,5.4784,5.2215,4.5528,4.836,2.3592,5.447,1.7097,3.9356,4.6537,2.5561
TCGA-BR-4370-01,6.9609,5.9491,5.2323,0.7146,1.7141,4.9435,3.5803,3.2707,5.0553,4.3191,7.6542,4.0858,4.4797,4.6294,5.9251,2.4359,4.0918,0.6145,5.9404,4.6201,4.2921,1.7532,6.8571,5.1607,1.9034,4.63,2.96,-0.5332
TCGA-2Y-A9H3-01,4.2541,2.7073,1.196,-3.458,2.8199,0.2998,4.423,-0.8599,4.4156,3.5124,5.8704,5.2799,2.05,3.6428,4.174,1.7446,2.4649,-2.9324,4.906,3.863,3.5535,1.8683,2.59,3.8621,1.4388,3.3192,0.058,0.1648
TCGA-12-0616-01,5.9409,2.4008,2.1574,-4.6082,0.6332,3.5682,2.4492,1.2209,6.9481,2.0395,6.1165,2.7508,4.7709,1.6466,5.0189,2.4727,0.679,0.1388,5.9695,-0.9971,2.4063,0.3115,3.992,4.402,0.7748,2.0742,-4.035,-1.4305
TCGA-BR-8365-01,6.4446,4.5772,4.9542,-2.3147,2.7931,6.7285,3.7539,2.2482,4.0994,3.3264,7.2233,4.073,4.0189,1.0711,6.2476,3.5706,1.8078,0.2881,5.3982,5.783,4.3548,1.692,3.8621,4.5583,2.2901,4.0977,3.8147,1.2516
TCGA-T2-A6X0-01,7.6258,7.1619,6.0153,-0.5332,1.8404,3.4088,4.3263,0.7058,5.4608,3.6589,7.1972,4.2855,3.7518,3.8075,5.1587,4.1474,6.2263,-1.9942,5.0157,4.9012,4.6159,3.1311,7.1317,4.4575,3.0688,3.6737,2.376,0.8082
TCGA-HU-A4H6-01,5.5705,3.1095,3.9156,-2.114,0.434,1.9452,3.4183,0.6969,3.0252,2.0183,5.3671,2.9692,1.2815,2.7487,4.4542,1.2516,2.0776,-2.3884,3.907,5.8994,3.2313,0.434,3.7138,3.0498,0.6969,2.6019,4.784,2.1378
TCGA-E2-A1B0-01,7.0456,6.813,2.5731,-2.1779,1.1117,6.31,3.1556,1.7828,4.7258,3.2602,7.1994,3.3787,3.9983,3.074,4.9819,3.2174,3.3745,-0.9971,5.3848,3.1604,3.6916,1.3846,6.1457,4.84,2.8542,3.3689,2.0569,-0.5973
TCGA-CZ-5462-11,7.7318,0.1257,4.1923,-3.6259,0.2881,3.9127,1.0503,0.4552,3.3717,2.2543,4.7991,1.5266,2.05,0.5666,4.1756,-0.0277,0.7579,-4.6082,4.9964,-2.9324,0.8647,-0.1828,2.7657,3.0002,-0.6193,0.7748,-5.5735,-3.816
TCGA-RD-A7C1-01,7.6588,6.6417,4.1194,1.2992,3.0774,2.9013,4.6543,0.4657,4.5614,3.5994,6.848,5.4887,2.9148,4.5934,4.7285,3.6393,4.7198,1.1641,5.7347,4.1555,4.9773,2.3251,5.5075,4.6433,2.7993,3.9147,1.0711,-1.2828
TCGA-DQ-5629-01,6.5181,0.605,6.6555,-4.2934,-2.7274,4.2973,0.7233,0.1257,2.1411,0.9642,6.5753,1.2455,0.2522,2.1574,5.877,-0.3566,1.7316,-2.114,3.8401,3.034,1.9302,0.7321,1.8444,1.8484,-1.7809,0.7321,-1.9942,-3.458
TCGA-CU-A72E-01,4.6949,-0.1665,6.4938,-5.5735,-0.4325,2.3222,1.4065,0.4967,3.2096,0.9038,5.9919,1.0779,2.2543,1.9712,5.7554,-0.5332,-0.3752,-2.3884,4.061,-0.4325,1.4388,-0.3022,1.177,2.9356,-1.0559,0.5271,-1.9379,-3.6259
TCGA-C8-A26W-01,6.8958,5.8179,4.3378,-1.9942,1.3167,4.2609,4.2965,3.0446,4.0462,3.9947,6.5381,4.0028,3.0602,3.551,5.1248,4.2951,1.9931,0.1776,5.0947,4.0392,4.773,1.4281,5.9393,4.8851,3.0637,4.6809,3.5349,0.346
TCGA-EJ-A8FS-01,5.7835,0.7233,2.7679,-5.5735,-0.1665,3.5935,0.8327,-0.1345,1.9601,1.6466,4.2165,0.9115,1.7009,-0.4719,2.4465,0.7579,-0.2328,-1.9379,3.2752,-0.5756,1.4281,-0.5973,2.3926,2.0325,0.8327,0.7999,-2.114,-2.5479
TCGA-FK-A3SE-01,5.9789,0.1124,5.5317,-5.0116,-0.5332,3.6578,0.7748,1.2576,2.9394,0.0158,5.5132,0.2881,1.8363,3.6782,4.9787,-0.1504,-0.7588,-2.2447,4.4457,-0.0425,0.6239,-1.0262,-0.4131,4.1203,-0.4521,0.2881,-2.7274,-3.0469
TCGA-HZ-7923-01,6.0184,3.6804,4.3342,-1.8836,3.7815,4.4549,5.126,4.6623,6.9421,4.2714,8.0344,4.4115,6.1689,1.7828,5.5629,4.3618,3.2435,1.6093,6.8111,5.079,5.5856,3.1179,2.7742,6.306,3.5669,5.2642,3.2002,1.5266
TCGA-EM-A1CV-11,4.855,-1.9942,5.2028,-5.5735,-0.4521,3.1212,0.4447,-1.3548,1.1447,-0.1345,2.3592,1.3109,-0.7346,0.1519,2.828,2.945,-0.5125,-9.9658,3.8973,-2.8262,1.177,0.1388,-1.8314,1.0433,-0.1031,0.6239,-5.0116,-9.9658
TCGA-QH-A65V-01,4.3191,-3.3076,2.4908,-9.9658,-5.5735,3.2526,-9.9658,1.642,1.0007,-2.6349,5.1732,-0.6416,0.8246,-0.5973,4.4476,-3.6259,-3.6259,-3.1714,5.1543,-2.9324,-3.816,-4.2934,-0.1345,3.6289,-1.5105,-5.5735,-9.9658,-1.9942
TCGA-RD-A7BW-01,7.0009,6.5564,4.3031,1.2023,1.9226,4.9074,5.4896,2.3077,4.85,5.1244,6.7504,6.8988,4.3674,3.7762,6.2696,5.3292,3.5249,-0.2159,6.4118,2.2753,5.8035,2.1574,6.0262,5.3954,4.1644,4.9773,1.5854,-1.5522
TCGA-56-8309-01,7.2786,7.1497,5.4529,0.8805,1.9111,3.9403,5.9928,4.2064,6.4408,4.9727,8.3397,5.9329,4.5473,4.048,5.6568,4.7934,7.0145,0.7407,6.6544,6.0989,6.5201,4.0269,6.6241,6.8017,3.3148,5.8169,2.0254,2.081
TCGA-E9-A1RD-11,5.7687,3.0038,4.3841,-1.9379,0.6145,3.9478,2.3366,3.0252,5.7315,3.0358,7.6478,3.3506,5.4135,3.1908,4.0636,1.9712,0.3685,1.3454,5.7107,0.7233,3.0287,1.595,1.8722,4.8324,1.0642,2.5804,-0.4325,-2.5479
TCGA-FR-A728-01,6.917,4.3597,1.9302,0.044,0.03,3.4264,4.6617,2.118,4.4713,4.3206,7.5072,6.1223,3.0944,3.4304,5.6494,4.5497,6.3609,0.547,5.9194,0.7493,4.9792,3.3897,5.693,4.2571,3.3952,4.6265,-1.8836,-3.1714
TCGA-BF-AAP2-01,6.2733,4.1425,3.3206,-1.8314,0.058,4.6543,3.793,2.2421,4.3082,2.7636,6.1979,3.4635,2.7784,3.835,3.5337,2.4675,1.8282,-0.5332,5.5562,2.4117,3.7783,1.7954,4.359,3.9051,1.6093,3.4264,0.044,-1.5105
TCGA-A6-5665-11,4.8525,1.4174,4.5079,-9.9658,2.0673,2.3816,3.3966,1.4441,3.7356,3.1813,7.3919,2.9013,3.3759,2.409,3.3047,2.1345,1.6695,-0.5332,5.435,5.4973,3.6928,1.674,1.4704,3.9965,0.9935,2.4144,3.4197,1.9786
TCGA-85-8352-01,6.1037,2.6348,2.4623,-1.4305,-1.8314,2.5263,1.5661,1.1117,2.2783,1.1833,4.1523,2.8542,-0.0425,1.692,3.6486,2.2543,5.1404,-3.0469,3.8002,0.7999,1.8404,0.8647,3.9892,2.2513,0.8647,1.1316,-2.114,-3.0469
TCGA-DX-AATS-01,4.1376,0.6332,4.2495,-9.9658,-0.9406,5.193,1.4441,2.4701,5.5895,1.3956,7.9867,2.6984,3.7773,4.0816,7.7411,0.4233,-1.1488,0.3907,6.5697,-0.9406,1.9564,0.434,1.4547,5.4816,-0.8599,0.8164,-4.6082,-1.685
TCGA-77-8139-01,6.0566,3.6428,4.1579,-1.6394,-0.5543,2.6984,3.0199,1.6649,3.5815,3.2662,6.6506,3.1278,2.2573,3.1829,5.5635,1.9188,2.4386,-3.0469,5.1478,6.5803,3.1344,2.0535,3.8249,4.5802,0.7321,2.7029,-0.2498,1.0915
TCGA-HU-A4H2-01,6.2815,3.3506,4.701,-0.9971,0.6145,2.8602,2.971,0.1903,2.328,2.0289,5.5537,3.5803,1.3735,2.1247,4.7698,2.5972,4.3442,-2.5479,3.8289,4.0549,3.4984,1.0847,3.1844,3.0791,0.8164,2.8661,2.0604,0.6699
TCGA-CR-7368-01,7.7534,5.2064,5.7533,-1.1488,1.2815,5.3302,3.9337,1.614,4.2684,4.546,8.7583,3.8116,2.8897,5.1073,5.3038,2.791,4.0233,-0.4521,5.6628,4.7592,4.3024,3.4116,5.1136,4.5916,1.5854,3.831,0.8082,-0.1993
TCGA-D8-A1JH-01,6.3597,3.9108,5.0113,-1.9379,0.8164,5.1388,3.4451,3.1924,4.9987,3.7486,7.8394,3.3032,4.579,2.8199,5.6212,2.5683,2.0638,1.5854,6.0607,2.8341,4.1078,1.6875,4.4628,5.8094,1.4911,3.8591,1.6785,-0.9971
