source,target,weight,resources,references,sign_decision
CREB1,PTGS2,1.0,ExTRI;NTNU.Curated;TFactS;TRRUST,11092885;11526505;11668179;14645533;15213229;15221958;15289885;16007171;16256955;16319525;17186551;17505916;17524357;17559081;17632087;17962194;18515110;19797430;19925797;20032081;20954072;21268077;21668646;22919060;24378735,PMID
CREM,PCK1,1.0,ExTRI,11092886;7642572,default activation
GATA3,IL4,1.0,CytReg;ExTRI;SIGNOR;TRRUST,10894164;11093124;11336690;11893731;12876556;15832295;15941711;16266280;16498264;17277157;17658278;18167455;19881507;20636338;21131966;21536806;21989417;22039304;22226971;23232398;25037220;25861992;26840450;9442389;9780145;9780146;9846495,PMID
ZNF287,IL4,1.0,ExTRI,11093124,default activation
ZNF287,IL5,1.0,ExTRI,11093124,default activation
NFIA,CYP1A1,1.0,ExTRI,11093759;11239493,default activation
NR1I3,TAT,1.0,ExTRI,11093784,default activation
NR3C1,CYP2B6,1.0,ExTRI;GEREDB;NTNU.Curated,11093784;12695351;14683479;19702527,PMID
FOXO3,CDKN1B,1.0,ExTRI;GEREDB;IntAct;SIGNOR,10783894;11094066;14981546;15100294;17522055;18312651;18393360;18593906;18687691;18787071;19168439;19244250;19911116;21249150;21752881;21840777;22930444,PMID
MYB,RAG2,1.0,ExTRI;GOA;NTNU.Curated;Pavlidis2021;TRRUST,11094072;11781241;12044781;12244173,PMID
E2F1,CRYAA,1.0,ExTRI,11095619,regulon
HEY2,HEY2,1.0,ExTRI,11095750;11741889;17020760;23744056,default activation
TFAP2C,CSTA,1.0,DoRothEA-A;ExTRI;GEREDB;HTRI;NTNU.Curated;TRRUST,11095974,PMID
TFAP2A,TFAP2D,1.0,ExTRI,11095974,default activation
TFAP2D,CSTA,1.0,ExTRI,11095974,default activation
TFAP2A,CSTA,1.0,ExTRI,11095974,default activation
AHR,ABCB1,1.0,ExTRI;GEREDB,11096091,default activation
ARNT,ABCB1,1.0,ExTRI;GEREDB,11096091,PMID
CEBPG,EDN1,1.0,ExTRI;NTNU.Curated,11097113,PMID
TP53,TNF,1.0,ExTRI;GEREDB,11097743;11675405;15811878;16684540;20406462;20557878;21738216;7760842;8051093;9407088,PMID
JUN,PCSK1,1.0,ExTRI,11097837,default activation
JUN,TEC,1.0,ExTRI,11097837,default activation
SP1,ST8SIA1,1.0,ExTRI,11098147,default activation
TP53,PPM1D,1.0,ExTRI;NTNU.Curated,11101524;18333294;19015127;20093361;22405851,PMID
PRDM1,CIITA,-1.0,ExTRI;GEREDB;SIGNOR;TRRUST,11101876;11279146;12626569;16765445;16982896;17300840;21216962;23789844,PMID
MYC,BAX,1.0,DoRothEA-A;ExTRI;HTRI,11103792;12695333;8845569,default activation
ETS1,MMP7,1.0,ExTRI;NTNU.Curated,11103822,PMID
TP53,FAS,1.0,DoRothEA-A;ExTRI;NTNU.Curated;SIGNOR;TFactS;TRRUST,10101800;11103825;11313989;12447615;12788915;12944915;12963547;14719118;15580300;16317104;16322229;16557594;16951143;19615968;20797428;7539102;9841917,PMID
NRG1,PIK3C3,1.0,ExTRI,11104760,default activation
NKX2-5,CALR,1.0,ExTRI,11106640,default activation
NR2F1,CALR,1.0,ExTRI,11106640;18765291,default activation
TP53,SLC19A1,-1.0,ExTRI;GEREDB,11106643,PMID
ATF1,TH,1.0,ExTRI;GEREDB;NTNU.Curated;TRRUST,11108136,default activation
CREB1,AGT,1.0,ExTRI;NTNU.Curated,11108139,PMID
CREM,AGTRAP,1.0,ExTRI,11108142,default activation
CREB1,AGTR1,1.0,ExTRI;NTNU.Curated,11108142;24244341,PMID
CREM,AGTR1,1.0,ExTRI,11108142,default activation
USF1,DPP4,1.0,ExTRI,11111045,default activation
USF2,DPP4,1.0,ExTRI,11111045,default activation
SREBF2,FDFT1,1.0,ExTRI;NTNU.Curated;TFactS;TRRUST,11008488;11111077;18413311;9575211,PMID
ETV4,CXCL8,1.0,CytReg;ExTRI;NTNU.Curated,11112434;12471621;21266854,PMID
NR1I2,RBL2,1.0,ExTRI,11112453,default activation
HMGA1,CXCL1,1.0,CytReg;ExTRI;TRRUST,11112786;7479086,PMID
SP1,CXCL1,1.0,CytReg;ExTRI;TRRUST,11112786;11115149;7479086,PMID
NFKB1,CFTR,1.0,ExTRI;TRRUST,11114294,PMID
RELA,CFTR,1.0,ExTRI;TRRUST,11114294,PMID
RELA,IL1B,1.0,CytReg;DoRothEA-A;ExTRI;HTRI;SIGNOR;TFactS;TRRUST,10080875;10963848;11058167;11114294;11395507;12517972;12686724;14960579;15292915;15382119;15543947;15812237;15972680;16433741;17082635;17707233;18285351;18566416;19122653;19843519;19846753;20336759;20617571;20696864;20975042;22267743;22388040;23056550;23195252;23383347;23667107;24009751;24908318;25161822;26596471;27211851;27338466;27371733;27534992;28389361;8021507;8413223;8679226;9058643;9878621,PMID
SPI1,PTPN13,1.0,ExTRI,11114304,default activation
SPI1,PTPRC,1.0,ExTRI;GEREDB;TFactS,11114304;16616894,default activation
SPI1,SPI1,1.0,ExTRI;NTNU.Curated;SIGNOR;TFactS,11114304;11835402;11997509;12027437;12032776;12036891;15767686;1620109;16254139;17994017;19818654;19825991;20431622;20471086;21297973;21518930;22105598;22231443;22291968;22446486;23575636;23868921;7478579;7624145;8242633;8631937;8663022;8887557;9211934;9858537,PMID
CEBPB,STAT3,1.0,ExTRI;NTNU.Curated,23097472;23361365,default activation
STAT3,CEBPB,1.0,ExTRI;GEREDB;NTNU.Curated;TFactS,11114305;16014896;16293640;20581311,PMID
