drug,rho_ic50,p_ic50,rho_auc,fdr_ic50
BEN,0.3341494001248959,1.7382490105287207e-19,0.21505081880761884,2.8571219368460577e-19
BI-2536,0.47429145055862704,8.823976808318977e-50,0.4652765909603537,1.577285854487017e-48
BIBR-1532,0.40485649805310886,1.3868318599780244e-36,-0.19556869944491695,6.027917055821191e-36
BMS-345541,0.4632056816430116,8.519442072790908e-46,0.30185611608898105,9.371386280069999e-45
BMS-536924,0.06283976482275493,0.05950607843332503,-0.09240397606260373,0.06143948892393848
BMS-754807,0.3061614425184595,8.226027362789437e-21,0.21977807313928413,1.4172553167215536e-20
BPD-00008900,0.2890277416681052,2.7805656388385e-15,-0.19199069451342418,4.0781629369631335e-15
BX795,0.22229608707632956,0.001996234226715665,0.13608948746211078,0.0022043358642497303
Bicalutamide,0.4319630063378341,4.389618697830757e-10,0.022196197299531546,5.60460244455177e-10
Bleomycin,0.1956576294722401,2.170572911008886e-07,-0.20132845051077589,2.5758666080852336e-07
Bleomycin (50 uM),0.1444484837676368,0.0001160878604715238,0.034383341087741666,0.00013071310273565277
Bortezomib,0.24534704484814854,8.625755476619628e-14,0.11310140030207613,1.1860413780351989e-13
Bosutinib,0.2531381435463509,1.6534102719402362e-14,-0.02629610111290347,2.3526136207706843e-14
Bromosporine,0.35946840431525157,1.7869515754994664e-22,0.08910430546471947,3.3189169700948585e-22
Buparlisib,0.322037977824664,3.6553886666211236e-23,0.2187993739037512,7.160555881189323e-23
CCT-018159,0.1405621383301185,0.05244102284700191,-0.059771140367160906,0.05434105990667589
CCT007093,0.38180534488387413,6.390572817212184e-32,-0.3666780033180933,2.053599804182792e-31
CDK9_5038,0.40320658555030164,2.331177968656474e-28,0.40731589171046445,5.797538252484796e-28
CDK9_5576,0.3806892373590184,3.2236716792814208e-25,0.3720224246382078,6.9321060171014e-25
CHIR-99021,0.17487083218517496,0.015538780351308736,-0.03783411408101405,0.016582429777889172
CPI-637,0.43061884703735054,1.0943859934765165e-33,0.1659814249112543,4.012748642747228e-33
CT7033-2,0.4511739493530475,3.3907778772869207e-37,0.37684518795759764,1.564133020812999e-36
CZC24832,0.3698105945647396,1.2827819392455814e-28,-0.2454483250785434,3.3352330420385115e-28
Camptothecin,0.311937732209904,5.495254458147543e-22,0.2336058588822876,9.9471061710772e-22
Cediranib,0.2220901342676555,1.6084311663426266e-11,-0.0005255891284046405,2.1005082811597772e-11
Cisplatin,0.3850437550923698,2.1785853936656507e-27,0.232594933146325,5.06565384218192e-27
Crizotinib,0.44390637160748947,3.955727192272906e-45,0.3411382014319974,3.5354311780939095e-44
Cyclophosphamide,0.43700577974537413,3.192067133516444e-43,-0.2722508804378177,2.5359200005158413e-42
Cytarabine,0.40830023945663707,3.2031634745740364e-30,0.3023613484108095,9.25358337099166e-30
Dabrafenib,0.2943593736237044,2.2787239750896246e-19,-0.0218559407564978,3.724086039289329e-19
Dacarbazine,0.4051901681111487,1.0961817439006002e-28,-0.2003021488747741,2.8762199885832264e-28
Dactinomycin,0.2796148016445779,1.107996645371301e-17,0.1760877688412211,1.7129029220334707e-17
Dactolisib,0.1380229193698593,3.255243402430145e-05,0.007888413160813174,3.709161805159448e-05
Daporinad,0.43978415098670753,1.8267423987412968e-27,0.4123302224485843,4.2823633281968105e-27
Dasatinib,-0.32740835361455073,4.9679410167383594e-24,-0.45340093764442146,1.000585303371247e-23
Dihydrorotenone,0.245779334655081,6.140278219781156e-11,-0.005176774071696757,7.910448517375724e-11
Dinaciclib,0.3448033912799645,8.909194972856455e-25,0.3402187362859294,1.8735512957624604e-24
Docetaxel,0.24018876067652847,2.0825826358980043e-13,0.18046667696166127,2.836279208889663e-13
Doramapimod,0.3268340711791915,8.471102112536321e-24,-0.24904831853976586,1.67085186495544e-23
EHT-1864,0.37324981125385776,1.2231844581463617e-30,-0.020130189742115726,3.589040111947877e-30
EPZ004777,0.455419333358401,1.2121622916821295e-47,-0.15217374417475277,1.5758109791867684e-46
EPZ5676,0.44507407226323764,3.422096604753457e-45,-0.27310671633270894,3.157160093417706e-44
ERK_2440,-0.012480464551776713,0.7432963630238745,-0.1914314277255831,0.7485308444536201
ERK_6604,0.01148293373786911,0.7631751211366327,-0.2266439166209059,0.7658529285792174
Eg5_9814,0.42453026198800836,1.965402023997773e-31,0.3771625328162283,6.044139557670571e-31
Elephantin,0.4452639017650189,5.90363074890883e-35,0.3173925983827595,2.3450533252610073e-34
Elesclomol,0.2908738633232295,4.4613950094632106e-05,0.24493414376127914,5.063329256771739e-05
Entinostat,0.47692281128333947,4.276587779327636e-49,0.4172222528638416,6.795022804931687e-48
Entospletinib,0.032647053881069234,0.34463619386779965,-0.251948598951026,0.34828958108194596
Epirubicin,0.3703300374444907,1.229810947450671e-30,0.25752710911794174,3.589040111947877e-30
Erlotinib,0.09318390371814374,0.0051963592097892175,-0.30032499764171755,0.005715995130768139
Fludarabine,0.35365400625352567,8.697818008486204e-22,0.1173778858067424,1.5645131763692165e-21
Foretinib,0.25616090175525047,7.084568508523677e-15,0.1792249272886013,1.0285211134201885e-14
Fulvestrant,0.4533208580628172,3.6124178384043357e-47,-0.03994999716742823,4.491963051233218e-46
GDC0810,0.3915258331594648,2.410457558994836e-34,-0.2546637147781396,9.191878158300308e-34
GNE-317,0.0810006412488719,0.01582315249028375,0.017430467498064556,0.016823128669967113
GSK-LSD1,0.30853961045916917,1.1028727491362238e-16,-0.35434814495918787,1.668897387581799e-16
GSK-LSD1-2HCl,0.37762763595615667,1.2815763619875444e-25,-0.24948968609921682,2.797945339911738e-25
GSK1904529A,0.34610560908229376,6.402354019213122e-27,-0.06936532877767335,1.453232737694407e-26
GSK2110183B,0.34322825077678076,1.546674088600038e-20,-0.03496577159272925,2.6330285079738744e-20
GSK2256098C,0.463679687389184,3.9537110693656805e-38,-0.33584723094707736,1.884602276397641e-37
GSK2276186C,0.399729186041479,6.767788428057319e-28,-0.014352140268252598,1.6403283817155874e-27
GSK2578215A,0.3773203506012559,7.891285748752779e-32,-0.20998954015143745,2.507675249048105e-31
GSK2606414,0.2522514004213182,1.5262597337210482e-13,-0.06279789060861779,2.0885659514077504e-13
GSK269962A,0.29462418840101245,4.7619188048237515e-06,0.2195321232710592,5.469513165379891e-06
GSK2801,0.39257287445048883,6.988625269144991e-27,-0.2611934325212822,1.5738163991932813e-26
GSK2830371,0.5590661711089451,2.2660589656985233e-59,0.013835318733369118,1.6202321604744443e-57
GSK2830371A,0.49002934727143843,5.074770985890954e-43,-0.05960877055384321,3.9226608161211156e-42
GSK3337463A,0.4777160046830521,1.1075381955553895e-40,-0.14891592389523275,6.739487743166838e-40
GSK343,0.35583264035507595,1.8372978367183251e-28,-0.06804215333191457,4.609361239486325e-28
GSK591,0.2601930272932258,2.4002967054594584e-15,-0.15339478472551255,3.5385817410381706e-15
GSK626616AC,0.5308016871498668,1.749923991798487e-51,-0.3380181435909113,4.1706521804530604e-50
GW441756,0.3579492829249934,1.7845557775827202e-28,-0.25113523533937404,4.516663295474849e-28
Gallibiscoquinazole,0.4257863188396098,8.380625378657424e-32,-0.2327811543447222,2.6339108332923334e-31
Gefitinib,0.08885507266058354,0.007648050418354397,-0.4632017336482666,0.008348635189501364
Gemcitabine,0.2513010709417679,1.795958828359798e-14,0.1950218859313716,2.542793192628229e-14
HKMTI-1-005,0.45912068343521556,1.2828232355719443e-38,0.28129915004257583,6.43662184865923e-38
I-BET-762,0.29794642068749966,1.1616044018815826e-18,0.1423143903876808,1.8559712789839813e-18
I-BRD9,0.4614459030196334,1.1714332546167834e-48,0.19701248515142178,1.7633153201073687e-47
IAP_5620,0.3460465072061171,8.712429581860242e-21,-0.201348106128451,1.4920687786898376e-20
ICL-SIRT078,0.4299527616648879,1.5616484167334805e-33,0.16164791899641406,5.5828930898221925e-33
IGF1R_3801,0.19879239584532887,1.4017675849056177e-07,0.12331876170803717,1.670439705345861e-07
IOX2,0.3843844723064205,4.023708146979048e-08,-0.18228083764504552,4.855614050784843e-08
IRAK4_4710,0.346910665462843,5.665628310061191e-21,-0.25339798607661246,9.880303028521345e-21
IWP-2,0.44547835712721173,3.8397187592952254e-42,-0.1997947780349913,2.6146656313296057e-41
Ibrutinib,0.08655615660688706,0.01229330788926819,-0.19879016571369362,0.01321761675312294
Ipatasertib,0.2056273320502042,4.757364723533188e-10,-0.04182611799717594,6.047139159691075e-10
Irinotecan,0.3505821901912749,1.268564337072562e-27,0.2683718885350165,3.0488184907794346e-27
JAK1_8709,0.410255942104151,1.9647472140583246e-29,0.08763781276846182,5.403054838660393e-29
JAK_8517,0.28856056525412543,1.0195443739086526e-14,0.1469309232903082,1.4652748288335407e-14
JNK Inhibitor VIII,0.3125734537342609,1.0312643686175322e-21,-0.3675485664932671,1.8319354622646845e-21
JQ1,0.3572553580537954,3.0366240724116114e-28,0.28171598716361135,7.486849006118284e-28
KRAS (G12C) Inhibitor-12,0.399846574126583,1.3652826622464743e-33,0.21951681397666395,4.942668878512553e-33
KU-55933,0.35571490948806234,3.5456612677752146e-28,-0.120528705685821,8.667171987894969e-28
L-Oxonoreleagnine,0.3526761518231206,1.1445863403246072e-21,-0.39202822029915996,2.0206894650175162e-21
LCL161,0.2261971271792317,3.397190034343957e-11,-0.3249378939780724,4.396363573856886e-11
LGK974,0.4660926482671882,4.710861966760547e-50,0.08226289846635536,8.98204348329011e-49
LJI308,0.3378499375370441,2.1818065159875572e-25,-0.21517619227149187,4.7272474513063735e-25
LMB_AB1,0.5403988935798516,1.1977374380155885e-53,-0.13982832517187732,3.5473968243192126e-52
LMB_AB2,0.5090720493880863,7.858136111619495e-47,-0.3105797452449996,9.364278866346564e-46
LMB_AB3,0.4417592909242345,2.2568151254827966e-34,-0.12262617802467703,8.722285484974052e-34
LMP744,0.3251398714452031,1.7731523306542107e-18,0.2961516849130875,2.7863822338851882e-18
LY2109761,0.29685492565406263,1.6456739653056738e-18,-0.30264873084057053,2.60034670761007e-18
Lapatinib,0.0748775891242112,0.024048764714179816,-0.13965730612698704,0.025286568780350835
Leflunomide,0.4487997330738037,7.198765119850003e-43,0.21446594615760103,5.4180179586239497e-42
Lenalidomide,0.504455333408979,9.300836178749223e-59,0.01796443390607205,5.320078294244555e-57
Lestaurtinib,0.43370253726796243,4.054779785883075e-42,0.3891077387420025,2.6969000436338596e-41
Linsitinib,0.42292865826254417,9.565606198005773e-41,0.08633339688776094,5.954364610962366e-40
Luminespib,0.16513434046747022,5.792637196809e-07,0.13051370682664165,6.78973048478432e-07
MG-132,0.195661788093471,2.5981922119343216e-09,0.18468941150116835,3.2449038105380608e-09
MIM1,0.3898171301354743,1.7934313034369306e-27,0.07038173812214743,4.239019444487291e-27
MIRA-1,0.469969487708355,4.451219947962653e-51,0.015266149368497031,9.792683885517836e-50
MK-1775,0.39137335237130244,1.2097464633251011e-34,0.36629589718221645,4.739554637136697e-34
MK-2206,0.33082783580224107,1.1089160342550298e-24,0.16495965291679635,2.3149633999776535e-24
MK-8776,0.43826443432505485,2.9525374382297486e-43,0.2925621139691517,2.4126448780963087e-42
ML323,0.4316289491166996,2.380421211442014e-39,0.09157002398094989,1.2845291820234265e-38
MN-64,0.20585783952965592,1.7221558750484462e-09,-0.2843075983776764,2.1602481590519984e-09
Methotrexate,0.3179333649535177,6.651252499419919e-21,0.21450018620563854,1.1528837665661193e-20
Mirin,0.38270150609623876,1.0891216508325312e-30,0.22414938140779972,3.244674918105249e-30
Mitoxantrone,0.3778064214841376,7.234140933537906e-25,0.32373574074796935,1.5440032141730156e-24
Motesanib,0.48241428507976003,3.513141685472457e-53,-0.20137941828659417,9.134168382228387e-52
