drug,rho_ic50,p_ic50,rho_auc,fdr_ic50
GSK2801,-0.24262217452042908,1.0261761922792562e-10,0.11699674331294138,2.1267129782019367e-10
GSK2830371,-0.2822815476781887,2.0330714139136448e-14,-0.012575071306902021,8.550859182048565e-14
GSK2830371A,-0.2579019592367891,5.8215397613700565e-12,0.04580573221819037,1.4865717604927107e-11
GSK3337463A,-0.27371362460442655,2.4369026080119144e-13,0.06852861406559013,8.183348747589862e-13
GSK343,-0.2792397716779108,1.0426344673733726e-17,-0.03717815380732024,9.939781922292819e-17
GSK591,-0.20529298065882987,5.429450605426235e-10,0.03267782144542787,1.0421630021153715e-09
GSK626616AC,-0.2707675135270591,4.472782825842273e-13,0.19977395434380438,1.3904520523814023e-12
GW441756,-0.2246871555090525,1.021755116911046e-11,0.14400049893634878,2.476457317258976e-11
Gallibiscoquinazole,-0.19111674933051195,4.1598455376179686e-07,0.19982262885294805,6.261662230309152e-07
Gefitinib,-0.11239783423600937,0.0007302622588548479,0.23731170526777826,0.0008812447511919261
Gemcitabine,-0.16168563565398206,1.0390934268700356e-06,-0.13500317821858634,1.5162281636981133e-06
HKMTI-1-005,-0.30166590848201846,1.5720340039995578e-16,-0.20399506159431707,1.1102103431946412e-15
I-BET-762,-0.2571822462548681,3.851034726464076e-14,-0.18814963560514192,1.5087615503681173e-13
I-BRD9,-0.3406460666412346,6.879807795239786e-26,-0.20624742674575197,9.838125147192894e-24
IAP_5620,-0.16620914653118696,1.1747932195565983e-05,0.15209231319431848,1.6153406768903224e-05
ICL-SIRT078,-0.2647332293076624,6.236727542591836e-13,-0.11505466555432738,1.858025080397151e-12
IGF1R_3801,-0.11582097877524013,0.0023105123914790296,-0.07548819084667904,0.002686205463264238
IOX2,-0.30552838247451086,1.7235225757640857e-05,0.21432221958626074,2.3251295125873987e-05
IRAK4_4710,-0.16176131420930684,1.9314466670368458e-05,0.179598488286314,2.593397872171539e-05
IWP-2,-0.2924073274119215,5.297425737700574e-18,0.10086488445923554,5.224357796490911e-17
Ibrutinib,-0.11459041067938723,0.0009027234483772381,0.026231613668437237,0.0010757454426495422
Ipatasertib,-0.13309909436102185,6.195026666248866e-05,0.019085307748346696,7.909721547085605e-05
Irinotecan,-0.23894775938388205,3.0488991587635035e-13,-0.1971676847621121,9.948545359244626e-13
JAK1_8709,-0.22349974849872103,2.8542260435406607e-09,-0.05124359518481066,5.1665104332444876e-09
JAK_8517,-0.1580262732456831,3.0095437103009785e-05,-0.0831169188732328,3.877159915072432e-05
JNK Inhibitor VIII,-0.1918391760778963,7.3942167559095375e-09,0.1995611541681319,1.26631496538331e-08
JQ1,-0.24951781053800248,3.9795890088803195e-14,-0.208687339267801,1.5380573737023936e-13
KRAS (G12C) Inhibitor-12,-0.20917544627229587,9.281913163064602e-10,-0.10422807029638313,1.7697514430909841e-09
KU-55933,-0.25875507757790267,3.3327934509933195e-15,0.029510294113394606,1.6434119430760163e-14
L-Oxonoreleagnine,-0.16539473334863317,1.2426297067325938e-05,0.24469105653880757,1.7004406513182862e-05
LCL161,-0.1638036327402575,1.8437899715898415e-06,0.1505318661908738,2.623502148630322e-06
LGK974,-0.24026132814118342,2.3107447000303393e-13,0.015588294208491832,7.867535526293774e-13
LJI308,-0.28909315120823786,9.95681529855793e-19,0.03742480337242461,1.2381083371250296e-17
LMB_AB1,-0.2599924409589604,3.873002172377572e-12,0.13041553871452613,1.0069805648181687e-11
LMB_AB2,-0.2763248370879098,1.4138077257444597e-13,0.17000373560364251,5.118341893201463e-13
LMB_AB3,-0.21822606144474538,6.7876928177072285e-09,0.08018634300480124,1.1837074060147971e-08
LMP744,-0.22415012389574934,2.561149112259682e-09,-0.21772202034632615,4.665532777746937e-09
LY2109761,-0.21236996283205273,5.314573094240779e-10,0.15978060058981183,1.0270053411843668e-09
