,sr,dne,shannon,mad800,cytotrace,netith
TCGA-OR-A5KV-01,2.5188715051462047,212.93060738543787,2.264170576149128,2.54,11.31525,3.3231096004601293
TCGA-OR-A5KW-01,2.797117834057505,229.79809571098917,2.6386271068368163,2.7649999999999997,11.8004,3.0250368851415748
TCGA-OR-A5KX-01,2.1350332423484417,183.31858310168596,1.798723303524076,2.99,11.6026,3.132478031667011
TCGA-OR-A5KY-01,2.7788515175837376,308.05888695742215,2.7937741806277963,2.3000000000000003,11.6608,3.2804483055993345
TCGA-OR-A5KZ-01,0.6900035228942758,247.0170097934353,3.042912776655419,2.51,11.6521,3.008054340318841
TCGA-OR-A5L3-01,2.5231448001270382,213.05043523928117,4.0296088021909595,2.87,11.28125,2.75261979363422
TCGA-OR-A5L4-01,2.7576263189553862,235.225645946857,1.0943647832400372,2.4299999999999997,11.3302,3.151946912429989
TCGA-OR-A5L5-01,2.6806462752740647,341.38491904171036,2.7964700991811653,2.1049999999999986,12.0096,2.766549270323977
TCGA-OR-A5L6-01,2.236254658501328,268.38699613147446,2.034538093659013,2.5749999999999993,11.650699999999999,3.202113169776689
TCGA-OR-A5L8-01,2.9239061377332405,215.52917770007215,2.822588765922361,2.8550000000000004,11.362749999999998,2.913928808490935
TCGA-OR-A5L9-01,2.729180134817713,210.02018935006413,0.9029085946549712,2.4850000000000003,11.839250000000002,2.382748025676625
TCGA-OR-A5LA-01,1.4134765474301956,292.05220220721117,2.325224331534017,2.295,11.94335,3.0566278075201008
TCGA-OR-A5LB-01,0.6849131903975154,229.2561241570011,3.8861360021193523,2.6099999999999994,11.1927,3.069741644115996
TCGA-OR-A5LC-01,2.2955545847689645,287.3431018569165,3.4527525926180123,2.494999999999999,11.496199999999998,3.077612409593716
TCGA-OR-A5LD-01,2.2683375236123577,186.64044984722167,0.4248603723131868,2.8899999999999997,11.20955,2.770678753812404
TCGA-OR-A5LE-01,2.6901603265881544,68.65923155363569,1.4276382618347108,3.0149999999999997,11.16165,2.946442363758782
TCGA-OR-A5LG-01,0.6914619237297546,310.40687391966816,2.273942924536704,2.5,11.772150000000002,2.7512559143147066
TCGA-OR-A5LH-01,3.079420666433385,290.20232151919583,3.186936450741121,2.205,11.571799999999998,2.9194526976923774
TCGA-OR-A5LJ-01,1.7116013654431899,275.5188466100404,4.122521865538503,2.33,11.43135,2.991850976918144
TCGA-OR-A5LK-01,0.6922715878216401,365.34208370829055,1.4311014222844216,2.115000000000001,12.00875,2.834794265741224
TCGA-OR-A5LL-01,2.6631020338644484,145.45841514672028,4.20582027550602,3.0549999999999997,11.687350000000002,2.8569523118771416
TCGA-OR-A5LM-01,2.9046783735856225,254.730444885397,1.3969633726272366,2.24,11.537800000000002,3.2250449556801635
TCGA-OR-A5LN-01,2.243272368957721,292.9260214791179,1.4769069809579252,2.45,11.625049999999998,3.154340863969574
TCGA-OR-A5LO-01,2.5682027257781903,226.68209456656024,2.9390516858350706,2.5550000000000006,11.364299999999998,3.1635910063657287
TCGA-OR-A5LP-01,2.6093278845889265,295.4940484731169,3.66698237158776,2.3400000000000003,11.981900000000001,2.990825926489993
TCGA-OR-A5LR-01,2.902907988320746,247.3095885915919,1.7260460633414327,2.4800000000000004,11.87,3.2041249052190266
TCGA-OR-A5LS-01,2.2456035445453226,219.5339729646778,3.4480536026755884,2.829999999999999,11.31935,3.115217736202204
TCGA-OR-A5LT-01,2.7471362921854574,157.5891324316728,2.4022183866296407,3.1450000000000005,12.021799999999999,3.034294955361161
TCGA-OU-A5PI-01,2.7509853919319367,282.90564794513114,4.221359544180411,2.5949999999999998,11.68135,3.149570053874534
TCGA-P6-A5OF-01,2.626978686446919e-14,272.84677476932853,3.517527437913143,2.4849999999999994,11.824900000000003,3.1411862310875085
TCGA-P6-A5OG-01,4.3941945971427865e-15,326.53089461437526,3.652643538415282,2.0649999999999995,12.48005,2.751237914617058
TCGA-PA-A5YG-01,0.6924964994459938,318.95474721711804,3.9341146808999943,2.305,11.96675,3.015886094768081
TCGA-PK-A5H8-01,2.6848663364537715,239.73775122374371,0.39716227939764626,2.5700000000000003,11.150149999999998,3.3774966411327347
TCGA-PK-A5H9-01,2.6385328341985894,284.5577615556507,1.3890047784415442,2.6450000000000005,11.829450000000001,3.5054703748304914
TCGA-PK-A5HA-01,0.6927823597701596,271.83525190027984,2.1274356622294444,2.5300000000000002,11.7255,3.0531868564373426
TCGA-PK-A5HB-01,0.6895330434066389,182.91151085412005,2.7170022281406583,2.7,11.3992,3.268687871431997
TCGA-2F-A9KO-01,1.5375206640000094,399.5055340451463,4.47115083851306,1.8199999999999998,12.6419,2.706016005787383
TCGA-2F-A9KP-01,1.1245125403668233e-14,326.78487644307177,3.719381335101754,2.2950000000000017,11.93605,3.2525502719577
TCGA-2F-A9KQ-01,1.9773556496454434,300.26399882735535,4.2022617245080465,2.42,12.404449999999999,3.4107261662941206
TCGA-2F-A9KR-01,1.175077333895358e-14,321.2277345053237,4.074228432862575,2.045,12.247750000000002,3.1248846888264423
TCGA-2F-A9KT-01,1.9947369688697456e-14,337.6666519611487,3.3098542448671298,2.3049999999999997,12.23165,2.95604232198916
TCGA-2F-A9KW-01,1.187735254953035e-14,358.10415239415136,4.140496550928438,2.12,12.1475,2.285910451047632
TCGA-4Z-AA7M-01,0.6843035013698211,323.91355847721275,2.861113751539401,2.135,11.9454,3.074439624246817
TCGA-4Z-AA7N-01,2.953286948144255e-14,426.45485290776054,4.262354975168645,1.7750000000000004,12.572249999999999,3.44444056053534
TCGA-4Z-AA7O-01,0.6920606753728324,338.4749745804145,3.7165584825286917,2.2250000000000005,12.588600000000001,3.270210597031238
TCGA-4Z-AA7Q-01,0.6922345338243195,393.84125645380067,1.9501912820489986,1.9300000000000006,12.4444,3.3878093727947256
TCGA-4Z-AA7R-01,3.759554327708655e-14,338.5485758607161,4.759293949642183,2.095,11.873,2.9420216136058643
TCGA-4Z-AA7S-01,1.7554114999554578,341.02804489389877,3.97796761381612,2.5,12.07615,3.42688625140644
TCGA-4Z-AA7W-01,2.3780806864151924e-14,380.83023059411494,2.8537332245265965,2.200000000000001,12.8281,2.7883694383096107
TCGA-4Z-AA7Y-01,1.854647920215411,280.33674599060413,4.212973828910299,2.5500000000000007,12.615,3.3963500576917163
TCGA-4Z-AA80-01,0.6913266555056355,316.2413838411656,4.380694612606397,2.3599999999999994,11.9789,2.3305970520494586
TCGA-4Z-AA81-01,1.6707853572687135,313.7725563512871,3.727859103141504,2.615000000000001,12.5341,3.2708170390448124
TCGA-4Z-AA82-01,5.0098634178477605e-14,368.49128740295504,4.066261253362338,2.164999999999999,12.87455,3.371527960095644
TCGA-4Z-AA83-01,1.1672365875818514e-14,319.1607100968191,3.6631425240654796,2.4000000000000004,12.629850000000001,3.4154752210924006
TCGA-4Z-AA84-01,8.302490774666162e-15,395.2735692117684,4.288475370554691,2.3500000000000005,12.203999999999999,2.8143488778770034
TCGA-4Z-AA86-01,1.4215122999321563,394.7474038879642,4.090913058924462,2.015,12.839949999999998,3.0006808641726663
TCGA-4Z-AA87-01,0.6915453193409873,357.91261771041115,3.6645780785061848,2.2700000000000014,11.81005,3.22864703696022
TCGA-4Z-AA89-01,0.6881238851553162,249.98918999072197,3.625183862117335,2.6900000000000004,12.306600000000001,2.9947688888841766
TCGA-5N-A9KI-01,3.0604324355690265e-14,375.08873244693325,4.14512856039623,1.9800000000000009,12.873800000000001,3.1824933199034757
TCGA-5N-A9KM-01,1.828467539510615,359.95861752919194,3.888059790501956,2.305,12.68905,3.226586366781324
TCGA-BL-A0C8-01,2.1997275825304663,331.9099854804199,4.32329896034422,2.3200000000000003,12.218200000000001,2.808801012104567
TCGA-BL-A13I-01,2.9521497224609456,363.0527275407308,4.213808010770144,2.42,12.382200000000001,2.627378862715619
TCGA-BL-A13J-01,0.6899984376609744,356.8964607900255,3.5635353061911887,2.1199999999999997,12.6527,3.0309420685182555
TCGA-BL-A13J-11,2.701169163087796,311.34243895768014,3.38866615322108,2.6000000000000014,12.372649999999998,3.1063748020792894
TCGA-BL-A3JM-01,0.6928119566763554,364.7230237875017,4.651903376553029,2.0900000000000007,11.70695,3.0188389699221303
TCGA-BL-A5ZZ-01,1.6078555273436006e-14,378.9482808096991,3.9016062726458234,1.8950000000000014,12.90835,2.9175207766592477
TCGA-BT-A0S7-01,1.8694966853848575e-14,330.92826792802646,3.3582031440652003,1.9749999999999996,12.03255,2.842125582983789
TCGA-BT-A0YX-01,1.3744105081943972e-14,358.89273973199994,2.4606153791824856,2.18,12.80585,3.0892994854610483
TCGA-BT-A20J-01,2.0757924284033672e-14,396.3276461494371,2.9936337564876188,1.825000000000001,12.145199999999999,3.230053464677222
TCGA-BT-A20N-01,1.553303547938735,301.259995623887,3.701134285756747,2.2750000000000012,12.215649999999998,3.026511801730845
TCGA-BT-A20N-11,5.948385193933411e-15,326.27064816015195,3.270962452306711,2.4450000000000003,12.6531,3.3087398195828355
TCGA-BT-A20O-01,1.672127600052804,364.2117282271237,3.3543754250470466,2.165,12.393650000000001,3.0483449083006544
TCGA-BT-A20P-01,2.2578889301842055e-14,314.78224144127614,3.6887889961716667,2.3200000000000003,12.37695,2.8604118573717034
TCGA-BT-A20Q-01,2.4322401762206912e-14,357.49442726717945,4.1680218644410925,2.049999999999999,12.6393,2.9690458151669614
