drug,rho_ic50,p_ic50,rho_auc,fdr_ic50
Dactinomycin,0.31698682706618697,1.5883534102703163e-22,0.20449551928853604,2.566491951058251e-22
Dactolisib,0.15811206351283563,1.8718945692555237e-06,0.014461507803697008,2.1329157243309953e-06
Daporinad,0.46206573746619517,1.7099242836265978e-30,0.4218970179981779,3.8506956308441495e-30
Dasatinib,-0.2695617519008413,1.6280504505795064e-16,-0.41518690867131003,2.260303052746305e-16
Dihydrorotenone,0.26479712982135856,1.6122744927166631e-12,-0.008976205770298498,2.0585290398078823e-12
Dinaciclib,0.3663385233053494,5.556732092108867e-28,0.36043981946425846,1.1191728016500956e-27
Docetaxel,0.28033990839524964,6.779435760896955e-18,0.22097030682308533,1.0046210505785125e-17
Doramapimod,0.3553075242181834,4.118103587582809e-28,-0.2653917200763296,8.412697328919166e-28
EHT-1864,0.42345105679661826,8.123075114526697e-40,-0.006384008356663097,3.27211194754174e-39
EPZ004777,0.4967162592818692,1.1140073772268012e-57,-0.1729879966823247,1.676874262562448e-56
EPZ5676,0.4808996495165238,1.682615846162789e-53,-0.30857139213983925,1.7823264148242876e-52
ERK_2440,-0.029401827030404563,0.4403218667691793,-0.22353417510975834,0.44498958973846386
ERK_6604,-0.02615300515841307,0.4924901512188785,-0.2809314774575519,0.4959583917204199
Eg5_9814,0.45822472310312795,5.800393624580323e-37,0.40764772447010694,1.82298085343953e-36
Elephantin,0.49143877280469206,2.701283793407939e-43,0.3537667395083845,1.3553809910783694e-42
Elesclomol,0.3275781895839074,3.73194188448925e-06,0.2595275297635306,4.23545785303145e-06
Entinostat,0.4911968269869561,2.099920941998862e-52,0.4171303313442277,1.876804341911483e-51
Entospletinib,0.07995152244506339,0.02047784745650397,-0.23712048829191573,0.021374687491095386
Epirubicin,0.39629031640779805,3.2400495273156137e-35,0.2690113126436424,8.910136200117938e-35
Erlotinib,0.09802225007299384,0.0032779885204809373,-0.3372617218035268,0.0034981519285729405
Fludarabine,0.3905192564872964,1.3514509866052563e-26,0.13915835159112025,2.576766547794022e-26
Foretinib,0.24739316914572806,6.012269818795861e-14,0.1610079768287653,7.851640037331581e-14
