,sr,dne,shannon,mad800,cytotrace,activity,netith
A549,1.7437510295107037,-16.594034939236508,4.663182743656806,2.406136772783859,9.972014304560082,0.15165542249157868,5.549413855829197
BALL-1,1.5008067560557903,211.42326012503307,4.3699411120308165,0.6295892945864403,8.717833476193606,0.24180891142166924,5.526356098206438
BICR78,1.7472201231391137e-14,184.09751852315503,4.85228576424863,2.319833814719784,9.695711255786467,0.16662472030031641,6.471341912995889
C3A,3.108209774673229,94.7365295695331,4.625388794138818,1.13987608186908,9.512402929056641,0.29905961274695064,5.943670729479504
CHL-1,2.911315654568999,121.58112128148147,4.314449323373961,1.9832700940085455,9.209254661508881,0.22485299089973462,5.661304900821209
CAL-39,3.1465411264071035,-12.151783980498124,5.023921761060302,2.4470524320364655,10.157698491844538,0.27927392035983833,5.611720094987848
COLO-824,1.664075706294785,238.0291182791948,4.588379279466972,1.6337207680709247,9.03009676806813,0.20333159162449116,5.7513985418014375
CTV-1,1.4471811175439673,268.2871781816304,4.253390225813405,0.5511414843803597,8.547977028804889,0.24947830243658561,5.405155651205601
DG-75,1.4401408284869575,346.21587545871887,4.115395452053739,0.4975360829353199,8.187058445560261,0.28072826923926264,5.729506304392811
EFM-19,1.499610096689847,155.8337132973606,4.455360227178551,1.36328975333132,9.223370671519378,0.23347805201583852,6.725077945312375
EW-11,1.7558118174644257,75.25454899733602,4.121693167153809,1.0360230416996201,8.695214898242536,0.21157764190751724,5.83533728286042
A172,2.3743267314094765,159.3532824632548,4.742811580641922,2.2375959050265952,9.536952843406763,0.17252880813074273,5.790064617472848
A673,1.7396064217517497,91.05556779798692,4.432319818238495,1.601680466015325,9.177304943835674,0.24224632415368386,5.520079116786956
BC-1,1.5408112374615275,-2.7451906964316777,4.064968654839538,0.5290336119592851,8.220693590443373,0.2686455627843798,5.644084048057781
C8166,3.0245194176874555,156.04899030557658,4.124599553264895,0.7086659860876952,8.290560350386311,0.3104708530976017,5.150336887861874
CHP-134,2.807142892247243,214.5730749995557,4.211365526567654,0.8291844888592099,8.812961658005959,0.2968186998572128,5.6864311860769226
CAL-72,2.9950647893448656,43.50673268125084,4.656176771942079,2.3478976167444,9.36214918982041,0.19449381038477545,5.595110784729119
COLO-320,2.868314519495295,161.97285403136578,3.7836497113653134,0.8427819984229852,8.382542150621312,0.2190159961488266,5.680710221830439
ChaGo-K-1,3.0695883195463116,147.42553696779726,4.665582891159925,2.1113362427536897,9.27785659158393,0.16980326477115212,5.71959327196718
DJM-1,4.068705176331232e-14,12.702551427011059,5.021883190015921,2.1777593994076545,9.904868779744334,0.1909522650854136,5.610264471657869
EFO-27,3.1697840714600902,-116.35136048619057,4.774396976980457,2.48020201241379,9.715550868975852,0.18783601654474466,5.821630746275985
EW-1,1.4420721745714955,12.62223633130472,4.4133233079695335,1.32183243880101,8.780039724007493,0.1890337593216633,5.577472798830151
MEL-JUSO,3.077331745988118,264.42456787709204,4.5316386950756,1.7138016804584049,9.482676138779484,0.21833173609114054,5.825914555668529
SF539,3.1024186659575883,71.81926907062848,4.676130548381375,2.4667482622978705,9.709923301249798,0.18119095531878898,5.603312458480874
SUP-T1,1.5233581104595801,172.66625494805078,3.845236817078237,0.5251214831150299,7.826672426652936,0.25660306124728327,5.775514740448701
KP-4,2.957495526596614,191.70309388360033,4.52101173539501,1.4734322827944395,8.870373316306232,0.17315845851124437,5.938126901857656
KM-H2,1.6278869044163842,101.03353265078547,4.0804171038629375,0.71489356303805,8.304645627017305,0.25042955886432355,5.69208836072638
SK-LMS-1,3.0916275916906817,107.21845932800474,4.782327834181657,2.4697373447846447,9.541067470154053,0.17409161162587594,5.749721050941784
H-EMC-SS,2.8308224774660857,211.23864503597093,4.24589337945888,0.6225309725181296,8.967699315490155,0.22697846407185124,5.514830908016174
HD-MY-Z,1.5957756216093133,54.90284702326372,4.718379909617644,2.480547431368335,9.814492910040437,0.21475846287907252,5.245977456814286
SW684,3.0615548475668786,36.33904188164411,4.568201620077323,2.0204041185587096,9.464193609567321,0.15901305813327954,5.821623282523553
HOP-92,1.5948020539607524,87.88622828267992,4.9130356544366585,2.581304948549765,9.792640694206522,0.14499574546148417,5.9497318965724615
JEG-3,2.997283700371013,152.28316848934077,4.350920759118457,1.2274534335665355,8.917071193039536,0.27143403127909393,5.595727804760276
JHH-2,2.929256464199567,69.89854794573323,4.818089733355967,2.578127648083915,9.9222198144542,0.25535442044700857,5.550081826383927
MDA-MB-231,1.5486127211267557,86.76088146298683,4.795612628521882,2.4565964778303897,9.480861459618104,0.1833432439148432,6.043207851699306
SHP-77,1.720675172539468,176.18570075251486,4.694907165848006,1.8876496360071502,9.383703000598432,0.23587415387700605,5.526755170682837
SK-ES-1,2.85018866762928,31.359396505734594,4.358849095165118,1.1695978306179697,8.8311570507106,0.18648274777215199,5.484805149065563
KYM-1,3.0642427346558536,233.12071376777268,4.491391967580501,0.8720999198736803,9.33231884413081,0.3533769654985309,5.497414166323689
KON,3.1372170234966497,58.55740395747779,4.926658167071049,2.3599753489079047,9.80253132207393,0.17982209555539902,5.61244076220445
Hs-766T,3.205152882475712,45.79065890833482,4.97782629376621,2.580693707401264,9.884024751961428,0.20305111324391434,5.826118464421661
HCE-T,1.3923138722026264e-14,200.36513097060632,4.603425306938377,2.54780725354673,9.722644737023707,0.24908646488198272,5.639805650903562
HCC-827,3.1673038063138863,-1.002194556913679,4.75240181128199,2.3908075967601645,9.554832331489875,0.20678818702117732,5.566835723388159
SW948,1.6067767013104075,93.58274591444966,4.68942576215699,1.7569114322203554,9.17630316842896,0.17902328754438224,5.312828426114062
HCE-4,1.541765193490563,172.9072276497864,4.919634077521087,1.91911465664288,9.539356185550812,0.13021128874275775,5.805133333309134
JVM-3,1.6559769389679535,205.45291386400595,4.582249714614479,0.9918001126680898,9.215983106945934,0.35457709586339914,5.567887541421161
JHH-4,3.001033613323731,157.1154086665,4.777614838600272,2.4282808744245195,9.493179893171044,0.17427566146254184,5.765960374247051
MDA-MB-361,1.6928637096285746e-14,203.06439197299937,4.579345413774327,1.56487418044072,9.019066514006374,0.19210502051010087,5.946682826914044
SH-4,1.4583906787416394,301.75642036406583,4.405582668420855,1.19072441715324,9.215095787520893,0.22382424958865055,5.718352331586976
SUIT-2,3.0709993078779583,88.10985864736284,4.8125952260210445,2.4501045297525046,9.911001017051,0.24183084814582476,5.574113009947034
SK-NEP-1,1.4770403822307263,191.02863132470634,4.219969636019092,1.24093890532908,8.547991181840016,0.20113067109585245,5.62277456680924
KNS-42,1.5604594441477633,171.70751361300722,4.463416197613432,1.7472252007548248,9.295682837927199,0.204373497955204,5.722204590239953
HSC-4,1.5400676466798087,133.9713626874281,4.860376982753298,2.2787082592661294,9.67279999205221,0.16259087207309633,5.8000308501894535
HN,1.4058038712765608e-14,7.639206991725473,4.986877505786091,2.19252919108643,10.081748084708037,0.28447045935602666,5.845035731910491
HT-1080,3.088886854505061,207.6094409478501,4.819008760375133,2.417054043132171,9.710626327350795,0.16212841326599367,5.837479053797592
SW954,1.5033201615108833,17.361400414674563,4.93916525479713,2.441901602277479,10.06413339528742,0.1783914381125396,5.629461193970844
JURL-MK1,1.5810552658175303,248.6732032203421,4.322327996202338,1.0779834873099448,8.703446358544696,0.22494563754408875,5.6680369593112925
JSC-1,1.6042312334864464,-69.72901871386503,4.0218160212469085,0.5193063098814954,8.411098059285132,0.2511078822129745,5.419593894977042
IPC-298,1.393176194073424,109.4317440930094,4.452063954958817,1.9172886598359102,9.370599766121025,0.18866568770682168,5.511197626087449
MDA-MB-453,3.086559055014469,243.95451278509148,4.475967227849412,0.8709577475502901,8.77997660974716,0.24078932797782213,5.96041689371523
S-117,1.674198487013506,139.53338682758238,4.723263717107339,2.1907152407834953,9.692878768963006,0.19907061068707607,5.615199689137976
SK-MES-1,3.1697917967583953,-22.48933518114302,4.962219342099297,2.2603836030109097,9.691753913242414,0.13240023714697396,6.088347336831298
SK-UT-1,3.1557972418038807,71.72768885002719,4.6743244810981635,1.906309835620995,9.33732416064396,0.17178865989150519,6.110884500822548
KP-1N,3.005300769386591,223.48469960013665,4.621900198075356,1.7040970650391247,9.117895991085526,0.13900896095810633,5.854720279809785
HT-1376,3.1522097983674637,178.78493245231928,4.802516615672964,2.136624084064805,9.53244402734963,0.19423469312944028,6.040288860726368
HA7-RCC,3.118106490784372,120.53272265987621,4.850930317866545,2.43390676826993,9.85404098478042,0.19809643296339405,5.737345559786087
HPAF-II,1.4631736959558652,36.41641601680948,4.814858263452921,2.65728940951791,9.988708298780038,0.16895512125250534,5.571429052598894
SW962,3.208990202964448,195.29519869762092,4.858990782544617,2.497901559294889,9.884288341396095,0.16135135551267704,5.8752485415460125
JJN-3,1.43717270742038,-30.65739552060913,4.120015950125459,0.9111896025455553,8.578278591357822,0.2412837732430969,5.365628778104441
J-RT3-T3-5,1.5743255052058354,319.9443534859315,4.21263409797112,0.765191379948285,8.378988889360915,0.2519909451764126,5.731324366300671
IA-LM,3.0211368262499847,-13.29988961849557,4.730444974627591,2.363298356369575,9.541785177245183,0.2038106684933846,5.625844474445909
SBC-5,2.775937735437869,-156.88342548971337,4.301696116629749,0.9657240796142099,8.659907708142761,0.22797945460689129,5.401336525520648
