cell_line,phospho_netith,original_netith
MDA-MB-231,5.179127263506727,6.043207851699306
MDA-MB-330,4.7251431079716255,5.9882736861023185
MDA-MB-361,4.6608034837222405,5.946682826914044
MDA-MB-415,4.898269856377743,6.147546752210258
MDA-MB-436,4.855348041755478,5.668112111737833
MDA-MB-453,5.065568187670724,5.96041689371523
MDA-MB-468,4.737381538407276,5.895063116647753
MDST8,4.7730133866361095,5.671869799668094
ME-1,4.32619103258439,5.321112804525603
ME-180,4.7322927771895955,5.723181627493498
MEG-01,4.233717724219595,5.652879252019489
MEL-HO,4.728763757516931,5.647367787815991
MEL-JUSO,5.06803579315146,5.825914555668528
MES-SA,4.9244286264193935,5.903676685322345
MFE-280,4.919162078169373,5.750353065705379
MFE-296,4.621379089279596,5.646328805070282
MFE-319,4.509065604598874,5.440163025948048
MFH-ino,4.710337765754174,5.971885922062626
MFM-223,4.832263179562764,6.010171756842894
MG-63,4.792411850337695,5.646679823205524
MHH-CALL-2,4.558939072057505,5.431139721331858
MHH-CALL-4,4.3679112885942555,5.463410620759323
MHH-NB-11,4.549546808046008,5.785318217832859
MHH-PREB-1,4.699969787508274,5.483322406036857
MIA-PaCa-2,4.723247971054324,5.518836983301056
MKN1,4.674999325061883,5.712181245642108
MKN28,4.506763908657656,5.908605969428753
MKN45,4.619895371196044,5.760252701033376
MKN7,4.677546183299453,5.631991597549447
ML-1,4.552982458537436,5.850306773490823
ML-2,4.592965640276602,5.480563145816788
MLMA,4.431364078225771,5.4511636427969465
MM1S,4.639279975398064,5.606347113358979
MN-60,4.448270276518694,5.361368319670824
MOG-G-CCM,4.839707824611284,5.761804457665065
MOG-G-UVW,4.884689741454575,5.838682052030274
MOLM-13,4.291818302920609,5.201329944819693
MOLM-16,4.135963268286633,5.468159442021952
MOLP-8,4.642525003374913,5.547816398076925
MOLT-13,4.74198351174208,5.514656779322079
MOLT-16,4.785809527906549,5.425548561418165
MOLT-4,4.704692274113783,5.549383458847933
MONO-MAC-6,4.616026939020188,5.555248194294787
MPP-89,4.816000285576154,5.8751268903998755
MRK-nu-1,4.557377621565564,5.806269126059102
MS-1,4.4321800635361885,5.436833822635731
MS751,4.666358934201055,5.643047346244377
MSTO-211H,4.57041406531817,5.585939289840795
MV-4-11,4.565385509261776,5.326100559255712
MZ1-PC,4.803593146037647,5.86828660902275
MZ2-MEL,4.597825620292724,5.437587053957528
MZ7-mel,4.622863114365588,5.657537891668265
Mewo,5.053524849207537,6.0409223554455105
Mo-T,4.720699506702346,5.71056262677949
NALM-6,4.66669855617263,5.611596423212347
NAMALWA,4.5259808552287435,5.483665343525976
NB1,4.494437283725014,5.643959270024495
NB10,4.63284767393737,5.857212221389944
NB12,4.642850220743691,5.346137970089883
NB13,4.644349266305227,5.6730054057796515
NB14,4.727132285778916,5.828318921281727
NB17,4.422259902444633,5.544773769999689
NB4,4.521059405699122,5.234614333150433
NB5,4.6103372790429225,5.785301473943921
NB6,4.521857022769708,5.62224015333564
NB69,4.607997093809725,5.671197963628616
NB7,4.208455731214324,5.3684505580287665
NCC010,4.563334810760184,5.731254267694722
NCC021,4.911818695154592,5.887093269639366
NCCIT,4.751051281854543,5.58709803157364
NCI-H1048,5.265782108322799,6.10379434627995
NCI-H1092,4.59257463470073,5.855196565904675
NCI-H1105,4.413525938038268,5.739004158619117
NCI-H1155,4.445992229205162,5.636893523170763
NCI-H1299,4.76204849594825,5.741292891518589
NCI-H1341,4.866525126348906,5.510505496338511
NCI-H1355,4.797777751093922,5.549171343040596
NCI-H1435,4.690571289959207,5.5797808603768075
NCI-H1436,4.66526716537627,5.865749062828501
NCI-H146,4.702180741922481,5.936209356445227
NCI-H1563,4.563931321379787,5.641971711216757
NCI-H1568,4.670041212229178,5.9909911243122815
NCI-H1573,4.836208242878866,5.4554940979453335
NCI-H1581,4.4651103620843635,5.212592017562729
NCI-H1623,4.889063596389111,5.77161502147662
NCI-H1648,4.714653856845157,5.60289759831484
NCI-H1650,4.528483263832133,5.7299223309960405
NCI-H1651,4.926214827420978,6.069064784959911
NCI-H1666,4.927038689201571,5.676207644026412
NCI-H1688,4.69500424970629,5.564619702922882
NCI-H1693,4.91645854989771,5.845443956786356
NCI-H1694,4.551429068784101,5.760143375263789
NCI-H1703,4.532617842170937,5.887606053010984
NCI-H1734,4.4076450392689,5.600196764015902
NCI-H1755,5.1978754406105505,5.823417921685262
NCI-H1770,4.569880422534334,5.550710002797024
NCI-H1781,4.425668584776083,5.161573002779977
NCI-H1792,4.96097419397633,5.989360174398265
NCI-H1793,4.675165147862314,5.68982669552147
NCI-H1836,4.609766617291348,5.779444046532564
NCI-H1838,4.578743203022343,5.75239316522054
NCI-H1869,4.525174082658926,6.2118680192242355
NCI-H1876,4.640424259234978,5.845615546554524
