k,combo,tfs,n_tfs,delta_netith_pred,abs_delta
4,ATF4+SMAD7+HES1+NPM1,"ATF4,HES1,NPM1,SMAD7",4,-0.1838760850853013,0.1838760850853013
4,ATF4+HEYL+SFPQ+NFIA,"ATF4,HEYL,NFIA,SFPQ",4,-0.1837895807848582,0.1837895807848582
4,HEYL+ZBTB20+SFPQ+SRF,"HEYL,SFPQ,SRF,ZBTB20",4,-0.1837679666673033,0.1837679666673033
4,ATF4+RARG+HOXC13+ZNF165,"ATF4,HOXC13,RARG,ZNF165",4,-0.18375873083409344,0.18375873083409344
4,HEYL+SFPQ+DNMT3B+AEBP1,"AEBP1,DNMT3B,HEYL,SFPQ",4,-0.18374691755413397,0.18374691755413397
4,PAX3+HEYL+NFIA+AEBP1,"AEBP1,HEYL,NFIA,PAX3",4,-0.18364160474520896,0.18364160474520896
4,HEYL+ZBTB20+RARG+DNMT3B,"DNMT3B,HEYL,RARG,ZBTB20",4,-0.18352563171720251,0.18352563171720251
4,ATF4+DNMT3B+SRF+HOXC13,"ATF4,DNMT3B,HOXC13,SRF",4,-0.183521976908136,0.183521976908136
4,HEYL+NPM1+AEBP1+ZNF165,"AEBP1,HEYL,NPM1,ZNF165",4,-0.1834876682158253,0.1834876682158253
4,RARG+HES1+AEBP1+ZNF165,"AEBP1,HES1,RARG,ZNF165",4,-0.18338983799540448,0.18338983799540448
4,PAX3+ZBTB20+RARG+SFPQ,"PAX3,RARG,SFPQ,ZBTB20",4,-0.18338892700938741,0.18338892700938741
4,PAX3+HES1+HOXC13+ZNF165,"HES1,HOXC13,PAX3,ZNF165",4,-0.1832908718517614,0.1832908718517614
4,ATF4+SMAD7+ZNF202+HOXC13,"ATF4,HOXC13,SMAD7,ZNF202",4,-0.18324759375738833,0.18324759375738833
4,ATF4+PAX3+SMAD7+HES1,"ATF4,HES1,PAX3,SMAD7",4,-0.183205770376937,0.183205770376937
4,ATF4+HES1+NFIA+SRF,"ATF4,HES1,NFIA,SRF",4,-0.18319574730017124,0.18319574730017124
4,DNMT3B+HES1+SRF+AEBP1,"AEBP1,DNMT3B,HES1,SRF",4,-0.18315308406944703,0.18315308406944703
4,ATF4+SFPQ+DNMT3B+NPM1,"ATF4,DNMT3B,NPM1,SFPQ",4,-0.18301985067160115,0.18301985067160115
4,ATF4+HEYL+SFPQ+ZNF165,"ATF4,HEYL,SFPQ,ZNF165",4,-0.18296532954711014,0.18296532954711014
4,ATF4+FOXP3+ZNF202+AEBP1,"AEBP1,ATF4,FOXP3,ZNF202",4,-0.1829181860422629,0.1829181860422629
