drug,n,rho_original,p_original,rho_phospho,p_phospho,rho_kinase_only,p_kinase_only,rho_combined,p_combined,delta_phospho,delta_combined
Alisertib,891,0.21272334368016332,1.4142440991906375e-10,0.13367444451739305,6.267503278126183e-05,,,-0.07174411181565915,0.03225080529775531,-0.07904889916277028,-0.2844674554958225
GSK2256098C,691,0.24661618940828645,4.9372063550667254e-11,0.16758568592200224,9.480885367271007e-06,,,-0.0682328970946965,0.07305739409560501,-0.07903050348628421,-0.31484908650298293
Docetaxel,910,0.20686493807098955,2.976076900780016e-10,0.1278386646157891,0.00011018983292504613,,,-0.07245324983638882,0.028851591698494303,-0.07902627345520044,-0.2793181879073784
JNK Inhibitor VIII,894,0.2420471203104747,2.1941032265505662e-13,0.16369550194453983,8.616925175070287e-07,,,-0.07790138077926279,0.019831521532989987,-0.07835161836593488,-0.3199485010897375
JQ1,892,0.24738636192444843,6.631217523221604e-14,0.16908586075851156,3.7839733927488044e-07,,,-0.07629014625132916,0.02268870602711997,-0.07830050116593687,-0.3236765081757776
JAK1_8709,691,0.26476101559235193,1.5079691553202336e-12,0.18672073247065182,7.694756513092517e-07,,,-0.06500927990619347,0.08770988814482529,-0.07804028312170011,-0.3297702954985454
CZC24832,840,0.24770396702457265,3.2833261831265554e-13,0.16972794948486522,7.505723995985566e-07,,,-0.07156037433645536,0.03811767135697684,-0.07797601753970743,-0.319264341361028
Gemcitabine,903,0.2598720731730134,2.104107240722128e-15,0.1819216540591008,3.688189235131753e-08,,,-0.06988313715709196,0.03576017474332062,-0.07795041911391262,-0.32975521033010535
YK-4-279,900,0.2750669568727863,4.3461331324638157e-17,0.19906977662935388,1.6996210921393292e-09,,,-0.07751800516626152,0.020028763097492495,-0.07599718024343244,-0.3525849620390478
PCI-34051,840,0.23409818162602677,6.402475908763597e-12,0.1581708388394622,4.0964700442099505e-06,,,-0.04108061782562455,0.2342986130357938,-0.07592734278656457,-0.2751787994516513
Ibrutinib,836,0.1624967588104133,2.3265393985258076e-06,0.08658801140323664,0.012261214002215196,,,-0.07233295922945486,0.03652616328278068,-0.07590874740717667,-0.23482971803986818
Tanespimycin,892,0.037030814964820864,0.2692444975662283,-0.03884422776754264,0.24647793154328762,,,-0.08055253624428925,0.01611284005765633,-0.0758750427323635,-0.11758335120911012
PFI-1,889,0.24618104705084376,9.716442315941411e-14,0.1706937414482408,3.0572915269025754e-07,,,-0.06373630802110616,0.05748218738023753,-0.07548730560260297,-0.30991735507194995
LGK974,906,0.2854265142783655,1.91228038631293e-18,0.21023788690058268,1.6486023482964466e-10,,,-0.07226158857700106,0.02963740226737788,-0.07518862737778284,-0.35768810285536656
Zoledronate,691,0.27197024610754944,3.4937766708767427e-13,0.19688585769937614,1.8155459311749643e-07,,,-0.06145691072050115,0.10650324555296031,-0.0750843884081733,-0.3334271568280506
743380,691,0.17899333294295777,2.1911131138011175e-06,0.10418521405250213,0.006121356117172482,,,-0.05889028834085171,0.12196416712004153,-0.07480811889045565,-0.23788362128380947
AZD5991,688,0.23670249888607742,3.238379589323867e-10,0.16189963333044932,1.98077160598055e-05,,,-0.06302465457346457,0.09858398953669474,-0.0748028655556281,-0.299727153459542
Cisplatin,735,0.26920482267068657,1.1412609038776065e-13,0.19444239607938898,1.0764257845697041e-07,,,-0.07022925033062627,0.057029239144789086,-0.07476242659129759,-0.33943407300131284
Acetalax,691,0.05671355659178851,0.13640256242470533,-0.018041570633670477,0.6359018061681928,,,-0.05098180061822398,0.1807020125715083,-0.07475512722545899,-0.1076953572100125
Motesanib,892,0.3024567395634841,2.5152667343830525e-20,0.22778091671176404,5.8136639956537095e-12,,,-0.08593713106641264,0.01023513227358922,-0.07467582285172009,-0.3883938706298968
A-366,716,0.24928656813371994,1.3248512539556176e-11,0.17475625984543494,2.5482011246353012e-06,,,-0.06578418659482684,0.07856136015838626,-0.074530308288285,-0.3150707547285468
GSK626616AC,691,0.2900854667903745,7.279703332136445e-15,0.2163492925412686,9.190586189074873e-09,,,-0.06885348513851121,0.07047999858412403,-0.07373617424910589,-0.3589389519288857
Rapamycin,893,0.14760262729709114,9.470312786741665e-06,0.0741577389992778,0.026690720967168024,,,-0.06684781339370688,0.045819057258986017,-0.07344488829781334,-0.21445044069079802
GSK2606414,832,0.2423746296630288,1.3747605595923394e-12,0.16919442728493786,9.181982685704254e-07,,,-0.06968012836903716,0.04450499699831173,-0.07318020237809095,-0.31205475803206595
glutathione,706,0.1744298919072788,3.1270637576666584e-06,0.10129168887854108,0.007069584770516085,,,-0.05859547749896268,0.1198274210776356,-0.07313820302873773,-0.2330253694062415
150412,691,0.21169133609918064,1.9270552375906804e-08,0.13870326449751208,0.0002550189184090749,,,-0.05664114313605182,0.13690458749396292,-0.07298807160166856,-0.26833247923523246
AZD2014,691,0.11056079875205903,0.003614725404965994,0.03759938664966472,0.3236769108578559,,,-0.05611624560054615,0.14058619800813285,-0.0729614121023943,-0.16667704435260516
Axitinib,903,0.25836625789943496,3.0844860515592996e-15,0.1854105052959078,1.99316062021307e-08,,,-0.07736539107291897,0.020067035848299337,-0.07295575260352716,-0.3357316489723539
MN-64,840,0.1629510326889433,2.059435555724931e-06,0.09020068663038679,0.008904345475880938,,,-0.08152293299735401,0.01811910693476621,-0.0727503460585565,-0.2444739656862973
SGC0946,889,0.2100319831718575,2.5455514487284883e-10,0.1378579404722906,3.718472641595241e-05,,,-0.06904382169356069,0.039573072080357916,-0.0721740426995669,-0.27907580486541816
Schweinfurthin A,690,0.22612620667038835,1.889212683413849e-09,0.15415345200856564,4.777206623529563e-05,,,-0.062316286610831856,0.10193655452513715,-0.07197275466182271,-0.2884424932812202
AMG-319,892,0.25925880274852603,3.6277886703946726e-15,0.1874913421471354,1.681455855058778e-08,,,-0.06710176873730975,0.04511995453810818,-0.07176746060139064,-0.32636057148583575
WZ4003,840,0.17455756436324718,3.5663354566573463e-07,0.1028462746849536,0.0028427797722051728,,,-0.05239327558165878,0.12919540943170488,-0.07171128967829359,-0.22695083994490595
Picolinici-acid,839,0.29196795578000045,5.966546858238834e-18,0.22028489259736825,1.1144675997355587e-10,,,-0.055363284185100135,0.10905318741088896,-0.0716830631826322,-0.34733123996510057
