drug,n,rho_netith_raw,p_netith_raw,rho_netith_ctrl_ev,p_netith_ctrl_ev,rho_netith_ctrl_mad,p_netith_ctrl_mad,rho_netith_ctrl_shannon,p_netith_ctrl_shannon,fdr_netith_raw,fdr_netith_ctrl_ev,fdr_netith_ctrl_mad,fdr_netith_ctrl_shannon
MIM1,718,0.20431634354482547,3.321329223978626e-08,0.22140433667392764,2.0113507773774895e-09,0.13022112703492064,0.0004684636762658408,0.14457675691295832,0.00010119731244580262,5.0259267622110425e-08,3.325123250462208e-09,0.0007203258678066155,0.0001365209026391488
MIRA-1,908,0.2798277010649159,8.496378530230166e-18,0.28408527412003726,2.5686677750093882e-18,0.17340557450875477,1.4569331586253234e-07,0.21829640428987607,2.946413999597054e-11,1.0124851081857614e-16,3.0609957652195207e-17,9.690299613182384e-07,2.905773806499164e-10
MK-1775,909,0.28973445100718626,4.865718798804392e-19,0.29910652874843574,3.044715993440193e-20,0.18428154913085348,2.188846136631377e-08,0.23293025434605233,1.1509281951639534e-12,1.0172528440660596e-17,6.698375185568425e-19,2.407730750294515e-07,1.8205457542650605e-11
MK-2206,910,0.18846344339383217,1.011289356011471e-08,0.1916381553837945,5.638515553865728e-09,0.11349182131153854,0.0006035819612701912,0.14445919688771092,1.2156480784666951e-05,1.606826421218226e-08,8.909477615500541e-09,0.0009037928844150508,1.8493369704333767e-05
MK-8776,894,0.252454286928654,1.827371655757514e-14,0.2523481619567167,1.875366962485625e-14,0.14074879405444876,2.405173262174706e-05,0.1782834617482162,8.039710201013813e-08,8.710471559110816e-14,7.347328099601216e-14,5.057937889573279e-05,1.9322328718402944e-07
ML323,838,0.254549434415941,7.357361734487152e-14,0.26411151214113215,7.690853066801574e-15,0.16777562433027207,1.0383976299104584e-06,0.22173530307762526,8.571004491526711e-11,3.006007794376179e-13,3.383975349392693e-14,4.536405426045757e-06,6.125474018633528e-10
MN-64,840,0.1629510326889433,2.059435555724931e-06,0.16737728207826663,1.070127307152979e-06,0.09876931312463391,0.00416544962283235,0.140328693371569,4.479098218685972e-05,2.765251497358358e-06,1.416927823359963e-06,0.005271321204115275,6.40511045272094e-05
Methotrexate,828,0.14779075048091408,1.9571829259573495e-05,0.16523009180359707,1.7511699414888405e-06,0.08285750325223044,0.017091961258035398,0.11324672429962125,0.0010975167806218198,2.40237904216224e-05,2.2765209239354923e-06,0.020255808566031246,0.0013188647027640354
Mirin,840,0.2859043977427081,2.888640023091012e-17,0.2848021326560837,3.863169264352961e-17,0.19839564884384958,6.661995927484248e-09,0.2336917792036067,6.977006244557789e-12,3.059818691126035e-16,3.452707530015459e-16,9.526654176302474e-08,8.314265774764699e-11
Mitoxantrone,691,0.26168909931991,2.7748446087596175e-12,0.2527237242993153,1.5728260397041373e-11,0.16031768084905962,2.295328471350586e-05,0.20807761005772346,3.383432290811165e-08,7.857480773319313e-12,3.598625978843066e-11,4.862695872639019e-05,9.304438799730704e-08
Motesanib,892,0.3024567395634841,2.5152667343830525e-20,0.3119964950796682,1.369146173143993e-21,0.21833694391053826,4.3548754137133445e-11,0.25641305009987186,7.380538731409223e-15,7.992958733706144e-19,7.374657234572549e-20,2.4909887366440328e-09,5.277085192957594e-13
Mycophenolic acid,713,0.21081542281725085,1.3210362466341763e-08,0.20796422324228553,2.0859248605057314e-08,0.1492335245080272,6.326971422674362e-05,0.16504456865715855,9.435976032805325e-06,2.0759141018537057e-08,3.1234267544745506e-08,0.00011983535277383228,1.4666788833599583e-05
N-acetyl cysteine,710,0.14734176544630778,8.126033244597035e-05,0.14950173687378476,6.359086019943246e-05,0.08734982724302227,0.019919644607534266,0.10516447012462256,0.005031059266446749,9.643342356658722e-05,7.484356385612214e-05,0.023064851650829152,0.005687284388157195
