gene,n_mut,n_wt,mean_mut,mean_wt,delta,cohens_d,p_value,fdr,category
MAP3K1,7,652,4.698882171662535,4.650217781851141,0.048664389811394315,0.07356483441018327,0.6592500951767073,0.9497670862715274,Other
MAP4K3,6,653,4.8882303784373615,4.648552506428723,0.2396778720086381,0.30898682427286056,0.4380585958541272,0.9128229946164308,Other
MECOM,9,650,4.50582037446393,4.652741208612932,-0.14692083414900203,-0.21061375814379976,0.5273747017392362,0.9128229946164308,Other
MED12,6,653,4.907344867507239,4.648376875595004,0.2589679919122343,0.31866661628202775,0.43053978232831697,0.9128229946164308,Other
MED23,11,648,4.645427168861783,4.650824799554169,-0.0053976306923857464,-0.005953462691509135,0.7211261909925277,0.9717438822270672,Other
MED24,5,654,4.595077109721276,4.651160219296599,-0.056083109575322254,-0.09727581838501126,0.9062989860146584,0.9717438822270672,Other
MET,8,651,4.620155041914376,4.651110489452022,-0.030955447537645675,-0.039375513218898414,0.7034160052179328,0.9717438822270672,Oncogene
MGA,20,639,4.663986686863345,4.650319929939459,0.01366675692388597,0.018263050744533056,0.6978358262237585,0.9717438822270672,Other
MLH1,7,652,4.419867479756041,4.653213338359339,-0.2333458586032977,-0.3232981592397976,0.3096166471060513,0.9128229946164308,DNA_repair
MLH3,6,653,4.3476373869620035,4.6535196702095085,-0.305882283247505,-0.4517347789091091,0.3362155078575916,0.9128229946164308,Other
MTOR,10,649,4.723126387282665,4.6496192682523185,0.07350711903034668,0.09256263339409923,0.8756407438303464,0.9717438822270672,Other
MYH11,8,651,4.86417584691057,4.648111769882176,0.2160640770283937,0.297891411775891,0.3106906519053369,0.9128229946164308,Other
MYH9,11,648,4.908854837126963,4.646353033580532,0.2625018035464315,0.34247260472250146,0.2505062575438125,0.9128229946164308,Other
NCOR1,9,650,4.546295313046738,4.652180786386401,-0.10588547333966325,-0.1027052134853057,0.5424579954567955,0.9128229946164308,Other
NCOR2,22,637,4.634451648560328,4.651297068603225,-0.016845420042896464,-0.023140573202392073,0.8495837496391658,0.9717438822270672,Other
NF1,41,618,4.847886493728203,4.637655052954248,0.2102314407739554,0.237130522086909,0.2239826701509131,0.9128229946164308,TSG
NF2,21,638,4.544464269127701,4.654232632158149,-0.10976836303044823,-0.14327873387828924,0.9068005001407787,0.9717438822270672,TSG
NFE2L2,13,646,4.424158223086107,4.65529429112765,-0.2311360680415424,-0.37483032532060145,0.3651229171851611,0.9128229946164308,Other
NOTCH1,16,643,4.202020310652917,4.661900223947332,-0.45987991329441513,-0.6828052931716924,0.015121144343939984,0.6980961987904161,Other
NOTCH2,5,654,4.873497488734155,4.649031623126774,0.2244658656073808,0.36822106484683853,0.27954452038407684,0.9128229946164308,Other
NR4A2,6,653,4.701613073299032,4.650267213673487,0.0513458596255445,0.0634020304032193,0.9639869057184526,0.9717438822270672,Other
NRAS,50,609,4.61683622308114,4.653517828923685,-0.03668160584254476,-0.04452710439626032,0.2966865926212443,0.9128229946164308,Oncogene
NSD1,17,642,4.485460513464363,4.655111121868671,-0.16965060840430812,-0.18635010042898972,0.2706286814527744,0.9128229946164308,Other
NSD2,11,648,4.596369581758292,4.651657567236481,-0.055287985478188695,-0.06198907949968879,0.949698148121148,0.9717438822270672,Other
NSD3,7,652,4.866330263749845,4.648420026261245,0.21791023748859928,0.32169395151025704,0.2765826659259153,0.9128229946164308,Other
PABPC3,5,654,4.691837259184607,4.65042046280223,0.04141679638237683,0.06187214434996471,0.7635412214302792,0.9717438822270672,Other
PBRM1,14,645,4.6020297159601595,4.651791865031224,-0.04976214907106424,-0.07794519784792973,0.9079327305463292,0.9717438822270672,"TSG,Chromatin"
PCDH18,5,654,5.0101317147493605,4.647987018952347,0.3621446957970136,0.40222772378259397,0.3999852578886721,0.9128229946164308,Other
PCSK5,7,652,4.325383615929717,4.654227735670358,-0.32884411974064065,-0.4283322688771715,0.14814583652181787,0.9128229946164308,Other
PIK3C2B,12,647,4.459090833868739,4.654289148318634,-0.195198314449895,-0.30638497012077404,0.43108396857649156,0.9128229946164308,Other
PIK3CA,73,586,4.75367848374313,4.637910647875994,0.11576783586713546,0.1355503135752412,0.2614507921558902,0.9128229946164308,Oncogene
PIK3R1,22,637,4.610602897089684,4.652120730349464,-0.0415178332597792,-0.057106382043107085,0.8415580973300718,0.9717438822270672,Other
PLCB1,8,651,4.3206227257297725,4.654791378130174,-0.3341686524004013,-0.49434219906619553,0.2506724821200987,0.9128229946164308,Other
POLR2B,10,649,4.894700462532495,4.646975599912568,0.24772486261992732,0.32677935720556417,0.26893154962562194,0.9128229946164308,Other
PSIP1,8,651,4.575046211680791,4.65166482223523,-0.07661861055443975,-0.11527471735954234,0.9656385830318424,0.9717438822270672,Other
PTCH1,16,643,4.419569218975344,4.65648687630634,-0.2369176573309959,-0.3749961316014684,0.2747909860951706,0.9128229946164308,Other
PTEN,71,588,4.681834909328182,4.646979405452858,0.03485550387532399,0.04195004905282875,0.5300513335809053,0.9128229946164308,TSG
PTPN11,6,653,4.1474692853529485,4.655358887069623,-0.5078896017166743,-0.6652720016411429,0.07276160717393945,0.9128229946164308,Other
PTPRU,7,652,4.0427015255479235,4.657262666088567,-0.6145611405406433,-0.9782864055200545,0.017836889067401232,0.6980961987904161,Other
RASA1,5,654,4.716381205960221,4.650232817949205,0.06614838801101541,0.0973211574457149,0.6426983110073365,0.9389326005321105,Other
RASA2,5,654,4.641840559551436,4.650802700567009,-0.008962141015573799,-0.013462663083695505,0.8719687685943585,0.9717438822270672,Other
RB1,65,594,4.721524226683419,4.642988374131582,0.07853585255183759,0.11027349281304369,0.19499528433134317,0.9128229946164308,TSG
RNF43,19,640,4.713863058671794,4.64886057945909,0.06500247921270397,0.07442570185346191,0.6443658895427928,0.9389326005321105,Other
ROBO2,16,643,4.536992771020787,4.65356498387597,-0.11657221285518293,-0.15721159838980583,0.545704813667522,0.9128229946164308,Other
RTN4,6,653,5.159480223019094,4.646060164824605,0.5134200581944892,0.6706697591713666,0.08852491833800351,0.9128229946164308,Other
SETD2,14,645,4.627577616451395,4.651237336958546,-0.02365972050715026,-0.031218698004313043,0.8099300420628627,0.9717438822270672,"TSG,Chromatin"
SETDB1,7,652,4.466437253391867,4.652713356127052,-0.18627610273518513,-0.2023836484367147,0.8858601587736987,0.9717438822270672,Other
SIN3A,14,645,4.635721933855856,4.651060561076898,-0.015338627221042067,-0.0195691378057438,0.728636833663936,0.9717438822270672,Other
SMAD4,31,628,4.4890173148665555,4.658717567209742,-0.1697002523431861,-0.24019594046202478,0.21163762026106403,0.9128229946164308,TSG
SMARCA4,31,628,4.506532449944757,4.6578529665928246,-0.15132051664806756,-0.18094751710984308,0.28973925392988154,0.9128229946164308,"TSG,Chromatin"
SMARCB1,5,654,4.209880563611532,4.654105147019149,-0.4442245834076175,-0.6585678214963294,0.1916457330220062,0.9128229946164308,Chromatin
SOS1,6,653,4.607073145738623,4.651135880695482,-0.044062734956859195,-0.06207495966443167,0.888919882537506,0.9717438822270672,Other
SOS2,7,652,4.3958792326803415,4.653470880889293,-0.2575916482089511,-0.406931657471718,0.4195053458161276,0.9128229946164308,Other
SPTAN1,7,652,4.815576368099933,4.648964930048898,0.16661143805103507,0.18600592359460624,0.5199889069768046,0.9128229946164308,Other
SRGAP1,6,653,4.230701159850606,4.6545941225259995,-0.4238929626753931,-0.4758235660935536,0.3741551398462661,0.9128229946164308,Other
STAG1,7,652,4.325836834330703,4.654222869828629,-0.32838603549792644,-0.516644272922382,0.268697431598222,0.9128229946164308,Other
STAG2,23,636,4.872036352366391,4.6427316554467835,0.2293046969196073,0.305347266972513,0.08447899284827742,0.9128229946164308,Other
STIP1,5,654,4.393719528318358,4.6526996503470786,-0.25898012202872067,-0.3998503150962483,0.4943427833123496,0.9128229946164308,Other
STK11,17,642,4.772903699398189,4.6474996979420755,0.12540400145611308,0.16168397902396983,0.5008822909004909,0.9128229946164308,TSG
TAOK1,5,654,4.608239479958668,4.6510595895547215,-0.04282010959605387,-0.0605480132045705,0.9262527192019469,0.9717438822270672,Other
TET2,13,646,4.511235062839843,4.653541970823008,-0.1423069079831656,-0.20348967123986914,0.4704656301122154,0.9128229946164308,Other
THRAP3,5,654,4.340019394902571,4.653110201825793,-0.31309080692322233,-0.40869322107100337,0.5091037093524001,0.9128229946164308,Other
TJP1,6,653,4.4509845583711884,4.652570079048016,-0.20158552067682756,-0.2788892521603658,0.7469953628509641,0.9717438822270672,Other
TP53,470,189,4.643595885086448,4.6684873173436525,-0.02489143225720447,-0.03237874649368948,0.4460025452340217,0.9128229946164308,"TSG,DNA_repair"
TRIO,9,650,4.304565209815516,4.655527818584987,-0.3509626087694704,-0.5612795474112734,0.15921460995977765,0.9128229946164308,Other
TSC1,7,652,4.693672368946286,4.650273715315885,0.043398653630401185,0.07586972842351175,0.5380319623878635,0.9128229946164308,Other
UPF3B,5,654,4.895640225745143,4.648862336146568,0.24677788959857505,0.2986697955698209,0.5500161209495286,0.9128229946164308,Other
USP6,7,652,4.873878386253238,4.648338988136209,0.2255393981170286,0.3129033814395601,0.2974119503756155,0.9128229946164308,Other
VHL,5,654,4.598383345800258,4.651134942262354,-0.05275159646209637,-0.08557984992162801,0.9135491731734917,0.9717438822270672,TSG
XPO1,6,653,5.208786658346239,4.645607119477035,0.5631795388692034,0.8332965922941377,0.03237690543691816,0.9128229946164308,Other
XRN1,10,649,4.321713713055501,4.65580436338679,-0.33409065033128904,-0.40009486990816057,0.5026374414731446,0.9128229946164308,Other
ZC3H11A,6,653,4.677875386845845,4.650485324115629,0.027390062730216158,0.03940217621182993,0.5115803905367994,0.9128229946164308,Other
ZFHX3,19,640,4.590950383604102,4.652509549500161,-0.061559165896059476,-0.07976267238990646,0.9644007681443505,0.9717438822270672,Other
ZFP36L2,8,651,4.628506131889017,4.6510078646904285,-0.022501732801411656,-0.027935563398919824,0.8552426388986947,0.9717438822270672,Other
ZMYM2,11,648,4.777788414189111,4.648577926562502,0.12921048762660892,0.1710086688852933,0.5604679594436688,0.9128229946164308,Other
ZNF292,21,638,4.780563255316638,4.646461348913686,0.13410190640295205,0.18412356157939389,0.39284248116345577,0.9128229946164308,Other
ZNF638,10,649,4.7932261560687,4.648539148548373,0.14468700752032682,0.1920114939702502,0.46502260032164333,0.9128229946164308,Other
