,sample,netith_bulk
TCGA-EK-A3GK-01,TCGA-EK-A3GK-01,2.871479012387587
TCGA-EK-A3GM-01,TCGA-EK-A3GM-01,2.7514424347818975
TCGA-EK-A3GN-01,TCGA-EK-A3GN-01,3.0997122782278286
TCGA-EX-A1H5-01,TCGA-EX-A1H5-01,3.332345361604917
TCGA-EX-A1H6-01,TCGA-EX-A1H6-01,2.4863178233972087
TCGA-EX-A3L1-01,TCGA-EX-A3L1-01,2.994566304894938
TCGA-EX-A449-01,TCGA-EX-A449-01,2.590392638896623
TCGA-EX-A69L-01,TCGA-EX-A69L-01,3.2748736852979086
TCGA-EX-A69M-01,TCGA-EX-A69M-01,3.481154455646391
TCGA-EX-A8YF-01,TCGA-EX-A8YF-01,2.708771372087395
TCGA-FU-A23K-01,TCGA-FU-A23K-01,2.217630688539569
TCGA-FU-A23L-01,TCGA-FU-A23L-01,2.547815951680116
TCGA-FU-A2QG-01,TCGA-FU-A2QG-01,3.0112344545060425
TCGA-FU-A3EO-01,TCGA-FU-A3EO-01,2.896585483002401
TCGA-FU-A3EO-11,TCGA-FU-A3EO-11,3.3032403171498177
TCGA-FU-A3HY-01,TCGA-FU-A3HY-01,3.138499817694671
TCGA-FU-A3HZ-01,TCGA-FU-A3HZ-01,2.915137917142718
TCGA-FU-A3NI-01,TCGA-FU-A3NI-01,3.0665947639502567
TCGA-FU-A3TQ-01,TCGA-FU-A3TQ-01,3.1131306619715815
TCGA-FU-A3TX-01,TCGA-FU-A3TX-01,3.35024347289955
TCGA-FU-A3WB-01,TCGA-FU-A3WB-01,3.3240289090999404
TCGA-FU-A3YQ-01,TCGA-FU-A3YQ-01,2.609645901066701
TCGA-FU-A40J-01,TCGA-FU-A40J-01,2.79124614063916
TCGA-FU-A57G-01,TCGA-FU-A57G-01,3.2258483150878314
TCGA-FU-A5XV-01,TCGA-FU-A5XV-01,3.280808486700323
TCGA-FU-A770-01,TCGA-FU-A770-01,2.96026806045678
TCGA-GH-A9DA-01,TCGA-GH-A9DA-01,3.052401466045177
TCGA-HG-A2PA-01,TCGA-HG-A2PA-01,3.261535267799972
TCGA-HM-A3JJ-01,TCGA-HM-A3JJ-01,2.973982939965308
TCGA-HM-A3JJ-11,TCGA-HM-A3JJ-11,3.175509461386624
TCGA-HM-A3JK-01,TCGA-HM-A3JK-01,3.092255013781472
TCGA-HM-A4S6-01,TCGA-HM-A4S6-01,3.2795951140387825
TCGA-HM-A6W2-01,TCGA-HM-A6W2-01,2.837660763902913
TCGA-HM-A6W2-06,TCGA-HM-A6W2-06,2.8990524536200515
TCGA-IR-A3L7-01,TCGA-IR-A3L7-01,3.0164271834997427
TCGA-IR-A3LA-01,TCGA-IR-A3LA-01,2.8457747398743938
TCGA-IR-A3LB-01,TCGA-IR-A3LB-01,3.2918087160430245
TCGA-IR-A3LC-01,TCGA-IR-A3LC-01,3.117241406923908
TCGA-IR-A3LF-01,TCGA-IR-A3LF-01,2.826321397751314
TCGA-IR-A3LH-01,TCGA-IR-A3LH-01,2.895317190736897
TCGA-IR-A3LI-01,TCGA-IR-A3LI-01,3.2389433682655357
TCGA-IR-A3LK-01,TCGA-IR-A3LK-01,2.8961740941200302
TCGA-IR-A3LL-01,TCGA-IR-A3LL-01,3.1496708239339086
TCGA-JW-A5VG-01,TCGA-JW-A5VG-01,3.138610975688934
TCGA-JW-A5VH-01,TCGA-JW-A5VH-01,3.074388801282978
TCGA-JW-A5VI-01,TCGA-JW-A5VI-01,2.8788292446632524
TCGA-JW-A5VJ-01,TCGA-JW-A5VJ-01,3.029026300774266
TCGA-JW-A5VK-01,TCGA-JW-A5VK-01,3.039583767994569
TCGA-JW-A5VL-01,TCGA-JW-A5VL-01,3.201934389556893
TCGA-JW-A69B-01,TCGA-JW-A69B-01,2.1534332332952264
TCGA-JW-A852-01,TCGA-JW-A852-01,2.8516946644556787
TCGA-JW-AAVH-01,TCGA-JW-AAVH-01,2.8955181258970386
TCGA-JX-A3PZ-01,TCGA-JX-A3PZ-01,2.9094272991914147
TCGA-JX-A3Q0-01,TCGA-JX-A3Q0-01,2.952719013156168
TCGA-JX-A3Q8-01,TCGA-JX-A3Q8-01,3.475714061822834
TCGA-JX-A5QV-01,TCGA-JX-A5QV-01,3.153176937506883
TCGA-LP-A4AU-01,TCGA-LP-A4AU-01,3.1104096228624933
TCGA-LP-A4AV-01,TCGA-LP-A4AV-01,2.7745915894951656
TCGA-LP-A4AW-01,TCGA-LP-A4AW-01,3.2666204548922564
TCGA-LP-A4AX-01,TCGA-LP-A4AX-01,3.107808453195318
TCGA-LP-A5U2-01,TCGA-LP-A5U2-01,3.114293659750382
TCGA-LP-A5U3-01,TCGA-LP-A5U3-01,3.296614289385609
TCGA-LP-A7HU-01,TCGA-LP-A7HU-01,2.929238728138225
TCGA-MA-AA3W-01,TCGA-MA-AA3W-01,2.8004659766748334
TCGA-MA-AA3X-01,TCGA-MA-AA3X-01,3.23795049878988
TCGA-MA-AA3Y-01,TCGA-MA-AA3Y-01,2.8836512005785955
TCGA-MA-AA3Z-01,TCGA-MA-AA3Z-01,3.2134003370782187
TCGA-MA-AA41-01,TCGA-MA-AA41-01,2.9021503597498897
TCGA-MA-AA42-01,TCGA-MA-AA42-01,2.9874331263682965
TCGA-MA-AA43-01,TCGA-MA-AA43-01,3.2291499466497653
TCGA-MU-A51Y-01,TCGA-MU-A51Y-01,2.8096532123822815
TCGA-MU-A5YI-01,TCGA-MU-A5YI-01,3.158521822041514
TCGA-MU-A8JM-01,TCGA-MU-A8JM-01,3.213011635726125
TCGA-MY-A5BD-01,TCGA-MY-A5BD-01,2.257143430388268
TCGA-MY-A5BE-01,TCGA-MY-A5BE-01,3.1972773091347264
TCGA-MY-A5BF-01,TCGA-MY-A5BF-01,2.8426411072460973
TCGA-MY-A5BF-11,TCGA-MY-A5BF-11,2.9731752263975086
TCGA-MY-A913-01,TCGA-MY-A913-01,3.1922079459632076
TCGA-PN-A8M9-01,TCGA-PN-A8M9-01,3.1214527051442205
TCGA-PN-A8MA-01,TCGA-PN-A8MA-01,2.6424623461875347
TCGA-Q1-A5R1-01,TCGA-Q1-A5R1-01,2.816344580392154
TCGA-Q1-A5R2-01,TCGA-Q1-A5R2-01,2.988104125233222
TCGA-Q1-A5R3-01,TCGA-Q1-A5R3-01,2.971778390070559
TCGA-Q1-A6DT-01,TCGA-Q1-A6DT-01,2.875621441293454
TCGA-Q1-A6DV-01,TCGA-Q1-A6DV-01,2.3108418490862905
TCGA-Q1-A6DW-01,TCGA-Q1-A6DW-01,3.3836200432301973
TCGA-Q1-A73O-01,TCGA-Q1-A73O-01,2.9116559336512386
TCGA-Q1-A73P-01,TCGA-Q1-A73P-01,2.92794985807205
TCGA-Q1-A73Q-01,TCGA-Q1-A73Q-01,2.7848571141211553
TCGA-Q1-A73R-01,TCGA-Q1-A73R-01,3.398090595250218
TCGA-Q1-A73S-01,TCGA-Q1-A73S-01,3.408494491969274
TCGA-R2-A69V-01,TCGA-R2-A69V-01,2.4864594497533776
TCGA-RA-A741-01,TCGA-RA-A741-01,3.124178899647535
TCGA-UC-A7PD-01,TCGA-UC-A7PD-01,2.9540538001802097
TCGA-UC-A7PF-01,TCGA-UC-A7PF-01,3.054607626437669
TCGA-UC-A7PG-01,TCGA-UC-A7PG-01,3.18088012014287
TCGA-UC-A7PG-06,TCGA-UC-A7PG-06,3.3010316532318766
TCGA-UC-A7PI-01,TCGA-UC-A7PI-01,2.8023331506526956
TCGA-VS-A8EB-01,TCGA-VS-A8EB-01,2.8904818907293772
TCGA-VS-A8EC-01,TCGA-VS-A8EC-01,3.1808918354224707
TCGA-VS-A8EG-01,TCGA-VS-A8EG-01,3.1391801169666698
TCGA-VS-A8EH-01,TCGA-VS-A8EH-01,2.9008117114381324
TCGA-VS-A8EI-01,TCGA-VS-A8EI-01,2.839254045685604
TCGA-VS-A8EJ-01,TCGA-VS-A8EJ-01,2.87815476076693
TCGA-VS-A8EK-01,TCGA-VS-A8EK-01,3.262771570870761
TCGA-VS-A8EL-01,TCGA-VS-A8EL-01,2.940933298692055
TCGA-VS-A8Q8-01,TCGA-VS-A8Q8-01,2.641211493418032
TCGA-VS-A8Q9-01,TCGA-VS-A8Q9-01,3.2998934350712577
TCGA-VS-A8QA-01,TCGA-VS-A8QA-01,3.1525026278424786
TCGA-VS-A8QC-01,TCGA-VS-A8QC-01,3.2570032795127055
TCGA-VS-A8QF-01,TCGA-VS-A8QF-01,3.004218109048784
TCGA-VS-A8QH-01,TCGA-VS-A8QH-01,2.4355043891450467
TCGA-VS-A8QM-01,TCGA-VS-A8QM-01,3.0019548962265277
TCGA-VS-A94W-01,TCGA-VS-A94W-01,2.765927479773534
TCGA-VS-A94X-01,TCGA-VS-A94X-01,3.2108432597012415
TCGA-VS-A94Y-01,TCGA-VS-A94Y-01,2.878389186729247
TCGA-VS-A94Z-01,TCGA-VS-A94Z-01,2.7288293440170794
TCGA-VS-A950-01,TCGA-VS-A950-01,2.9652157641195402
TCGA-VS-A952-01,TCGA-VS-A952-01,3.1901849127035886
TCGA-VS-A953-01,TCGA-VS-A953-01,2.964393178050129
TCGA-VS-A954-01,TCGA-VS-A954-01,3.389637931705281
TCGA-VS-A957-01,TCGA-VS-A957-01,3.0912469735487447
TCGA-VS-A958-01,TCGA-VS-A958-01,3.263566005474585
TCGA-VS-A959-01,TCGA-VS-A959-01,3.0987007125037067
TCGA-VS-A9U5-01,TCGA-VS-A9U5-01,3.413251986727524
TCGA-VS-A9U6-01,TCGA-VS-A9U6-01,3.0033515708277214
TCGA-VS-A9U7-01,TCGA-VS-A9U7-01,2.8991289513157166
TCGA-VS-A9UB-01,TCGA-VS-A9UB-01,3.176579129718084
TCGA-VS-A9UC-01,TCGA-VS-A9UC-01,3.0774770509798732
TCGA-VS-A9UD-01,TCGA-VS-A9UD-01,2.683423790804064
TCGA-VS-A9UH-01,TCGA-VS-A9UH-01,2.8951433507082496
TCGA-VS-A9UI-01,TCGA-VS-A9UI-01,3.0459122287939793
TCGA-VS-A9UJ-01,TCGA-VS-A9UJ-01,3.2226307148403666
TCGA-VS-A9UL-01,TCGA-VS-A9UL-01,3.0064641368595515
TCGA-VS-A9UM-01,TCGA-VS-A9UM-01,3.096761019023546
TCGA-VS-A9UO-01,TCGA-VS-A9UO-01,3.117629734365347
TCGA-VS-A9UP-01,TCGA-VS-A9UP-01,2.6418798111719313
TCGA-VS-A9UQ-01,TCGA-VS-A9UQ-01,2.303075333752503
TCGA-VS-A9UR-01,TCGA-VS-A9UR-01,2.947890209783502
TCGA-VS-A9UT-01,TCGA-VS-A9UT-01,2.401636727976039
TCGA-VS-A9UU-01,TCGA-VS-A9UU-01,3.1027760776537603
TCGA-VS-A9UV-01,TCGA-VS-A9UV-01,3.248693898603856
TCGA-VS-A9UY-01,TCGA-VS-A9UY-01,2.9973808946526947
TCGA-VS-A9UZ-01,TCGA-VS-A9UZ-01,2.5914570753156068
TCGA-VS-A9V0-01,TCGA-VS-A9V0-01,3.126699114970029
TCGA-VS-A9V1-01,TCGA-VS-A9V1-01,2.7277563618523897
TCGA-VS-A9V2-01,TCGA-VS-A9V2-01,3.1545686452542983
TCGA-VS-A9V3-01,TCGA-VS-A9V3-01,3.149228919935574
TCGA-VS-A9V4-01,TCGA-VS-A9V4-01,2.3127881986785295
TCGA-VS-A9V5-01,TCGA-VS-A9V5-01,3.0305406623662154
TCGA-VS-AA62-01,TCGA-VS-AA62-01,3.0796481165003198
TCGA-WL-A834-01,TCGA-WL-A834-01,3.316946732070678
TCGA-XS-A8TJ-01,TCGA-XS-A8TJ-01,3.3073361464930087
TCGA-ZJ-A8QO-01,TCGA-ZJ-A8QO-01,3.1819237251253014
TCGA-ZJ-A8QQ-01,TCGA-ZJ-A8QQ-01,3.0174560061973144
TCGA-ZJ-A8QR-01,TCGA-ZJ-A8QR-01,3.072385367657004
TCGA-ZJ-AAX4-01,TCGA-ZJ-AAX4-01,3.037193953964192
TCGA-ZJ-AAX8-01,TCGA-ZJ-AAX8-01,3.028463127103141
TCGA-ZJ-AAXA-01,TCGA-ZJ-AAXA-01,3.3106593288484087
TCGA-ZJ-AAXB-01,TCGA-ZJ-AAXB-01,2.611509254707677
TCGA-ZJ-AAXD-01,TCGA-ZJ-AAXD-01,2.820016411193454
TCGA-ZJ-AAXF-01,TCGA-ZJ-AAXF-01,3.130287833797422
TCGA-ZJ-AAXI-01,TCGA-ZJ-AAXI-01,3.0112785706544622
TCGA-ZJ-AAXJ-01,TCGA-ZJ-AAXJ-01,2.6555689525482817
TCGA-ZJ-AAXN-01,TCGA-ZJ-AAXN-01,2.7997760369623967
TCGA-ZJ-AAXT-01,TCGA-ZJ-AAXT-01,2.9238199701296095
TCGA-ZJ-AAXU-01,TCGA-ZJ-AAXU-01,2.767130854958874
TCGA-ZJ-AB0H-01,TCGA-ZJ-AB0H-01,2.7737841024151857
TCGA-ZJ-AB0I-01,TCGA-ZJ-AB0I-01,2.9650869769171884
TCGA-ZX-AA5X-01,TCGA-ZX-AA5X-01,3.121389020765547
TCGA-3L-AA1B-01,TCGA-3L-AA1B-01,2.175758105516735
TCGA-4N-A93T-01,TCGA-4N-A93T-01,2.5283406163581885
TCGA-4T-AA8H-01,TCGA-4T-AA8H-01,2.5081593612542363
TCGA-5M-AAT4-01,TCGA-5M-AAT4-01,2.5763757969578904
TCGA-5M-AAT5-01,TCGA-5M-AAT5-01,2.5685803874187823
TCGA-5M-AAT6-01,TCGA-5M-AAT6-01,2.3008989632219126
TCGA-5M-AATA-01,TCGA-5M-AATA-01,2.571753299543208
TCGA-5M-AATE-01,TCGA-5M-AATE-01,2.3086023299342937
TCGA-A6-2671-11,TCGA-A6-2671-11,2.4741529880077975
TCGA-A6-2675-01,TCGA-A6-2675-01,2.497200999833556
TCGA-A6-2675-11,TCGA-A6-2675-11,2.4721156083184965
TCGA-A6-2678-11,TCGA-A6-2678-11,2.5381333378370554
TCGA-A6-2679-11,TCGA-A6-2679-11,2.3270539691017507
TCGA-A6-2680-11,TCGA-A6-2680-11,2.3447616673351535
TCGA-A6-2682-01,TCGA-A6-2682-01,2.109158660301195
TCGA-A6-2682-11,TCGA-A6-2682-11,2.5651748415369076
TCGA-A6-2683-11,TCGA-A6-2683-11,2.5257661418749286
TCGA-A6-2684-01,TCGA-A6-2684-01,2.2399038214047247
TCGA-A6-2684-11,TCGA-A6-2684-11,2.563372062494488
TCGA-A6-2685-01,TCGA-A6-2685-01,2.513900015296736
TCGA-A6-2685-11,TCGA-A6-2685-11,2.5734024919774323
TCGA-A6-2686-01,TCGA-A6-2686-01,1.9259331239654698
TCGA-A6-2686-11,TCGA-A6-2686-11,2.499766894301332
TCGA-A6-4105-01,TCGA-A6-4105-01,2.562310726372055
TCGA-A6-5656-01,TCGA-A6-5656-01,2.064541806693642
TCGA-A6-5657-01,TCGA-A6-5657-01,2.1040554034680943
TCGA-A6-5659-01,TCGA-A6-5659-01,2.2461507293380922
TCGA-A6-5659-11,TCGA-A6-5659-11,2.636349042500492
TCGA-A6-5660-01,TCGA-A6-5660-01,2.4720091229967536
TCGA-A6-5661-01,TCGA-A6-5661-01,2.4707608348060326
TCGA-A6-5662-01,TCGA-A6-5662-01,2.1660306793124544
TCGA-A6-5662-11,TCGA-A6-5662-11,2.5876423245778404
TCGA-A6-5664-01,TCGA-A6-5664-01,2.5833933202543813
TCGA-A6-5665-01,TCGA-A6-5665-01,2.4294041915490934
TCGA-A6-5665-11,TCGA-A6-5665-11,2.5300372480349753
TCGA-A6-5666-01,TCGA-A6-5666-01,2.1527533452467553
TCGA-A6-5667-01,TCGA-A6-5667-01,2.1166146384146627
TCGA-A6-5667-11,TCGA-A6-5667-11,2.6389806675336276
TCGA-A6-6137-01,TCGA-A6-6137-01,2.303457533808229
TCGA-A6-6138-01,TCGA-A6-6138-01,2.0216253410928333
TCGA-A6-6140-01,TCGA-A6-6140-01,2.5660161189284905
TCGA-A6-6141-01,TCGA-A6-6141-01,2.349207819296788
TCGA-A6-6142-01,TCGA-A6-6142-01,2.3252666657723653
TCGA-A6-6648-01,TCGA-A6-6648-01,2.8291126649157388
TCGA-A6-6649-01,TCGA-A6-6649-01,2.117254615639261
TCGA-A6-6650-01,TCGA-A6-6650-01,2.6992098150259096
TCGA-A6-6651-01,TCGA-A6-6651-01,2.401092749678341
TCGA-A6-6652-01,TCGA-A6-6652-01,2.240802019881727
TCGA-A6-6653-01,TCGA-A6-6653-01,2.4400520986344127
TCGA-A6-6654-01,TCGA-A6-6654-01,2.2744459103954493
TCGA-A6-6780-01,TCGA-A6-6780-01,2.1298982077694912
TCGA-A6-6781-01,TCGA-A6-6781-01,2.219434824336429
TCGA-A6-6782-01,TCGA-A6-6782-01,2.3307543497848533
TCGA-A6-A565-01,TCGA-A6-A565-01,2.421188782518408
TCGA-A6-A566-01,TCGA-A6-A566-01,2.1188063990142925
TCGA-A6-A567-01,TCGA-A6-A567-01,2.4389318773677986
TCGA-A6-A56B-01,TCGA-A6-A56B-01,2.2680321272700072
TCGA-A6-A5ZU-01,TCGA-A6-A5ZU-01,2.472993543404099
TCGA-AA-3489-01,TCGA-AA-3489-01,2.2098773740946642
TCGA-AA-3489-11,TCGA-AA-3489-11,2.4301303088719868
TCGA-AA-3492-01,TCGA-AA-3492-01,2.2992629561470306
TCGA-AA-3495-01,TCGA-AA-3495-01,2.2240576202029443
TCGA-AA-3496-01,TCGA-AA-3496-01,2.330899365766184
TCGA-AA-3496-11,TCGA-AA-3496-11,2.5432465513622615
TCGA-AA-3502-01,TCGA-AA-3502-01,2.3237613189770006
TCGA-AA-3506-01,TCGA-AA-3506-01,2.1086943138917045
TCGA-AA-3509-01,TCGA-AA-3509-01,2.2042488536395104
TCGA-AA-3511-01,TCGA-AA-3511-01,2.513038357007633
TCGA-AA-3511-11,TCGA-AA-3511-11,2.522016124580264
TCGA-AA-3514-11,TCGA-AA-3514-11,2.649641234644202
TCGA-AA-3516-11,TCGA-AA-3516-11,2.5565614303995234
TCGA-AA-3517-11,TCGA-AA-3517-11,2.46871465753995
TCGA-AA-3518-11,TCGA-AA-3518-11,2.3948095202708037
TCGA-AA-3520-11,TCGA-AA-3520-11,2.4390965757586693
TCGA-AA-3522-11,TCGA-AA-3522-11,2.4187166246521703
TCGA-AA-3525-11,TCGA-AA-3525-11,2.4082995639076326
TCGA-AA-3526-01,TCGA-AA-3526-01,2.253642683150147
TCGA-AA-3527-11,TCGA-AA-3527-11,2.531554285883516
TCGA-AA-3531-11,TCGA-AA-3531-11,2.554444992293563
TCGA-AA-3534-11,TCGA-AA-3534-11,2.4724699184951895
TCGA-AA-3655-01,TCGA-AA-3655-01,2.4036659722802565
TCGA-AA-3655-11,TCGA-AA-3655-11,2.5763659788386484
TCGA-AA-3660-01,TCGA-AA-3660-01,2.2850626904723956
TCGA-AA-3660-11,TCGA-AA-3660-11,2.414960487525798
TCGA-AA-3662-01,TCGA-AA-3662-01,2.1685777113453564
TCGA-AA-3662-11,TCGA-AA-3662-11,2.699728789384448
TCGA-AA-3663-01,TCGA-AA-3663-01,2.152258772199808
TCGA-AA-3663-11,TCGA-AA-3663-11,2.259290474364785
TCGA-AA-3675-01,TCGA-AA-3675-01,2.108610535189034
TCGA-AA-3685-01,TCGA-AA-3685-01,2.4507066029647664
TCGA-AA-3697-01,TCGA-AA-3697-01,2.3700171172547204
TCGA-AA-3697-11,TCGA-AA-3697-11,2.5952042641228275
TCGA-AA-3712-01,TCGA-AA-3712-01,2.3040889340168467
TCGA-AA-3712-11,TCGA-AA-3712-11,2.615140476221642
TCGA-AA-3713-01,TCGA-AA-3713-01,2.2770402968012977
TCGA-AA-3713-11,TCGA-AA-3713-11,2.560058430323557
TCGA-AA-A01P-01,TCGA-AA-A01P-01,2.8622446659697176
TCGA-AA-A01X-01,TCGA-AA-A01X-01,2.4210821704347483
TCGA-AA-A01Z-01,TCGA-AA-A01Z-01,2.286929771242812
TCGA-AA-A02K-01,TCGA-AA-A02K-01,2.208556303262729
TCGA-AA-A02Y-01,TCGA-AA-A02Y-01,2.6522565152793174
TCGA-AD-5900-01,TCGA-AD-5900-01,2.3004458367823286
TCGA-AD-6548-01,TCGA-AD-6548-01,2.192275956416344
TCGA-AD-6888-01,TCGA-AD-6888-01,2.5524513447478867
TCGA-AD-6889-01,TCGA-AD-6889-01,2.2281780758876133
TCGA-AD-6890-01,TCGA-AD-6890-01,2.6633799258542803
TCGA-AD-6895-01,TCGA-AD-6895-01,2.3803900395932374
TCGA-AD-6899-01,TCGA-AD-6899-01,2.278013655535679
TCGA-AD-6901-01,TCGA-AD-6901-01,2.2629058840467096
TCGA-AD-6963-01,TCGA-AD-6963-01,2.196601157637994
TCGA-AD-6964-01,TCGA-AD-6964-01,1.85616619574294
TCGA-AD-6965-01,TCGA-AD-6965-01,2.3180939820243456
TCGA-AD-A5EJ-01,TCGA-AD-A5EJ-01,2.5978743887843065
TCGA-AD-A5EK-01,TCGA-AD-A5EK-01,2.3210097290073226
TCGA-AM-5820-01,TCGA-AM-5820-01,2.4515601804875713
TCGA-AM-5821-01,TCGA-AM-5821-01,2.89441959614108
TCGA-AU-3779-01,TCGA-AU-3779-01,2.089901140294027
TCGA-AU-6004-01,TCGA-AU-6004-01,2.097752914757952
TCGA-AY-5543-01,TCGA-AY-5543-01,2.400480535501983
TCGA-AY-6196-01,TCGA-AY-6196-01,2.8236930172602994
TCGA-AY-6197-01,TCGA-AY-6197-01,2.231999905366327
TCGA-AY-6386-01,TCGA-AY-6386-01,2.265388427346243
TCGA-AY-A54L-01,TCGA-AY-A54L-01,2.3245732752674835
TCGA-AY-A69D-01,TCGA-AY-A69D-01,2.324208421282868
TCGA-AY-A71X-01,TCGA-AY-A71X-01,2.4065811948211913
TCGA-AY-A8YK-01,TCGA-AY-A8YK-01,2.375477915244263
TCGA-AZ-4313-01,TCGA-AZ-4313-01,2.2547301370698403
TCGA-AZ-4315-01,TCGA-AZ-4315-01,2.6566632408272035
TCGA-AZ-4323-01,TCGA-AZ-4323-01,2.053045789430139
TCGA-AZ-4614-01,TCGA-AZ-4614-01,2.4628405828228033
TCGA-AZ-4615-01,TCGA-AZ-4615-01,2.0942121765591724
TCGA-AZ-4616-01,TCGA-AZ-4616-01,2.4274550751669053
TCGA-AZ-4682-01,TCGA-AZ-4682-01,2.4255107690118516
TCGA-AZ-4684-01,TCGA-AZ-4684-01,2.295470677792649
TCGA-AZ-5403-01,TCGA-AZ-5403-01,2.5298404653454636
TCGA-AZ-5407-01,TCGA-AZ-5407-01,2.2561799928360626
TCGA-AZ-6598-01,TCGA-AZ-6598-01,2.4320045820128477
TCGA-AZ-6598-11,TCGA-AZ-6598-11,2.3782827258578076
TCGA-AZ-6599-01,TCGA-AZ-6599-01,2.3083970011623998
TCGA-AZ-6599-11,TCGA-AZ-6599-11,2.568677303554346
TCGA-AZ-6600-01,TCGA-AZ-6600-01,2.1507307642259836
TCGA-AZ-6600-11,TCGA-AZ-6600-11,2.498310342114773
TCGA-AZ-6601-01,TCGA-AZ-6601-01,2.2965152895019356
TCGA-AZ-6601-11,TCGA-AZ-6601-11,2.5447997247413103
TCGA-AZ-6603-01,TCGA-AZ-6603-01,2.299873119766981
TCGA-AZ-6603-11,TCGA-AZ-6603-11,2.2516691621633034
TCGA-AZ-6605-01,TCGA-AZ-6605-01,2.4381687632414466
TCGA-AZ-6605-11,TCGA-AZ-6605-11,2.4056966008195175
TCGA-AZ-6606-01,TCGA-AZ-6606-01,2.493975480233689
TCGA-AZ-6607-01,TCGA-AZ-6607-01,2.92195046565367
TCGA-AZ-6608-01,TCGA-AZ-6608-01,2.303612378377484
TCGA-CA-5254-01,TCGA-CA-5254-01,2.806119181715642
TCGA-CA-5255-01,TCGA-CA-5255-01,2.4318646077360055
TCGA-CA-5256-01,TCGA-CA-5256-01,2.487751918340707
TCGA-CA-5796-01,TCGA-CA-5796-01,2.1938425584054246
TCGA-CA-5797-01,TCGA-CA-5797-01,2.5277887108736987
TCGA-CA-6715-01,TCGA-CA-6715-01,2.2325184686553983
TCGA-CA-6716-01,TCGA-CA-6716-01,2.3002206802220497
TCGA-CA-6717-01,TCGA-CA-6717-01,2.449394175415658
TCGA-CA-6718-01,TCGA-CA-6718-01,2.975349745069211
TCGA-CA-6719-01,TCGA-CA-6719-01,2.499044671170929
TCGA-CK-4947-01,TCGA-CK-4947-01,2.5545835122358107
TCGA-CK-4948-01,TCGA-CK-4948-01,2.2609772909406263
TCGA-CK-4950-01,TCGA-CK-4950-01,2.4666857122904133
TCGA-CK-4951-01,TCGA-CK-4951-01,2.1219322817333763
TCGA-CK-4952-01,TCGA-CK-4952-01,2.5610384216967637
TCGA-CK-5912-01,TCGA-CK-5912-01,2.4909460262979595
TCGA-CK-5913-01,TCGA-CK-5913-01,2.5898263749625055
TCGA-CK-5914-01,TCGA-CK-5914-01,2.109930890645327
TCGA-CK-5915-01,TCGA-CK-5915-01,2.5171773827532373
TCGA-CK-5916-01,TCGA-CK-5916-01,2.342744902713526
TCGA-CK-6746-01,TCGA-CK-6746-01,2.26504707852775
TCGA-CK-6747-01,TCGA-CK-6747-01,2.3268328543546457
TCGA-CK-6748-01,TCGA-CK-6748-01,2.0843731717625857
TCGA-CK-6751-01,TCGA-CK-6751-01,2.3594084966867372
TCGA-CM-4743-01,TCGA-CM-4743-01,2.762224437185851
TCGA-CM-4744-01,TCGA-CM-4744-01,2.077983187930818
TCGA-CM-4747-01,TCGA-CM-4747-01,2.367467098504937
TCGA-CM-4751-01,TCGA-CM-4751-01,2.387853215911351
TCGA-CM-5344-01,TCGA-CM-5344-01,2.284320113472147
TCGA-CM-5348-01,TCGA-CM-5348-01,2.329334209557199
TCGA-CM-5349-01,TCGA-CM-5349-01,2.077267602941506
TCGA-CM-5860-01,TCGA-CM-5860-01,2.333786404290495
TCGA-CM-5861-01,TCGA-CM-5861-01,2.8333408641916145
TCGA-CM-5862-01,TCGA-CM-5862-01,2.447936830701525
TCGA-CM-5863-01,TCGA-CM-5863-01,2.049373422906806
TCGA-CM-5864-01,TCGA-CM-5864-01,2.219760900533833
TCGA-CM-5868-01,TCGA-CM-5868-01,2.3609615964705952
TCGA-CM-6161-01,TCGA-CM-6161-01,2.457732366182028
TCGA-CM-6162-01,TCGA-CM-6162-01,2.13577539399914
TCGA-CM-6163-01,TCGA-CM-6163-01,2.540935707765157
TCGA-CM-6164-01,TCGA-CM-6164-01,2.1659346467973783
TCGA-CM-6165-01,TCGA-CM-6165-01,2.449994814570599
TCGA-CM-6166-01,TCGA-CM-6166-01,2.2781265267593156
TCGA-CM-6167-01,TCGA-CM-6167-01,2.376336236520162
TCGA-CM-6168-01,TCGA-CM-6168-01,2.157656006742595
TCGA-CM-6169-01,TCGA-CM-6169-01,2.1687959022220653
TCGA-CM-6170-01,TCGA-CM-6170-01,2.537021818800796
TCGA-CM-6171-01,TCGA-CM-6171-01,2.2294384639227656
TCGA-CM-6172-01,TCGA-CM-6172-01,2.2439902131394738
TCGA-CM-6674-01,TCGA-CM-6674-01,2.162131743512658
TCGA-CM-6675-01,TCGA-CM-6675-01,2.4956242489736695
TCGA-CM-6676-01,TCGA-CM-6676-01,2.1178639266740356
TCGA-CM-6677-01,TCGA-CM-6677-01,2.5862292847479353
TCGA-CM-6678-01,TCGA-CM-6678-01,2.385617942386776
TCGA-CM-6679-01,TCGA-CM-6679-01,2.147629240869031
TCGA-CM-6680-01,TCGA-CM-6680-01,2.1448822286624667
TCGA-D5-5537-01,TCGA-D5-5537-01,2.733514994354379
TCGA-D5-5538-01,TCGA-D5-5538-01,1.8433125510552264
TCGA-D5-5539-01,TCGA-D5-5539-01,2.081212185462112
