,sample,netith_bulk
TCGA-DK-A2I1-01,TCGA-DK-A2I1-01,2.5964250349596485
TCGA-DK-A2I2-01,TCGA-DK-A2I2-01,2.923594308357286
TCGA-DK-A2I4-01,TCGA-DK-A2I4-01,3.2421694399776104
TCGA-DK-A2I6-01,TCGA-DK-A2I6-01,3.3371334508612756
TCGA-DK-A3IK-01,TCGA-DK-A3IK-01,2.5597253105673703
TCGA-DK-A3IL-01,TCGA-DK-A3IL-01,2.8807633175095653
TCGA-DK-A3IM-01,TCGA-DK-A3IM-01,2.793241999399682
TCGA-DK-A3IN-01,TCGA-DK-A3IN-01,2.371375792768764
TCGA-DK-A3IQ-01,TCGA-DK-A3IQ-01,3.395000120124457
TCGA-DK-A3IS-01,TCGA-DK-A3IS-01,3.3004596644636632
TCGA-DK-A3IT-01,TCGA-DK-A3IT-01,3.0177102753731644
TCGA-DK-A3IU-01,TCGA-DK-A3IU-01,3.078947042236634
TCGA-DK-A3IV-01,TCGA-DK-A3IV-01,2.631431557004238
TCGA-DK-A3WW-01,TCGA-DK-A3WW-01,3.2343082181673246
TCGA-DK-A3WX-01,TCGA-DK-A3WX-01,2.5341516998790077
TCGA-DK-A3WY-01,TCGA-DK-A3WY-01,2.753207080669022
TCGA-DK-A3X1-01,TCGA-DK-A3X1-01,2.6913983107457313
TCGA-DK-A3X2-01,TCGA-DK-A3X2-01,3.022542079819488
TCGA-DK-A6AV-01,TCGA-DK-A6AV-01,3.1359330555628646
TCGA-DK-A6AW-01,TCGA-DK-A6AW-01,2.666669683397454
TCGA-DK-A6B0-01,TCGA-DK-A6B0-01,2.9947658300925197
TCGA-DK-A6B1-01,TCGA-DK-A6B1-01,3.2628331823322214
TCGA-DK-A6B2-01,TCGA-DK-A6B2-01,3.0601475417586217
TCGA-DK-A6B5-01,TCGA-DK-A6B5-01,2.816925480550048
TCGA-DK-A6B6-01,TCGA-DK-A6B6-01,2.3247431935929113
TCGA-DK-AA6L-01,TCGA-DK-AA6L-01,3.0728538610358873
TCGA-DK-AA6M-01,TCGA-DK-AA6M-01,3.2267024907107844
TCGA-DK-AA6P-01,TCGA-DK-AA6P-01,2.3206241495540567
TCGA-DK-AA6Q-01,TCGA-DK-AA6Q-01,3.10044130281848
TCGA-DK-AA6R-01,TCGA-DK-AA6R-01,3.2194694712498717
TCGA-DK-AA6S-01,TCGA-DK-AA6S-01,2.8364917415399784
TCGA-DK-AA6T-01,TCGA-DK-AA6T-01,3.4103641294815277
TCGA-DK-AA6U-01,TCGA-DK-AA6U-01,3.1548455850931463
TCGA-DK-AA6W-01,TCGA-DK-AA6W-01,2.4226552141592004
