gene,d_expr,fdr_expr,dnetith_expr,is_tf,d_ceres,fdr_ceres,dnetith_ceres,concordant,both_sig
RNASEH2B,-0.810900903125073,8.670949609412653e-16,-0.16816375635698133,False,-0.492887734205863,0.3123776120993166,-0.11148808717909198,True,False
PER2,-0.8098122116196947,3.261342455868774e-19,-0.17493416351145274,False,-0.28517967123339855,0.8671290025705851,-0.062059736786003405,True,False
YAP1,0.8049985067703815,8.472538977679914e-16,0.15863960037395675,False,0.08295487033770736,0.8303335233224468,0.02023820106875629,True,False
ARID5A,-0.7996263922968302,2.740955003129574e-17,-0.16310213621461056,False,0.318604084390399,0.5010978434151991,0.08692442501098885,False,False
PTMS,0.7984793746879965,9.61656141748338e-16,0.16696271639587668,False,-0.29437324633644574,0.5631076547968293,-0.06783797770349675,False,False
PAX5,-0.795424821524736,1.5387896803618952e-17,-0.16560816899501507,True,-1.272712851210918,0.00015978134505162747,-0.229841081637276,True,True
CCDC12,-0.7919977065831262,5.124672879083208e-18,-0.17138470995908417,False,0.0787615586498997,0.9625550458580404,0.01751457211088958,False,False
CORO1A,-0.7883339944588543,7.196690580268279e-17,-0.1693111520087074,False,-1.1532323504593318,0.038886026624438096,-0.22564870244912427,True,True
DYRK1A,-0.7878027893574309,6.273508861248582e-17,-0.1657554998831321,False,-0.12318167057543727,0.8484657113806351,-0.028288441259888053,True,False
CD19,-0.7860067542181433,8.397475863300671e-16,-0.1591967000505612,False,-1.0322329555828171,0.01035431330276308,-0.19955338951636037,True,True
LST1,-0.7826393882801607,2.921116387955567e-16,-0.16107605314002793,False,-0.10021088309537113,0.9976062805384047,-0.02193595045330099,True,False
TREML2,-0.7749228889041405,9.373356854459928e-17,-0.166532788317169,False,-0.0534175557381579,0.8696264215881803,-0.011791587132788273,True,False
DENND4A,-0.7742486129499441,4.876528642160775e-15,-0.157620585542956,False,-0.7585731575319816,0.024953855548524827,-0.15639804445875694,True,True
REXO1,-0.7741531838886807,2.2958234346031903e-16,-0.16932374121069316,False,-0.08684922744254853,0.9313394490811895,-0.02106185814660666,True,False
SAFB,-0.7699136359777365,5.299178051650218e-16,-0.15393284221792847,False,0.023162051128794967,0.8649817581647525,0.005176377405455845,False,False
PUM2,-0.766001783824202,1.674316930658591e-15,-0.15479274844361335,False,0.038666376002201436,0.8303994039816182,0.00866914077579306,False,False
ANLN,0.7645568139010048,8.338505693254019e-16,0.16154855684371316,False,0.3437194252833412,0.6116848261127036,0.06928531660741033,True,False
AP2S1,0.7642709587085355,8.280034133436053e-16,0.16126402791948635,False,-0.12277556802815462,0.7509341830566726,-0.02858094988080584,False,False
FERMT2,0.7633569933456293,1.9254009902078095e-15,0.1631263727022727,False,1.1142646779014986,0.0001782829314245634,0.22313331215834342,True,True
RASGRP2,-0.7625283187800391,5.475656417653963e-15,-0.16249728999518265,False,0.17373889562990122,0.7696194738766341,0.03955269522558069,False,False
FCGR2B,-0.7617303615658252,1.0391994038784235e-15,-0.16420350654587157,False,0.13565376274729837,0.9348963840891794,0.02937748508831106,False,False
TWF1,0.7596807304234829,2.483451094192796e-14,0.16398333689101818,False,-0.34400100844736087,0.7812176289815335,-0.07876688667549558,False,False
GGCX,0.7594215526240446,1.7835199706419358e-15,0.16173467760505122,False,0.863281040336558,0.25653710534522045,0.24723078580792635,True,False
ITGAV,0.7581121020603482,2.7509523645440707e-16,0.16410532865376481,False,0.8079893166015443,2.46473564813665e-06,0.16148386474394538,True,True
DDX28,-0.7557481141293635,2.6997247011882607e-14,-0.1655207104085843,False,-0.2289368163680637,0.6490613456148978,-0.049393659249714617,True,False
