cell_line,NetITH
MC116,5.3946500003644635
U-87-MG,5.796785438458995
UMC-11,5.452238497438117
WM-266-4,5.740423207631019
SCaBER,5.599413592939964
TE-6,5.3690990054316305
TCCSUP,6.029162045975338
SU-DHL-10,5.362924024998111
SK-MEL-28,5.9919542972301745
SU-DHL-1,5.534462607410504
T84,5.325475123602602
201T,5.864016875421873
A204,5.664037962475717
BCPAP,5.6535279661459885
BT-20,5.637887515981655
Ca9-22,5.211928280979993
CHP-212,5.475822240138143
CAL-85-1,5.795134882131053
CPC-N,6.00969842297321
CRO-AP2,5.639295502914713
DK-MG,5.977371085205127
EGI-1,5.721943821727914
23132-87,5.600476811322167
ACHN,5.832670206596202
BE-13,5.603565563014694
BHT-101,5.885696700224442
CAKI-1,5.846979674552318
COLO-679,5.9094896487273045
CAL-78,5.822211946277074
COLO-668,5.673902494920022
D-263MG,5.9875601646624155
DMS-53,5.594156801031713
EM-2,5.683163090858801
42-MG-BA,5.835021546599582
A375,5.679717709016476
AM-38,5.655204400452173
BE2-M17,5.646836656457521
BT-549,5.696743368831805
CAS-1,5.834829791505953
COLO-678,5.8010841837309925
Capan-2,5.6360747492977055
COR-L88,5.985494333075562
DAN-G,5.6607230725235675
DOK,5.605009954514734
ES4,5.784133770808337
697,5.480267124691312
A388,5.677166688206238
AN3-CA,5.545508247051141
BEN,5.875016080295908
BT-483,5.998675838493377
CAMA-1,6.072004658551825
COLO-320-HSR,5.4640026156887105
Ca-Ski,5.801942592011693
COR-L105,5.6481067472477555
D-502MG,5.726529591900397
DU-145,5.888542853153657
EN,5.94063443177211
769-P,6.143313361359189
A4-Fuk,5.731087325593553
ARH-77,5.6614860779543825
BFTC-909,5.993745833860493
BV-173,5.55965281388503
Calu-6,6.15733757838004
C-33-A,6.191368909592454
COLO-792,5.854940105068648
COR-L23,5.707901394260898
Daoy,6.042268365048645
DoTc2-4510,5.835981877652204
ES-2,5.515237476674799
8305C,5.561694191753139
A431,5.7539580840074125
ATN-1,5.738950443887134
BHY,5.575470919607053
C2BBe1,5.452300085466814
CAPAN-1,5.593215818730037
CA46,5.645528036899209
CFPAC-1,5.878515121510224
BPH-1,5.6393010335956815
Detroit562,5.630860323924269
DB,5.380585385278933
EW-22,5.904177029235335
A101D,6.067922038451346
A549,5.549413855829197
BALL-1,5.526356098206438
BICR78,6.471341912995889
C3A,5.9436707294795035
CHL-1,5.661304900821209
CAL-39,5.611720094987848
COLO-824,5.751398541801438
CTV-1,5.405155651205601
DG-75,5.72950630439281
EFM-19,6.725077945312377
EW-11,5.83533728286042
A172,5.79006461747285
A673,5.520079116786956
BC-1,5.644084048057781
C8166,5.150336887861873
CHP-134,5.686431186076922
CAL-72,5.595110784729117
COLO-320,5.68071022183044
ChaGo-K-1,5.71959327196718
DJM-1,5.610264471657869
EFO-27,5.821630746275986
EW-1,5.577472798830152
MEL-JUSO,5.825914555668528
SF539,5.603312458480874
SUP-T1,5.775514740448701
KP-4,5.938126901857654
KM-H2,5.692088360726381
SK-LMS-1,5.749721050941785
H-EMC-SS,5.514830908016174
HD-MY-Z,5.245977456814287
SW684,5.821623282523552
HOP-92,5.949731896572462
JEG-3,5.595727804760275
JHH-2,5.550081826383927
MDA-MB-231,6.043207851699306
SHP-77,5.5267551706828355
SK-ES-1,5.484805149065565
KYM-1,5.497414166323688
KON,5.61244076220445
Hs-766T,5.826118464421661
HCE-T,5.639805650903563
HCC-827,5.5668357233881585
SW948,5.312828426114061
HCE-4,5.805133333309134
JVM-3,5.567887541421162
JHH-4,5.765960374247052
MDA-MB-361,5.946682826914044
SH-4,5.718352331586977
SUIT-2,5.574113009947033
SK-NEP-1,5.622774566809241
KNS-42,5.7222045902399525
HSC-4,5.800030850189453
HN,5.8450357319104915
HT-1080,5.837479053797591
SW954,5.629461193970842
JURL-MK1,5.668036959311293
JSC-1,5.419593894977042
IPC-298,5.511197626087449
MDA-MB-453,5.96041689371523
S-117,5.615199689137975
SK-MES-1,6.088347336831295
SK-UT-1,6.110884500822548
KP-1N,5.854720279809786
HT-1376,6.040288860726367
HA7-RCC,5.737345559786087
HPAF-II,5.571429052598895
SW962,5.8752485415460125
JJN-3,5.365628778104441
J-RT3-T3-5,5.731324366300671
IA-LM,5.625844474445909
SBC-5,5.401336525520648
SR,5.647464113371147
SK-MG-1,5.8803967900051655
SKG-IIIa,5.508709406299175
KNS-62,5.80273468524451
H4,5.813209602501534
HT55,5.512523101130937
SK-MM-2,5.780878151765246
JiyoyeP-2003,5.58286169129701
JHH-6,5.715179454151964
IM-95,5.446647920836586
SCC-15,5.506611333084738
TOV-112D,5.2663423554927915
SKN,6.262475177490133
SK-LU-1,5.531785676611282
KARPAS-422,5.484456717971559
HuP-T4,5.774877045033807
HAL-01,5.51601816710345
HLE,5.77636499093478
SK-PN-DW,5.808094498336094
J82,5.803497420030151
JHH-7,5.640935891364459
IGR-37,5.627095022705625
SAT,5.5309075589303545
SW1573,5.449382376496443
SKN-3,5.589372119799613
SKM-1,5.606383118676086
SK-MEL-30,5.707939084754788
HUTU-80,5.811212783658041
HOP-62,6.2429130611774095
IHH-4,5.570137056491479
IST-SL1,5.483463195283019
JAR,5.480895750702375
JHU-011,5.622673380786064
IGROV-1,5.705213891463718
SBC-3,5.618902629824001
SUP-B8,5.443315310891229
SK-MEL-3,5.850589106288449
IM-9,5.6987212353567385
KYSE-50,5.41069061107444
HeLaSF,5.453757137462378
HDQ-P1,5.8366856109288925
IST-SL2,5.62675662787201
IMR-5,5.6821645738229005
JEKO-1,5.576361765826855
JHU-022,5.730177858206844
I-9-2,5.735245301065757
EVSA-T,6.456736774646221
EBC-1,5.576957244519211
ASH-3,5.489841473015603
CaR-1,5.747743054163058
CP66-MEL,5.821948664396126
D-392MG,6.273887243347466
EW-16,5.262738399589539
HL-60,5.258981073156239
HCC1937,5.851647413126091
HEL,5.2921685146512125
HCC202,5.851448467637566
HCC1500,5.6878988121020475
ES7,5.850161994887385
AMO-1,5.545068737613912
A2780,5.254833550876037
DEL,5.6377808624002155
ECC10,5.9367257031264975
EW-13,5.619609234104996
HSC-3,5.513887487682225
HuO9,5.5681508523656
HPAC,5.635945301677278
Hs-633T,5.99680790026941
HCC2998,5.861797303541166
EFO-21,5.6250971102051
451Lu,5.59299795943516
BB30-HNC,5.464460324280546
CL-11,6.065093653625862
D-336MG,5.591063185976755
ECC12,5.669285236440704
EKVX,5.76009960036173
HuP-T3,5.864598149230227
HEC-1,5.55211367154317
HGC-27,5.625213865183793
H9,5.446283175836454
HCC-56,5.195461447860794
EW-18,5.771377289405108
A427,5.302914751682604
BB49-HNC,6.014798293629116
CCK-81,6.116152395504925
D-247MG,5.8142167681107395
ES5,5.969209207281932
EoL-1-cell,5.463796070403167
HO-1-N-1,5.239493390030748
HCC-44,5.7755514130027095
HTC-C3,5.856997688693904
HCC-78,5.799632661862567
HCC-15,5.3757332148526595
EB-3,5.328298746201879
A498,5.584515593050497
BB65-RCC,5.92477131160922
CCRF-CEM,5.643415230585235
D-542MG,5.6550194321387535
EW-3,5.582666702830249
EMC-BAC-2,5.85915452338581
HuCCT1,5.698407808750481
HCC1187,5.3070636471261645
HCC2157,5.716935560129545
Hs746T,5.852540645750261
HCC1954,5.705051247742254
EPLC-272H,5.890546923157187
A253,5.411139004983842
BOKU,5.8017861893455365
COLO-684,5.697631338975769
DMS-79,6.172900800504345
EW-7,5.768955489423991
EHEB,5.562106175529468
HCT-15,5.647661229836064
H3255,6.040934539488809
HCC2218,5.844860651711957
HH,5.862272488788157
HT-144,5.811767278487668
EC-GI-10,5.6949486212847455
ABC-1,5.620186522704703
CAL-27,5.405777906699883
CGTH-W-1,5.557686247749309
DND-41,5.685849305057826
EW-24,5.800745904040826
EMC-BAC-1,5.5930209341742065
HCC70,5.638391172634412
H3118,5.701684902691678
HCC1569,5.775611528707078
HARA,5.6853434207905735
HT-115,6.319233760939836
EB2,5.4090624139674315
ALL-PO,5.45520372131059
BICR22,5.683980582476864
CTB-1,5.622943184279893
DOHH-2,5.442776866965639
ESO26,6.022880552213218
Hs-944-T,6.0506708853503195
HCC1806,5.517306976976785
Hs-683,5.880970583738584
HCC1428,5.9116712482406175
HuH-7,5.4944652468334665
HT-3,5.716599256853453
NCI-H1869,6.2118680192242355
