tf_a,tf_b,n,beta_a,beta_b,beta_interaction,p_interaction
CCL22,JUN,572,0.08043794514486458,-0.1317062057233472,-0.05071615715150332,0.24475524475524477
MCL1,GZMB,572,0.076544467102154,-0.05315117859224104,0.05221831747947353,0.2647352647352647
HMGB1,CD4,572,0.1708316634571868,0.08324884714965755,-0.04627273115389819,0.26673326673326675
CDC42,TEAD2,572,-0.14116071220567028,0.08615568189974822,0.04493253019535565,0.26973026973026976
CD4,IRF2,572,0.1016128777463078,0.11151221419763184,-0.04341030383992554,0.27672327672327673
GZMB,IRF2,572,-0.04606362750756477,0.09778860625456975,0.043045230594757046,0.28771228771228774
CCL22,IRF2,572,0.06486275452098472,0.11011790559652347,0.04484137884324129,0.2887112887112887
SERPINA3,TEAD2,572,0.08350491491658432,0.07019461238203104,0.04519427117638258,0.29270729270729273
FCRL6,CD4,572,0.12592736028871407,0.08557971026154215,-0.04096572888775687,0.3016983016983017
CD4,ANXA1,572,0.10084513018060481,-0.06679878196550271,0.041355878592715944,0.3026973026973027
CCL19,TPI1,572,-0.07723704743001236,0.13661523611701293,0.04282935785890116,0.3086913086913087
NNAT,NPM1,317,-0.18664939262322924,0.0966788233138293,-0.05948814310341624,0.3126873126873127
CDC42,TPI1,572,-0.14673053343264167,0.14138533210408968,0.04198874849562509,0.3156843156843157
SELP,ANXA1,572,-0.08496096311277522,-0.07125446487372175,0.04237240925741389,0.3226773226773227
HMGB1,SELP,572,0.17232205532693756,-0.0676403221267052,0.039410459169698965,0.32967032967032966
NNAT,SELP,572,-0.15012439226919155,-0.08568560551160144,-0.04217402991978904,0.33466533466533466
CD4,TEAD2,572,0.10279230852978688,0.08328399917804552,-0.036124200113259036,0.34565434565434566
CDC42,CCL22,572,-0.13087432483361222,0.06375166771625909,-0.03787528473865956,0.34765234765234765
SELP,NPM1,317,-0.049707029051810465,0.10096397054987062,0.04963913801340622,0.3516483516483517
NPM1,IRF2,317,0.10929772432423415,0.09119891913367237,0.05640659700409823,0.35864135864135865
NNAT,CCL19,572,-0.1495484514074875,-0.05561787485576352,0.03840454766914897,0.3856143856143856
SELP,IRF2,572,-0.08623742135103112,0.10614269209185276,-0.03726647851462934,0.39760239760239763
CCL22,ANXA1,572,0.07810148859877848,-0.0765372763606982,0.0354189528668679,0.4005994005994006
HMGB1,ANXA1,572,0.17421278190289105,-0.0517738817915002,-0.03233970801881491,0.4125874125874126
BLNK,GZMB,572,0.15316944909342214,-0.04540177799142179,0.034150772144527226,0.4205794205794206
NNAT,SLC7A11,572,-0.14480232093079148,0.11512599770203939,0.03548138769322187,0.4245754245754246
CD4,TPI1,572,0.08763137722159893,0.12589607275206177,-0.03210110028997708,0.43156843156843155
CDC42,KLF6,572,-0.13694911313001432,0.10043322956950174,0.03172779902190179,0.4325674325674326
FCRL6,TPI1,572,0.11645138545806244,0.11783938338123238,-0.02916372637014894,0.43456543456543456
NNAT,TPI1,572,-0.13978498893468144,0.1277997543804027,-0.03291497666952617,0.43756243756243757
SERPINA3,SLC7A11,572,0.09145642497229392,0.1265651661294669,0.031851262806623024,0.44155844155844154
ANXA1,SLC7A11,572,-0.057063190325511784,0.12302170699512717,-0.031130703837475224,0.4485514485514486
CCL22,NPM1,317,-0.008349126484732393,0.10442616095541661,-0.038642719643879435,0.44955044955044954
CD4,SERPINA3,572,0.09292108180214348,0.08159711991568559,-0.029138927325799577,0.46053946053946054
CCL19,GZMB,572,-0.0627616699681535,-0.04211845775657613,-0.03311285159496134,0.46053946053946054
BLNK,SLC7A11,572,0.10582875963603004,0.07005606259938393,-0.03365773262124003,0.46253746253746253
CCL19,SLC7A11,572,-0.0633245506420778,0.12061430064277413,0.03248115191815761,0.47052947052947053
IRF2,SLC7A11,572,0.10823652838462579,0.1158931695420669,-0.029803046416176426,0.4775224775224775
CCL22,SERPINA3,572,0.09159129240399577,0.10313785259809329,0.030214165940696175,0.4855144855144855
JUN,FCRL6,572,-0.14732512327888553,0.1360041814366594,-0.026832167640771912,0.48951048951048953
JUN,KLF6,572,-0.13489212256096025,0.08899817734238721,-0.029117584009880737,0.4915084915084915
HMGB1,GZMB,572,0.17533216753215564,-0.04681340822225478,0.02806862803806773,0.4965034965034965
SELP,CCL19,572,-0.08330669121877998,-0.0609525673249406,-0.028010478986569984,0.5094905094905094
GZMB,SLC7A11,572,-0.043993297555566635,0.13268418426538542,-0.027845405217953086,0.5104895104895105
CDC42,SERPINA3,572,-0.13540241007537368,0.08053772000420524,0.02500434025397054,0.5104895104895105
TEAD2,SLC7A11,572,0.08339599877610929,0.12805670318176665,0.029215866824075884,0.5114885114885115
CDC42,GZMB,572,-0.1354349674054016,-0.044594999342073276,-0.026192391930111372,0.5144855144855145
BLNK,TPI1,572,0.1417893186765934,0.12538098140957687,-0.025937426022404036,0.5144855144855145
SERPINA3,GZMB,572,0.08299026309442707,-0.04253999357460206,0.02556861059448723,0.5164835164835165
MCL1,JUN,572,0.0470466130558772,-0.13700970521257586,0.030014616094568587,0.5174825174825175
HMGB1,NNAT,572,0.18866620845630913,-0.15784744659523992,0.025821215383892704,0.5244755244755245
SELP,TPI1,572,-0.06667995066934337,0.12844643324933228,-0.02556352094700208,0.5364635364635365
NPM1,GZMB,317,0.10271133887154174,-0.0820509986704997,-0.03639337645112985,0.5414585414585414
FCRL6,IRF2,572,0.12442914327400884,0.10741958843554042,0.023177342522002334,0.5454545454545454
MCL1,CCL22,572,0.07684496660374059,0.07034809385242906,-0.026959176776578015,0.5454545454545454
FCRL6,GZMB,572,0.13535110157247468,-0.06621623537145288,-0.023265176631874024,0.5504495504495505
SELP,GZMB,572,-0.08282389761169458,-0.05255082202731005,0.02393407797950161,0.5584415584415584
NNAT,FCRL6,572,-0.13711795866655946,0.11713976482486467,-0.025065810203447447,0.5594405594405595
MCL1,CCL19,572,0.0860495453487793,-0.06618758565407853,0.025370655397945502,0.5664335664335665
BLNK,KLF6,572,0.1537747008966973,0.09352088719389899,-0.024074807254242943,0.5744255744255744
BLNK,FCRL6,572,0.13961554209342458,0.1232379622447808,-0.02361358881983816,0.5804195804195804
HMGB1,SERPINA3,572,0.1714397913206505,0.0741602639714451,-0.021759104967831316,0.5834165834165834
TEAD2,TPI1,572,0.07252264770365513,0.1313043791234528,0.022789865267852857,0.5874125874125874
BLNK,CD4,572,0.14113076632362384,0.08101193585248749,-0.023101094556371965,0.5884115884115884
CCL22,TEAD2,572,0.07762459489569383,0.08011047891593857,0.022985071938579855,0.5924075924075924
CDC42,JUN,572,-0.12439061391863292,-0.11392408869094717,0.021160197409047968,0.5934065934065934
CCL19,KLF6,572,-0.07022387795113214,0.10500779668989918,0.0242049009668074,0.5944055944055944
