drug,pathway,eri,eri_weighted,slope,r_squared,ic50_range,netith_range
OF-1,Chromatin histone acetylation,0.2245546884869402,0.005997292073633334,0.8502221429094671,0.02670748989497108,3.7862586999999994,0.7231252053480635
Remodelin,Unclassified,0.22099300735857624,0.005683226735583702,0.8251083319942747,0.025716771781662207,3.7336400000000003,0.7231252053480635
JAK_8517,"Other, kinases",0.22377392359870746,0.005655100898776114,1.1897569452850596,0.025271491905005765,5.316781000000001,0.7231252053480635
Gefitinib,EGFR signaling,0.2122469271155796,0.005356985278291971,0.8388860494378721,0.025239400876578114,3.9524060999999997,0.7231252053480635
BMS-536924,IGF1R signaling,0.20874042358213213,0.005247096424797407,0.9709829451848024,0.025136944415238557,4.651628699999999,0.7231252053480635
IGF1R_3801,IGF1R signaling,0.20827354639397389,0.005140247383459954,1.3523932303371793,0.02468027011810982,6.493350949999999,0.7231252053480635
Ulixertinib,ERK MAPK signaling,0.2039200600145298,0.004870079067970095,0.953109900992245,0.023882295187747052,4.673938899999998,0.7231252053480635
BDOCA000347a,Chromatin histone acetylation,0.20736090217604458,0.004864284717602068,0.652576060317181,0.02345806112220906,3.1470545000000003,0.7231252053480635
Ibrutinib,"Other, kinases",0.21180465733031198,0.004814374862865945,1.2226948590430795,0.022730259681485038,5.77274775,0.7231252053480635
VSP34_8731,Other,0.21820583700548182,0.004720730133207566,0.7111286768899622,0.0216342981379044,3.258981,0.7231252053480635
Rapamycin,PI3K/MTOR signaling,0.2136463287449922,0.004679056890259445,1.0317801189705396,0.02190094684867886,4.8293838,0.7231252053480635
667880,Unclassified,0.19859375094249382,0.004511857956366969,0.9012345278708633,0.022719032874672144,4.538081,0.7231252053480635
glutathione,Other,0.20314099754369203,0.004408656567464397,0.581423561087135,0.021702446186502425,2.862167499999999,0.7231252053480635
TAF1_5496,Other,0.19677857003230043,0.004407798707487834,1.0120182537533626,0.02239979031641663,5.142929199999999,0.7231252053480635
Erlotinib,EGFR signaling,0.19769784764500575,0.004339880833851959,0.8854416668235955,0.02195208944128124,4.4787623,0.7231252053480635
Dactolisib,PI3K/MTOR signaling,0.19631231758933135,0.004203277529198945,0.93534952115189,0.021411175726588096,4.76459925,0.7231252053480635
AZD3759,EGFR signaling,0.20076898384569586,0.0041606790974251144,0.6832293097423507,0.020723714478840364,3.4030620500000004,0.7231252053480635
Telomerase Inhibitor IX,Genome integrity,0.19780677167743704,0.004076395861744712,0.7856110260806525,0.020607969217515364,3.97160835,0.7231252053480635
Entospletinib,"Other, kinases",0.20210898037334304,0.004066748955099999,0.7737033113181306,0.020121564848765025,3.828149099999999,0.7231252053480635
Temsirolimus,PI3K/MTOR signaling,0.20791425161890303,0.004060954054490992,1.0646503429318535,0.019531869618704775,5.12062225,0.7231252053480635
Bleomycin,DNA replication,0.1938618729281587,0.003998908518103943,0.912641891357973,0.020627617270497837,4.707691500000001,0.7231252053480635
776928,Unclassified,0.19506267638045768,0.00394268755568402,0.9169537208726759,0.020212413921738937,4.700815849999999,0.7231252053480635
Cediranib,RTK signaling,0.1945465953892816,0.003919339684912966,0.755647866661385,0.02014602042801361,3.8841484999999993,0.7231252053480635
TW 37,Apoptosis regulation,0.1989956524619402,0.003878457564116629,0.8607378647136618,0.019490162303211225,4.3254104,0.7231252053480635
Methotrexate,DNA replication,0.20727277341720782,0.0038371455959738928,1.506395993364165,0.018512540420590196,7.26769835,0.7231252053480635
AT13148,PI3K/MTOR signaling,0.19127124562162418,0.003806256638147576,1.007396347934265,0.01989978486195031,5.266846799999998,0.7231252053480635
Dabrafenib,ERK MAPK signaling,0.20669130313266773,0.003784213090771497,1.1192670971458065,0.01830852596803527,5.415163000000001,0.7231252053480635
AZ6102,WNT signaling,0.18952378192625938,0.003619212526420638,0.6911409620260126,0.01909635028193356,3.6467241999999995,0.7231252053480635
Sinularin,Unclassified,0.18222222517339257,0.0035549423977357833,0.6053625498041169,0.01950882991552264,3.3221114999999997,0.7231252053480635
VX-11e,ERK MAPK signaling,0.18346704141222303,0.0035264035866210183,0.8672062504821955,0.019220910521458273,4.7267686,0.7231252053480635
Afatinib,EGFR signaling,0.18705765329822657,0.0034250179794491184,0.8749667562149606,0.018309959090466094,4.6775245,0.7231252053480635
Obatoclax Mesylate,Apoptosis regulation,0.18042337071057848,0.0033467374111696957,0.6709378627342383,0.018549356427545512,3.718686,0.7231252053480635
Doramapimod,JNK and p38 signaling,0.1833463058827485,0.003228309624696622,0.6952258702572739,0.017607715678553966,3.7918727999999993,0.7231252053480635
WIKI4,WNT signaling,0.17820980070252843,0.003135647606686518,0.5714752763777166,0.01759525903920743,3.206755599999998,0.7231252053480635
AZD5363,"Other, kinases",0.18057225783471453,0.0031212491476454818,0.8417548787188224,0.017285319378918626,4.6615958,0.7231252053480635
Afuresertib,PI3K/MTOR signaling,0.1801459062246419,0.0030827945772224845,0.85500516742413,0.017112765101518546,4.746181499999999,0.7231252053480635
Taselisib,PI3K/MTOR signaling,0.17242082969320288,0.002812042080918942,0.9648892655974841,0.01630917845554131,5.59612935,0.7231252053480635
Ipatasertib,PI3K/MTOR signaling,0.1763563428047627,0.002670458570336754,0.794333049451261,0.01514240161632925,4.504136549999999,0.7231252053480635
ERK_6604,ERK MAPK signaling,0.16705952206195823,0.0026614843140893474,0.862616185714495,0.015931353575297964,5.163526000000001,0.7231252053480635
Pictilisib,PI3K/MTOR signaling,0.16763537856638977,0.0026028591908579196,0.7029878446932193,0.01552690853874316,4.193552999999999,0.7231252053480635
Uprosertib,PI3K/MTOR signaling,0.17019449302136055,0.002572289623495812,0.9003541079263124,0.015113824059941659,5.2901483,0.7231252053480635
743380,Unclassified,0.15941795147788018,0.0025688177742464843,0.8141600722157007,0.016113729667407733,5.107079,0.7231252053480635
N-acetyl cysteine,Metabolism,0.16687812206991956,0.0025638111508221716,0.4750580661796133,0.015363374893132914,2.846736649999997,0.7231252053480635
Bleomycin (50 uM),DNA replication,0.16661289435651105,0.002469677106323647,1.1316258480182857,0.014822844989650915,6.7919464000000005,0.7231252053480635
Luminespib,Protein stability and degradation,0.16897566686960566,0.0024247893048650777,0.9776614833260835,0.014349931855787423,5.785812249999999,0.7231252053480635
LCL161,Apoptosis regulation,0.1750465688084728,0.00234977934181144,0.6257984853530425,0.013423738367488088,3.5750399999999996,0.7231252053480635
AZD2014,PI3K/MTOR signaling,0.1559288610555729,0.002328296092772853,0.7834696300617103,0.014931784129065435,5.024532499999999,0.7231252053480635
Osimertinib,EGFR signaling,0.1609645755306084,0.0022534071834369304,0.6700019753226242,0.013999398165768662,4.162418799999999,0.7231252053480635
AZD6482,PI3K/MTOR signaling,0.15118879687733613,0.002178283788594429,0.6958945761408653,0.014407706348518231,4.602818399999999,0.7231252053480635
ULK1_4989,"Other, kinases",0.15353020925024286,0.0019230939652014176,0.7981648375732397,0.012525834326630254,5.1987478000000005,0.7231252053480635
Dihydrorotenone,Unclassified,0.14221572880120065,0.0018946012235850037,0.7979542222471045,0.013322023095162795,5.6108718,0.7231252053480635
WEHI-539,Apoptosis regulation,0.1519001778256167,0.0018882536176165062,0.84863992364085,0.012430884839280733,5.5868264,0.7231252053480635
GSK2110183B,PI3K/MTOR signaling,0.1516954555356798,0.0018870070688898433,0.7606390896152381,0.012439443635448962,5.014251,0.7231252053480635
Bortezomib,Protein stability and degradation,0.15415450253782953,0.001770754654956892,0.5143748513576991,0.011486882483515839,3.3367487999999965,0.7231252053480635
Selumetinib,ERK MAPK signaling,0.14260482135401395,0.001634831923314957,0.8568342668556139,0.01146407188615675,6.008452299999997,0.7231252053480635
UMI-77,Apoptosis regulation,0.14416055487218912,0.0015610178487220573,0.6136301706069219,0.010828328526524024,4.2565747,0.7231252053480635
Lapatinib,EGFR signaling,0.1367808048637533,0.0013431375742983425,0.6928823847404256,0.009819634967320417,5.0656405,0.7231252053480635
Romidepsin,Chromatin histone acetylation,0.13281662133871372,0.0011172557723992363,0.4021523929692004,0.008412017721411317,3.0278769999999993,0.7231252053480635
AZD8186,PI3K/MTOR signaling,0.12425344953081202,0.001089094116303313,0.5812374954209695,0.008765101656459384,4.677837899999998,0.7231252053480635
ERK_2440,ERK MAPK signaling,0.12234506710109283,0.0010638293141584365,0.6514412970504886,0.008695318408541982,5.324622499999999,0.7231252053480635
SCH772984,ERK MAPK signaling,0.11895786078615005,0.0009941430915493168,0.7342341469804214,0.008357102968894867,6.1722205,0.7231252053480635
PLX-4720,ERK MAPK signaling,0.12847642757353134,0.0009572947965803698,0.5616308873877933,0.0074511318119619896,4.3714703,0.7231252053480635
AZD1332,RTK signaling,0.12087836030369237,0.0009329604397833048,0.5909945506501028,0.007718175837588744,4.889167499999999,0.7231252053480635
741909,Unclassified,0.10732950412543907,0.0007360308589710503,0.5241451360096394,0.006857675016469189,4.883514,0.7231252053480635
AZD5582,Apoptosis regulation,0.1009957564023862,0.0006789243091016602,0.8504003928806013,0.006722305305548654,8.420159649999999,0.7231252053480635
Sapitinib,EGFR signaling,0.1080959022667802,0.0006777415039777829,0.6173805252162518,0.00626981679939282,5.7114147,0.7231252053480635
PD0325901,ERK MAPK signaling,0.10499512681819974,0.0006250481365463163,0.7399396066301467,0.005953115687250841,7.0473709499999995,0.7231252053480635
GNE-317,PI3K/MTOR signaling,0.10513272130022114,0.0006215157248959078,0.44726932174898604,0.005911724886499257,4.254330299999999,0.7231252053480635
AZD8055,PI3K/MTOR signaling,0.09970561523925804,0.0005464487329022074,0.44711557363747356,0.005480621443345238,4.484357000000001,0.7231252053480635
MG-132,Protein stability and degradation,0.09289523345841924,0.00028349467707973973,0.1802674737068016,0.003051767744430445,1.9405459999999999,0.7231252053480635
Trametinib,ERK MAPK signaling,0.07854944711827398,0.00025547564017558644,0.5794871014606211,0.0032524180570094913,7.377354299999999,0.7231252053480635
Refametinib,ERK MAPK signaling,0.07692245215752457,0.0002475105073212143,0.488316937727124,0.003217662728878603,6.34817175,0.7231252053480635
Staurosporine,RTK signaling,0.07654400632390379,0.00022971541823364495,0.3376345632418529,0.003001089559665595,4.410986299999999,0.7231252053480635
OSI-027,PI3K/MTOR signaling,0.07420762400880912,0.00021816951137355368,0.3570414453312429,0.002939987828577492,4.81138495,0.7231252053480635
Tanespimycin,Protein stability and degradation,0.06615660096200522,0.00015993867814614925,0.3516766420667875,0.0024175770190793893,5.3158209,0.7231252053480635
123829,Unclassified,0.06673200084495896,0.00014576909662921298,0.33156645452828637,0.00218439571395265,4.9686275,0.7231252053480635
Dasatinib,"Other, kinases",0.052222350517872544,6.513348419576385e-05,0.3663946014619794,0.0012472338672973482,7.016049599999999,0.7231252053480635
IAP_5620,Other,0.03493988078319583,2.1208565386614375e-05,0.17431701312571762,0.0006070016528738283,4.9890557499999995,0.7231252053480635
Sepantronium bromide,Apoptosis regulation,-0.00042501954245290486,-4.014201120418543e-11,-0.002207332320922345,9.444744816324168e-08,5.1934843,0.7231252053480635
Acetalax,Unclassified,-0.041482467676059065,-4.432154460262155e-05,-0.2866888704896136,0.00106844040592602,6.91108525,0.7231252053480635
