drug,pathway,eri,eri_weighted,slope,r_squared,ic50_range,netith_range
GSK1904529A,IGF1R signaling,0.31000987432328214,0.016236926020329768,1.1097879185665787,0.05237551241157467,3.5798470000000004,0.7231252053480635
Pyridostatin,DNA replication,0.3146482813597264,0.016148490424393556,1.309623035428451,0.05132235381871211,4.1621808,0.7231252053480635
GSK-LSD1,Chromatin histone methylation,0.3105595260508191,0.016005237214069514,0.8755308133603363,0.05153677756273514,2.8192044999999997,0.7231252053480635
Wnt-C59,WNT signaling,0.3146391139465797,0.01596632443915919,1.0982399769846434,0.050744881139825476,3.4904750499999997,0.7231252053480635
OTX015,Chromatin other,0.3035286403197907,0.015850730489933518,1.9206051534354724,0.05222153162625299,6.327591199999999,0.7231252053480635
Epirubicin,DNA replication,0.30534245075087274,0.015749122811955948,1.6555351802947016,0.0515785563822751,5.42189655,0.7231252053480635
Tamoxifen,Hormone-related,0.3087737952915153,0.015713000063150042,1.2228363365775357,0.05088838594063755,3.9602982999999994,0.7231252053480635
ML323,Protein stability and degradation,0.3082139458336205,0.01566239417778591,1.0366320990222802,0.050816630426712604,3.3633523499999995,0.7231252053480635
Sabutoclax,Apoptosis regulation,0.30138705581846903,0.01561230822314251,1.2931917599381204,0.05180152206850612,4.2908006,0.7231252053480635
720427,Unclassified,0.3076664852771683,0.015529709928943413,0.8238662376103484,0.050475793341459095,2.67779,0.7231252053480635
AZD5438,Cell cycle,0.3061558055544966,0.015488493874757224,1.485327596113571,0.05059023410222488,4.851541500000001,0.7231252053480635
BIBR-1532,Genome integrity,0.3125637456062675,0.01546635604860868,0.9989368525153678,0.04948224567314806,3.195945999999999,0.7231252053480635
CCT007093,Cell cycle,0.31409559219100447,0.01545823615389266,0.8529097764804903,0.04921506871860959,2.7154464999999997,0.7231252053480635
GSK2256098C,Cytoskeleton,0.2983099701169672,0.015412725270666502,0.9193959517050297,0.05166681242542172,3.0820155000000002,0.7231252053480635
Wee1 Inhibitor,Cell cycle,0.30753743801195804,0.015264846065158107,1.5009061737797158,0.04963573268944434,4.880401499999996,0.7231252053480635
Bromosporine,Chromatin other,0.30173332797693486,0.014935780362888524,1.2376670691021507,0.0494999357977129,4.1018573499999995,0.7231252053480635
GW441756,RTK signaling,0.31349858852367274,0.014764977008378755,0.9073118616011403,0.0470974273852714,2.89414975,0.7231252053480635
PBD-288,Unclassified,0.30262158465641087,0.014712054396218685,1.5324018650334084,0.04861535046458233,5.063756,0.7231252053480635
LY2109761,Other,0.3036053930098333,0.01463021243325057,1.0113827785562792,0.048188249517612226,3.3312411500000003,0.7231252053480635
Entinostat,Chromatin histone acetylation,0.2966608858853518,0.01460440319398368,1.610007878463152,0.049229284643974705,5.427098599999999,0.7231252053480635
SB216763,WNT signaling,0.2971721243284255,0.014596380123223703,1.0203024508497345,0.04911759525295257,3.4333719999999985,0.7231252053480635
LMB_AB3,Other,0.2957269381051749,0.014527966126898668,1.0276366192955155,0.049126285958203154,3.4749509999999995,0.7231252053480635
Pevonedistat,Other,0.3039557287661842,0.014482862851257976,2.095239833353571,0.047647935145182986,6.8932401500000005,0.7231252053480635
Talazoparib,Genome integrity,0.2920363795182249,0.01444363285792257,2.1700089530755813,0.049458334203945284,7.43061175,0.7231252053480635
ICL-SIRT078,Other,0.2992323606015249,0.014069720066851792,1.3158043452192973,0.04701937998473315,4.397266200000001,0.7231252053480635
Eg5_9814,Other,0.30038934691076397,0.01405819951513367,1.6743895347156046,0.046799927027072336,5.5740643,0.7231252053480635
AGI-6780,Metabolism,0.2972160350207572,0.013916353391846848,1.0355352619587934,0.04682235058709045,3.484116399999996,0.7231252053480635
PRT062607,"Other, kinases",0.3005352215832102,0.013746755520980468,1.3398397234620483,0.04574091332311397,4.4581787,0.7231252053480635
CDK9_5576,Cell cycle,0.29530673643037325,0.01350164785757599,1.4123287559573308,0.04572075808625983,4.782582249999997,0.7231252053480635
P22077,Protein stability and degradation,0.29403614998963995,0.013497794647565935,1.4302054915287756,0.0459052216812168,4.86404645,0.7231252053480635
HKMTI-1-005,Unclassified,0.3050457707480271,0.013398074696396334,1.4619166040213825,0.04392152254247566,4.7924500000000005,0.7231252053480635
PAK_5339,Cytoskeleton,0.2970670548108232,0.013308216579032335,0.9225130865975746,0.04479869565983077,3.1054035499999992,0.7231252053480635
L-Oxonoreleagnine,Unclassified,0.2905376834642127,0.013210063865184706,0.7235604218464196,0.04546764367250099,2.4904185000000005,0.7231252053480635
630600,Unclassified,0.2926484075588234,0.013199048552688369,1.5937488877933819,0.04510206859757237,5.445951,0.7231252053480635
AZD6738,Genome integrity,0.2932359419107387,0.013094603966540492,1.3767355629903413,0.044655521697700006,4.6949755,0.7231252053480635
VTP-B,Unclassified,0.2883956398823409,0.013024047449415488,0.7655342288090549,0.045160347967566405,2.6544584,0.7231252053480635
Vinblastine,Mitosis,0.293395084603858,0.012799685304976948,1.995914829630071,0.043626106832222775,6.802823,0.7231252053480635
Buparlisib,PI3K/MTOR signaling,0.2915361771574633,0.012664520266041718,0.8752848079425414,0.04344064736501436,3.0023196999999975,0.7231252053480635
