drug,n_cells,slope_ic50_per_netith,r_squared,p_value,ic50_drop_per_1netith,delta_ic50_q4_q1,mean_ic50_low_netith,mean_ic50_high_netith,percent_ic50_increase,abs_slope
Motesanib,892,1.4784118719781927,0.08511663350937057,5.818109361872206e-19,1.4784118719781927,0.8344245964125561,5.004341479820629,5.838766076233185,16.674013949233228,1.4784118719781927
IOX2,191,1.4762473412661357,0.1394034535361954,1.0387216718595677e-07,1.4762473412661357,0.8208175624999998,1.7503109791666667,2.5711285416666665,46.89552726743426,1.4762473412661357
HKMTI-1-005,716,1.4619166040213825,0.04392152254247566,1.5047614219031023e-08,1.4619166040213825,0.8143931731843574,3.3194628994413407,4.133856072625698,24.5338838798716,1.4619166040213825
Sorafenib,900,1.457152364180412,0.07163996557010464,3.1350170407512415e-16,1.457152364180412,0.7554620399999998,2.0489853244444447,2.8044473644444445,36.87005616815891,1.457152364180412
JAK1_8709,691,1.449150879273489,0.068299360024291,2.971626991011504e-12,1.449150879273489,0.8579247745664746,3.6853511156069363,4.543275890173411,23.279322584306435,1.449150879273489
PRIMA-1MET,840,1.4347451819264228,0.03228915685893353,1.5803673118982215e-07,1.4347451819264228,0.8219321714285712,3.908083880952381,4.730016052380952,21.031589813990134,1.4347451819264228
Tretinoin,191,1.4346990115399265,0.09213002953591659,1.9682678267694216e-05,1.4346990115399265,0.7921660624999998,4.281318604166667,5.073484666666666,18.50285240927988,1.4346990115399265
P22077,900,1.4302054915287756,0.0459052216812168,8.343218088043389e-11,1.4302054915287756,0.799420813333334,3.9021609244444444,4.701581737777778,20.486618281821592,1.4302054915287756
CCT-018159,191,1.4267514980930227,0.05111905086757487,0.0016607919134372885,1.4267514980930227,0.7686832916666666,3.061938,3.8306212916666667,25.1044695113574,1.4267514980930227
50869,691,1.4196403399240822,0.05807916521583624,1.3771098210276886e-10,1.4196403399240822,0.7990347919075149,2.106020138728323,2.905054930635838,37.940510501955394,1.4196403399240822
CDK9_5576,690,1.4123287559573308,0.04572075808625983,1.4093746372448934e-08,1.4123287559573308,0.8002128208092486,-0.7039492716763006,0.09626354913294799,0.0,1.4123287559573308
Linsitinib,909,1.410792126114766,0.057526944213623546,2.325644909236276e-13,1.410792126114766,0.8018271228070182,3.5552100614035087,4.357037184210527,22.553579365447586,1.410792126114766
Olaparib,909,1.3807906657228646,0.05828599329069357,1.6036551141565973e-13,1.3807906657228646,0.7682647500000006,3.7858417061403506,4.554106456140351,20.293102819220703,1.3807906657228646
GSK2276186C,691,1.3803538278737544,0.052543394196549645,1.0874918136514938e-09,1.3803538278737544,0.7546182774566459,4.3951624566474,5.149780734104046,17.169292031864135,1.3803538278737544
AZD6738,900,1.3767355629903413,0.044655521697700006,1.521631028017579e-10,1.3767355629903413,0.7529212088888886,1.635291568888889,2.3882127777777775,46.042016189227134,1.3767355629903413
N30652-18-1,718,1.3680355801919577,0.07757873663884723,2.932480625438014e-14,1.3680355801919577,0.871688166666666,4.688857494444445,5.560545661111111,18.590630397692376,1.3680355801919577
NVP-ADW742,900,1.360673979195626,0.04348004690980072,2.6768374509155575e-10,1.360673979195626,0.7514158622222222,2.5010763644444443,3.2524922266666665,30.043699301006015,1.360673979195626
IGF1R_3801,690,1.3523932303371793,0.02468027011810982,3.3988796386251135e-05,1.3523932303371793,0.8267053352601157,1.2868680867052023,2.113573421965318,64.24165334434147,1.3523932303371793
SL0101,191,1.3519698676626655,0.12546239513620044,4.981050279430889e-07,1.3519698676626655,0.7215460208333324,4.252733375000001,4.974279395833333,16.96664138586709,1.3519698676626655
LGK974,906,1.340044543852525,0.07443426576040464,6.282974044855681e-17,1.340044543852525,0.7890718854625556,3.8061440088105725,4.595215894273128,20.731529958824183,1.340044543852525
PRT062607,840,1.3398397234620483,0.04574091332311397,3.8021524457376693e-10,1.3398397234620483,0.7268296571428574,2.7866810904761907,3.513510747619048,26.08226896241852,1.3398397234620483
Mirin,840,1.3338559258691676,0.06436942645691016,8.344087215371354e-14,1.3338559258691676,0.7994714761904769,4.33458479047619,5.134056266666667,18.444015167197787,1.3338559258691676
AMG-319,892,1.3268429918918823,0.06415442003239123,1.5941981928944893e-14,1.3268429918918823,0.8014664394618825,4.3584997085201795,5.159966147982062,18.38858536333367,1.3268429918918823
Ruxolitinib,844,1.325926893589522,0.06779185958615803,1.519442722894734e-14,1.325926893589522,0.6992545260663503,4.466359075829384,5.165613601895735,15.656030207031701,1.325926893589522
Mycophenolic acid,713,1.3221538723135344,0.03822186349645015,1.42447842930027e-07,1.3221538723135344,0.7893965698324024,1.3815956983240223,2.1709922681564247,57.13658277815997,1.3221538723135344
PCI-34051,840,1.319665426230763,0.053540380716357736,1.1321915153971236e-11,1.319665426230763,0.7875342666666665,3.943114838095238,4.730649104761905,19.972389823855423,1.319665426230763
ICL-SIRT078,715,1.3158043452192973,0.04701937998473315,4.688484140919017e-09,1.3158043452192973,0.6923651731843568,3.861003703910615,4.553368877094972,17.932258715087354,1.3158043452192973
Pyridostatin,893,1.309623035428451,0.05132235381871211,7.40500502353879e-12,1.309623035428451,0.7928555714285714,3.117433299107143,3.9102888705357146,25.432960238656953,1.309623035428451
GSK2606414,832,1.3076926997510316,0.05839931296316408,1.6059451156090806e-12,1.3076926997510316,0.7974601298076927,3.3226105144230766,4.120070644230769,24.001011444044025,1.3076926997510316
Podophyllotoxin bromide,691,1.2957253499637464,0.03643380973419171,4.303697886875977e-07,1.2957253499637464,0.7628173988439308,-0.9504304971098267,-0.18761309826589595,0.0,1.2957253499637464
CT7033-2,716,1.2933130698388073,0.056244444379242274,1.3034843785052214e-10,1.2933130698388073,0.7724245027932963,1.0248949832402232,1.7973194860335195,75.36620975070664,1.2933130698388073
Sabutoclax,838,1.2931917599381204,0.05180152206850612,2.620631546996947e-11,1.2931917599381204,0.8498748238095237,-0.8714714904761904,-0.021596666666666715,0.0,1.2931917599381204
Nilotinib,897,1.2844566504313994,0.03408222577029443,2.5561424286266738e-08,1.2844566504313994,0.6916427733333328,2.6727387333333334,3.3643815066666662,25.877679875980377,1.2844566504313994
Vorinostat,901,1.2817919268212943,0.07029665194253215,5.836074977336589e-16,1.2817919268212943,0.708835238938053,1.0491289115044249,1.757964150442478,67.56416977600978,1.2817919268212943
PF-4708671,233,1.2815905917354191,0.10688196436344986,3.3174018478780566e-07,1.2815905917354191,0.8393109830508467,3.1187087457627123,3.958019728813559,26.912130996239746,1.2815905917354191
EPZ5676,904,1.2785679819060267,0.08463875152268635,4.301406651464809e-19,1.2785679819060267,0.7051906106194696,5.145298765486725,5.850489376106195,13.705532812782376,1.2785679819060267
PFI-1,889,1.2589483826148506,0.06265499638341208,3.6288404826406317e-14,1.2589483826148506,0.7434329013452929,3.5924993094170397,4.335932210762333,20.694030459422162,1.2589483826148506
PD173074,909,1.251889487363631,0.04165087494547343,5.294839141088186e-10,1.251889487363631,0.7294345394736843,3.4079040175438595,4.137338557017544,21.40419846681602,1.251889487363631
Bromosporine,690,1.2376670691021507,0.0494999357977129,3.466420600315326e-09,1.2376670691021507,0.7532892254335257,2.002708791907515,2.7559980173410406,37.61351767552997,1.2376670691021507
KU-55933,898,1.2361691316396812,0.06004853590190736,9.558270961053666e-14,1.2361691316396812,0.7593395644444456,4.604501337777777,5.363840902222223,16.49124430075457,1.2361691316396812
THR-101,707,1.2329470710337673,0.07391531597371465,1.9068382209591242e-13,1.2329470710337673,0.6824794011299433,4.728783853107345,5.411263254237288,14.432450759648855,1.2329470710337673
GSK2830371A,691,1.2315379669200526,0.06602284919786457,7.001434264970265e-12,1.2315379669200526,0.7389405606936421,4.722507462427745,5.461448023121387,15.647207899037765,1.2315379669200526
AZD4547,901,1.2281589969154079,0.0349624140072485,1.5608258830637678e-08,1.2281589969154079,0.7322146592920347,2.3089829070796464,3.041197566371681,31.71156690016924,1.2281589969154079
Tamoxifen,899,1.2228363365775357,0.05088838594063755,7.76839987135436e-12,1.2228363365775357,0.7337312311111117,3.5281316355555554,4.261862866666667,20.796594540769597,1.2228363365775357
Ibrutinib,836,1.2226948590430795,0.022730259681485038,1.1993331113412039e-05,1.2226948590430795,0.6539432057416272,3.7219774449760763,4.3759206507177035,17.569778844961018,1.2226948590430795
MK-2206,910,1.2222672154159133,0.03414239204057494,1.9683118751463616e-08,1.2222672154159133,0.7583251710526318,2.310382798245614,3.068707969298246,32.822490352181674,1.2222672154159133
5-azacytidine,715,1.2178590880909925,0.03950292812313516,8.376860180898604e-08,1.2178590880909925,0.6977697597765369,2.526979759776536,3.224749519553073,27.612795752596035,1.2178590880909925
Dinaciclib,837,1.2152596362534729,0.03433410098679524,6.680319969901162e-08,1.2152596362534729,0.7132922666666666,-3.1017440952380952,-2.3884518285714287,0.0,1.2152596362534729
EPZ004777,907,1.2133966420079405,0.08081494164935986,2.5368928998565736e-18,1.2133966420079405,0.6689853612334806,4.749059378854625,5.4180447400881055,14.086691866018025,1.2133966420079405
GSK3337463A,691,1.2017082867599587,0.0702085177882209,1.4465902225908711e-12,1.2017082867599587,0.690437057803468,4.860796768786127,5.551233826589595,14.204195127785374,1.2017082867599587
