gene,mean_high,mean_low,delta,cohens_d,p_value,n_high,n_low,fdr,neg_log10_p
ATPAF1,-0.0040278021331600555,-0.008866136922488206,0.00483833478932815,0.037489968946069895,0.52014369225193,302,303,0.8855604882401488,0.2838766638046204
PLA1A,-0.028608543248754496,-0.02672118987424724,-0.0018873533745072564,-0.014074524120042177,0.52014369225193,302,303,0.8855604882401488,0.2838766638046204
RRBP1,0.005362840758763177,0.002261921958588692,0.003100918800174485,0.026448667987470184,0.5204455627134519,302,303,0.8858290045815238,0.2836246898797686
SCAF1,-0.24902450498268264,-0.25472128452172216,0.00569677953903952,0.026893302132153626,0.5207475234350032,302,303,0.8860566333955683,0.2833727867879357
MANSC4,-0.11541745720927599,-0.12156554614398839,0.006148088934712401,0.0459846943220794,0.5207475234350032,302,303,0.8860566333955683,0.2833727867879357
ZNF343,0.027114922034116425,0.023206859011304617,0.003908063022811808,0.020007257682291946,0.5207475234350032,302,303,0.8860566333955683,0.2833727867879357
ZNF229,0.004061897495245261,0.013411924014972229,-0.009350026519726967,-0.07415123848309715,0.5207475234350032,302,303,0.8860566333955683,0.2833727867879357
ZMYND15,-0.0320752349366928,-0.03849927140957932,0.006424036472886523,0.054429233388577775,0.5207475234350032,302,303,0.8860566333955683,0.2833727867879357
FAM83H,-0.09781298984571546,-0.09314257693507752,-0.004670412910637939,-0.028721809638639458,0.5207475234350032,302,303,0.8860566333955683,0.2833727867879357
E2F7,0.09302582083425093,0.10755894448191056,-0.01453312364765963,-0.07867149902416458,0.5210495743782074,302,303,0.8862433827247547,0.2831209545226351
C8orf82,-0.09286227140856917,-0.09836317403303274,0.005500902624463566,0.04394428813957078,0.5210495743782074,302,303,0.8862433827247547,0.2831209545226351
CYP4Z1,-0.026188939358614327,-0.03297382235994276,0.006784883001328436,0.04545714201695113,0.5213517155046383,302,303,0.8865119102825262,0.2828691930773774
DDRGK1,-0.2270309673195776,-0.23331914021375585,0.006288172894178268,0.03624429516685954,0.5213517155046383,302,303,0.8865119102825262,0.2828691930773774
FMNL3,-0.03909690623836005,-0.02849210867908383,-0.010604797559276218,-0.09553334382892069,0.5213517155046383,302,303,0.8865119102825262,0.2828691930773774
