drug,instrument_gene,n,F_stat_stage1,beta_ols,beta_iv,delta_iv_ols,rho_crispr_netith
CT7033-2,CFL1,477,20.85380389242464,0.21166102929722386,1.1640883607289123,0.9524273314316885,0.24612045813035874
CPI-637,CFL1,477,20.85380389242464,0.19862150130388836,1.155145938294223,0.9565244369903347,0.24612045813035874
PBD-288,CFL1,477,20.85380389242464,0.16086913395787286,0.963781315970601,0.8029121820127282,0.24612045813035874
Alisertib,MLLT1,562,20.84966222694458,0.19589192278322404,0.8674345391890956,0.6715426164058715,0.19947325511955616
GSK591,ILK,562,20.84748821300293,0.1897061326624742,1.4667944348324753,1.277088302170001,-0.21098408695171006
Nelarabine,CFL1,464,20.814252685380055,0.1724743803662855,0.9419525050435272,0.7694781246772417,0.24919408894451953
Obatoclax Mesylate,DLG5,496,20.812214502924714,0.09928623989788024,0.7886355319893155,0.6893492920914353,-0.219437839156149
LY2109761,TLN1,536,20.793493651867017,0.1950555917616098,1.1300800006304301,0.9350244088688203,-0.2143999108514235
ML323,TLN1,536,20.793493651867017,0.17911119316299567,1.9727188133675129,1.7936076202045173,-0.2143999108514235
AZD8055,AFF1,477,20.784664024153916,0.07909896857189894,0.44143037374687594,0.362331405174977,0.2128717753778704
AMG-319,DLG5,564,20.768422240751367,0.1962649214900859,1.065283674229951,0.8690187527398651,-0.21237874541025983
BMS-345541,AFF1,537,20.75093482858209,0.2906204401272033,0.864674015842326,0.5740535757151226,0.20231426820539983
Doramapimod,ILK,566,20.74810519442942,0.08998519069848925,1.4683012542189269,1.3783160635204377,-0.2071503273229406
KU-55933,ILK,566,20.74810519442942,0.18441391232983725,1.4506420236906987,1.2662281113608616,-0.2071503273229406
Nilotinib,ILK,565,20.742885987572617,0.13290593436200063,1.627854722960005,1.4949487885980044,-0.20778542833628186
Ibrutinib,AFF1,537,20.73632984088713,0.13399737582330856,0.1386651058963866,0.004667730073078025,0.2037734527297057
Lestaurtinib,ILK,561,20.727632332727026,0.1796660317575717,1.81210392658902,1.6324378948314482,-0.20681254060990298
Lenalidomide,ILK,561,20.727632332727026,0.2693126768803686,2.1509096102601997,1.881596933379831,-0.20681254060990298
Bosutinib,ILK,561,20.727632332727026,0.20674692914772005,1.4494016509358183,1.2426547217880983,-0.20681254060990298
JQ1,ILK,561,20.727632332727026,0.19270675607637947,1.5735678842953744,1.3808611282189949,-0.20681254060990298
Motesanib,ILK,561,20.727632332727026,0.2315715909530889,1.921450491812122,1.6898789008590331,-0.20681254060990298
Cisplatin,CFL1,484,20.72192333571804,0.19813020376192553,0.829656458212918,0.6315262544509925,0.24360770235021484
JNK Inhibitor VIII,ILK,563,20.708524833833586,0.197582461689642,1.4247942434738325,1.2272117817841905,-0.20463245377841371
ML323,AFF1,536,20.68881422410955,0.17911119316299567,0.6667003537521724,0.48758916058917673,0.20228560118012764
LY2109761,AFF1,536,20.68881422410955,0.1950555917616098,0.6211016715689106,0.4260460798073008,0.20228560118012764
Lapatinib,DLG5,571,20.677423518603884,0.08445848111686635,0.3909492331422347,0.30649075202536835,-0.21418061153520643
Olaparib,DLG5,571,20.677423518603884,0.20191035823368397,1.4680008811216205,1.2660905228879367,-0.21418061153520643
Camptothecin,DLG5,571,20.677423518603884,0.1979871779634431,1.3362177064521568,1.1382305284887138,-0.21418061153520643
Gemcitabine,DLG5,571,20.677423518603884,0.21828701803109102,1.0302449828860452,0.8119579648549542,-0.21418061153520643
Linsitinib,DLG5,571,20.677423518603884,0.22018722358495654,1.3042544243131255,1.084067200728169,-0.21418061153520643
PD0325901,DLG5,571,20.677423518603884,0.08956246237943777,-0.5751052031671701,-0.6646676655466078,-0.21418061153520643
Oxaliplatin,DLG5,571,20.677423518603884,0.2657031102275074,1.121625024121322,0.8559219138938146,-0.21418061153520643
MIRA-1,DLG5,571,20.677423518603884,0.18785771590034817,1.2457930197841025,1.0579353038837542,-0.21418061153520643
AZD3759,DLG5,571,20.677423518603884,0.14690781758177332,0.35308213448050757,0.20617431689873425,-0.21418061153520643
MK-1775,DLG5,571,20.677423518603884,0.2282855729816046,1.0934733248139392,0.8651877518323347,-0.21418061153520643
Alisertib,INTS6,562,20.668888762658778,0.19589192278322404,0.5711605658964504,0.37526864311322633,-0.196652537501655
Mycophenolic acid,DLG5,474,20.642951738807724,0.16693267005799012,0.980042836001478,0.8131101659434878,-0.22209289649043
Crizotinib,AURKA,570,20.638721417456733,0.20831242050621987,0.4163626035674899,0.20805018306127002,-0.21353742158899264
LY2109761,ILK,536,20.626638354122715,0.1950555917616098,1.3694463079044683,1.1743907161428586,-0.2105245193652684
ML323,ILK,536,20.626638354122715,0.17911119316299567,1.6795533256836481,1.5004421325206525,-0.2105245193652684
OSI-027,DLG5,565,20.615702109697292,0.05115007630981224,0.5388875432844862,0.48773746697467396,-0.2158592773315999
Methotrexate,MLLT1,527,20.611764728417445,0.06908032682211968,0.15779874478073638,0.08871841795861671,0.19372007023430898
AT13148,DLG5,562,20.609362777171935,0.09859446087359527,0.6566260147176256,0.5580315538440304,-0.21350119410987597
Axitinib,DLG5,567,20.592824024623482,0.18626014427652626,1.4767787242808847,1.2905185800043584,-0.2149885966762491
Nutlin-3a (-),DLG5,572,20.58784068259362,0.19310384639952194,0.8167547371045518,0.6236508907050299,-0.21335022428905667
5-Fluorouracil,DLG5,572,20.58784068259362,0.2194981237127345,0.7901882339008912,0.5706901101881567,-0.21335022428905667
PD173074,DLG5,572,20.58784068259362,0.18671510577560615,0.8293904078111871,0.642675302035581,-0.21335022428905667
MG-132,DLG5,572,20.58784068259362,0.054781053896252575,0.3429308225811738,0.2881497686849212,-0.21335022428905667
MK-2206,DLG5,572,20.58784068259362,0.12257217807051381,0.6324484989933603,0.5098763209228465,-0.21335022428905667
Docetaxel,DLG5,572,20.58784068259362,0.17089318479611823,0.7302296337191221,0.5593364489230038,-0.21335022428905667
Avagacestat,ILK,564,20.56708060551904,0.2186140732734649,1.4027152553806177,1.1841011821071528,-0.2058729276982355
CDK9_5038,PXN,463,20.565592794789463,0.17198248883410425,0.7461329739906947,0.5741504851565904,-0.2156661949802636
CDK9_5576,PXN,463,20.565592794789463,0.19081668059104576,0.7403830012642345,0.5495663206731888,-0.2156661949802636
BI-2536,MSMO1,548,20.5370559737545,0.2142236952269241,0.13926957147252922,-0.07495412375439489,0.18462542612982788
AZD5438,PXN,464,20.53052262695964,0.19497978634488297,0.8207706966303403,0.6257909102854573,-0.21493668270720764
IRAK4_4710,PXN,464,20.53052262695964,0.23658340464320624,0.9080474885769553,0.671464083933749,-0.21493668270720764
AZD1332,PXN,464,20.53052262695964,0.08779609415919891,0.3425043292944819,0.25470823513528296,-0.21493668270720764
ERK_2440,PXN,464,20.53052262695964,0.11910541439879055,0.23699325363505,0.11788783923625945,-0.21493668270720764
JAK_8517,PXN,464,20.53052262695964,0.1434388774445309,0.9540233277940051,0.8105844503494742,-0.21493668270720764
JAK1_8709,PXN,464,20.53052262695964,0.2298283301572647,1.1826521181483811,0.9528237879911164,-0.21493668270720764
AZD1208,PXN,464,20.53052262695964,0.2176463043801584,1.197395268456768,0.9797489640766095,-0.21493668270720764
