gene,n_low,n_high,mean_netith_low,mean_netith_high,delta_netith,cohens_d,mwu_p,is_tf,fdr
LIAS,254,254,5.722114318656837,5.639904399891499,-0.08220991876533823,-0.368733093473636,3.346477620538596e-06,False,1.1730744151392784e-05
NR2C1,254,254,5.747195120393491,5.664854016601311,-0.08234110379218063,-0.36871679136666935,2.537743770615027e-07,False,1.1560310010156006e-06
KMT5C,254,254,5.751264519086454,5.668933874354546,-0.08233064473190765,-0.36871533145991653,8.350318591291453e-07,False,3.3716861523193496e-06
NUBP1,254,254,5.727381073420025,5.64754664031107,-0.07983443310895488,-0.3687030832483838,4.5695222464776525e-06,False,1.5539808651969572e-05
NUBPL,254,254,5.659978936979017,5.743141894126514,0.083162957147497,0.36865026035086107,8.153452155863467e-05,False,0.00021150283597196122
TRPM3,254,254,5.741008916849104,5.661466740423424,-0.07954217642568029,-0.36858533105381,0.00037917151585431036,False,0.0008552490485457634
MTHFD1L,254,254,5.743767472534361,5.664993847452741,-0.07877362508162022,-0.3685309377783865,1.1387855027115146e-05,False,3.549238889679428e-05
MAP3K19,254,254,5.734541314976146,5.653188769020816,-0.0813525459553297,-0.3685138173905452,4.400762208961936e-06,False,1.5025309796815059e-05
TLE2,254,254,5.6730725562159074,5.752249944059601,0.07917738784369366,0.36845500088638644,5.798911757556652e-05,False,0.00015544192167949505
FBXO3,254,254,5.658063927340919,5.738555683423684,0.08049175608276471,0.36838881314198757,9.454593502459125e-05,False,0.0002420426593775851
ITGA6,254,254,5.622406774165083,5.704412610595174,0.08200583643009107,0.3683824488390501,3.6533744181439073e-06,False,1.2690164250099626e-05
OTUD5,254,254,5.728993508334689,5.6479073079441084,-0.08108620039058057,-0.36834393739156407,1.480553741794485e-05,False,4.4867873348497073e-05
RPAP3,254,254,5.730569537829582,5.650828361614908,-0.07974117621467336,-0.3682615545020621,1.5986628213456965e-05,False,4.8099701224361246e-05
FZD10,254,254,5.747892244651319,5.665958278883704,-0.08193396576761458,-0.3682366655313725,2.3118664769545798e-05,False,6.760696237690534e-05
TRAPPC11,254,254,5.710858439143913,5.631407424766199,-0.07945101437771385,-0.36823354854034773,6.827097890708016e-06,False,2.23511440460732e-05
