gene,delta_netith,cohens_d,abs_d
CYP26A1,-0.0885981625250904,-0.1176994342737301,0.1176994342737301
TMEM222,-0.0880562980466574,-0.11767576593636,0.11767576593636
ZNF610,0.0861029391348937,0.1176740703501019,0.1176740703501019
POU2F3,-0.088061927876077,-0.1176737443253118,0.1176737443253118
SPCS3,-0.0839769122837674,-0.1176652328610979,0.1176652328610979
LY6D,-0.0880055597115152,-0.1176284268446425,0.1176284268446425
MPZL3,-0.092805546108952,-0.1176280910318954,0.1176280910318954
NKX2-8,0.0802864609777751,0.117616890389952,0.117616890389952
SELENOT,-0.0870250708412943,-0.1176085048434956,0.1176085048434956
COG5,0.0910523558629439,0.1175928667958487,0.1175928667958487
PDCD4,-0.0837634372215045,-0.1175877899316732,0.1175877899316732
ZNF347,0.0858864653060162,0.1175847335022453,0.1175847335022453
RER1,0.0922611097421777,0.1175823359274027,0.1175823359274027
CNKSR1,0.0864690531931442,0.1175799519941775,0.1175799519941775
ABL1,0.0872252973307432,0.1175540113440411,0.1175540113440411
ARIH1,-0.0889116318251499,-0.1174879084867711,0.1174879084867711
PAQR5,0.0883428296801325,0.1174713037510401,0.1174713037510401
GPR68,-0.0855053230897562,-0.1174054983454008,0.1174054983454008
ZFYVE1,0.0897692483831225,0.1174022278207822,0.1174022278207822
SLCO6A1,-0.0900035089424786,-0.1173975072822517,0.1173975072822517
CREB3L2,-0.0924184033315036,-0.11732336487978,0.11732336487978
STAB1,-0.0837980230927284,-0.1173094300771515,0.1173094300771515
HOOK3,-0.0909412774752143,-0.1172891197386966,0.1172891197386966
SLC12A4,0.0864878982462853,0.1172428890845576,0.1172428890845576
AP3B2,-0.0873381798350196,-0.1172415073946265,0.1172415073946265
C1QTNF9,0.0889287608586917,0.11724127466872,0.11724127466872
DGKG,-0.0896381914606729,-0.117218062770185,0.117218062770185
PSMG4,-0.0863743368833729,-0.1172123419081964,0.1172123419081964
GOLGB1,-0.0887321345707334,-0.1171877800115219,0.1171877800115219
HPSE2,-0.0861775109868832,-0.1171504192894588,0.1171504192894588
TESMIN,0.088181227770673,0.1171408391671835,0.1171408391671835
VPS41,0.0855761654720597,0.1170865659498148,0.1170865659498148
SS18,-0.0868760713649816,-0.1170722028854347,0.1170722028854347
GPR171,-0.09051342599584,-0.1170717720891417,0.1170717720891417
BMAL2,-0.0904203029649419,-0.117071757655503,0.117071757655503
NEFM,-0.0875344298638678,-0.1170668611106122,0.1170668611106122
SLC17A6,-0.083482854767853,-0.1170573937679682,0.1170573937679682
HSD3B2,-0.0876040911672291,-0.117051248837025,0.117051248837025
SLC30A4,-0.0866304934658508,-0.1170418632723066,0.1170418632723066
PTBP3,-0.0858704384739281,-0.1170326527850706,0.1170326527850706
FBXL22,0.0972022974420188,0.1170278497806344,0.1170278497806344
ADAM2,0.0869720119765489,0.1170066944096407,0.1170066944096407
MCUR1,0.0817762022766093,0.1169906800858095,0.1169906800858095
SLC22A12,-0.0881342596376022,-0.1169720675207233,0.1169720675207233
TAF12,-0.0948399898631109,-0.1169674749341513,0.1169674749341513
CCL26,0.0845488396736335,0.1169655487619327,0.1169655487619327
PCSK2,0.0795977134270726,0.1169528841065842,0.1169528841065842
EXOSC7,-0.0817412894278524,-0.1169455010545959,0.1169455010545959
IL21,-0.0924476015598871,-0.1169203714096913,0.1169203714096913
ZNF335,-0.0868551828641441,-0.1169196069855618,0.1169196069855618
EPS8L1,0.0898661273173022,0.1169120341467742,0.1169120341467742
ERO1B,-0.0838202148817757,-0.1169120166838579,0.1169120166838579
L1CAM-AS1,-0.0895855071928508,-0.1169026044769638,0.1169026044769638
NRG2,-0.0876617371382399,-0.1168772637856698,0.1168772637856698
SRD5A1,0.0876053255346711,0.1168713214808735,0.1168713214808735
COL1A1,0.0883273056355715,0.1168132221601348,0.1168132221601348
TCERG1,-0.0899775922054946,-0.1167869340850253,0.1167869340850253
PFKM,0.0903208752518374,0.1167459893332001,0.1167459893332001
NALF1,0.08460406986313,0.1167402347223498,0.1167402347223498
HLX,-0.0933811833721236,-0.1167367599419209,0.1167367599419209
VSTM2B,0.0865187759126211,0.116729723974277,0.116729723974277
MRGPRF,-0.0881065888381362,-0.1167033977893144,0.1167033977893144
ASB5,-0.0864938447893193,-0.1166906455788414,0.1166906455788414
HTT,-0.0858239717791562,-0.1166701811648189,0.1166701811648189
SPANXN3,-0.088087272758961,-0.1166640182000441,0.1166640182000441
PRLHR,-0.0826746516085039,-0.116655291552926,0.116655291552926
GNG4,0.0832597630008384,0.1166523674585491,0.1166523674585491
CRY2,-0.0862551218229539,-0.1166343838501188,0.1166343838501188
B3GALT9,-0.0860237091523439,-0.1166340358750823,0.1166340358750823
ZNF257,-0.0826025742467235,-0.1165786243202224,0.1165786243202224
HERC2,-0.0870015658832219,-0.1165445924407175,0.1165445924407175
BCL10,-0.0901334196461425,-0.1165162938380008,0.1165162938380008
LRRC30,-0.0847206115640561,-0.1164918735708941,0.1164918735708941
ALMS1,-0.0864537685365292,-0.1164623846227058,0.1164623846227058
BYSL,-0.0812959875750864,-0.116444477835566,0.116444477835566
STAC2,-0.0843662903907835,-0.1164396558656004,0.1164396558656004
CRYBA2,-0.0825109714354006,-0.1164382629629426,0.1164382629629426
HMX2,-0.0876082303870502,-0.1164257112959134,0.1164257112959134
SLC8A1,-0.090860254801699,-0.1164129824534859,0.1164129824534859
RGS11,-0.0862190711799737,-0.1163934847959225,0.1163934847959225
SCO1,0.0880975608765624,0.1163791613076905,0.1163791613076905
TPO,-0.088622398412359,-0.1163713257601123,0.1163713257601123
KCNK6,-0.0871700350509074,-0.1163058164397517,0.1163058164397517
ZNF638,-0.0877970610614546,-0.1163003733920921,0.1163003733920921
CFAP107,-0.0897471232465791,-0.11627096720581,0.11627096720581
APOA2,-0.083321841609794,-0.1162643144408355,0.1162643144408355
MICU2,0.0874683579385013,0.1162567636699687,0.1162567636699687
CDKAL1,-0.0836154950935865,-0.1162561664828669,0.1162561664828669
STAM2,0.0842825290223237,0.1162418407161608,0.1162418407161608
RB1CC1,0.0881157223310404,0.1162407810754781,0.1162407810754781
MAPK11,-0.0888422166496907,-0.1162329453081226,0.1162329453081226
STS,-0.0874925080603707,-0.1162283598604108,0.1162283598604108
KHDC3L,-0.0847459986806704,-0.1162055479317509,0.1162055479317509
DDTL,-0.0854789502790946,-0.1161765832440381,0.1161765832440381
GTF2E2,-0.0916464396724965,-0.1161538712674524,0.1161538712674524
MPP7,0.0914755964175508,0.1161450957586176,0.1161450957586176
CCDC162P,-0.0865347909764473,-0.1161181757831477,0.1161181757831477
LCE3D,-0.0848920868309406,-0.1161043280534792,0.1161043280534792
CLSPN,-0.0810227722846033,-0.1161014847774925,0.1161014847774925
LSM10,-0.0838582268180827,-0.1160773078437104,0.1160773078437104
MEPCE,-0.085948303527223,-0.1160688135942557,0.1160688135942557
SETD1A,-0.089151402916821,-0.1160469450993931,0.1160469450993931
VAV3,-0.0853877006387469,-0.1160308476415381,0.1160308476415381
RIOK1,-0.0850911507204852,-0.1160253393321286,0.1160253393321286
MIER3,-0.0872771536414704,-0.1160174369878473,0.1160174369878473
ANKRD13C,0.0839246021448092,0.1160092211606628,0.1160092211606628
MOCOS,0.0819100626739972,0.1159944794501837,0.1159944794501837
KAT5,-0.0879301263450855,-0.1159711847875147,0.1159711847875147
NRSN2,0.0809119431036862,0.1159597688625834,0.1159597688625834
JARID2,-0.0831092321607895,-0.1159507618463879,0.1159507618463879
SPSB3,-0.0902167143331045,-0.1159343805767608,0.1159343805767608
AKAP7,-0.0886283339685851,-0.1159129053804432,0.1159129053804432
IDH3G,-0.0879483668536407,-0.1158883537835387,0.1158883537835387
EMILIN1,-0.0865684874283108,-0.1158829374002728,0.1158829374002728
TSGA10IP,-0.0823947259217563,-0.115859804790924,0.115859804790924
ZNF676,0.0889137598989542,0.1158553032606027,0.1158553032606027
GPR182,-0.0823177317447285,-0.1158451891166039,0.1158451891166039
ST7,0.0848161080124443,0.1158258390196036,0.1158258390196036
NDUFA8,0.0891888007051386,0.115810695714396,0.115810695714396
KRCC1,-0.0853454387312258,-0.115794024134459,0.115794024134459
GORAB,-0.0839450788978046,-0.1157825231342421,0.1157825231342421
DGCR2,0.0871437611733716,0.1157730168167241,0.1157730168167241
ZFP92,-0.0849889566229222,-0.1157648717646537,0.1157648717646537
HS1BP3,0.0837837085927271,0.115750234119705,0.115750234119705
SLAIN1,-0.0874613968993873,-0.1157426740909288,0.1157426740909288
C2orf78,-0.087549359390219,-0.1157061097374782,0.1157061097374782
TAAR6,-0.0904523961725844,-0.1156922407208811,0.1156922407208811
ZCCHC12,0.0887477626232069,0.1156866368541267,0.1156866368541267
TSR1,0.0842900678474434,0.1156859189574012,0.1156859189574012
OR2C3,-0.0897282704743416,-0.1156819378966992,0.1156819378966992
ASL,0.0848222814368639,0.115664630988288,0.115664630988288
FAM221A,-0.0833345916285139,-0.1156582671634196,0.1156582671634196
SCRN3,0.0835737499958151,0.1156282153312996,0.1156282153312996
CYP17A1,-0.0856972789291141,-0.1156108257184521,0.1156108257184521
TRAPPC4,0.0860613648117301,0.1155841224555304,0.1155841224555304
